entry_timestamp,exit_timestamp,window,hmm_state,setup_quality,setup_quality_bucket,volatility,volatility_percentile,volatility_bucket,pnl_R,pnl_points,exit_reason,holding_bars,past_return_30,past_return_30_quality,directional_pressure_30,directional_pressure_30_quality,close_location_30,close_location_30_quality,normalized_momentum_30,normalized_momentum_30_quality
2025-10-09 10:46:00-04:00,2025-10-09 10:47:00-04:00,4,2,1.0,80-100%,0.0015055338683581726,0.43847251806144183,40-60%,-1.0,-20.0,stop,1,-0.0025110607707355737,1.0,-0.36375265706132953,1.0,0.0,1.0,-1.667887268105072,1.0
2025-10-09 11:35:00-04:00,2025-10-09 11:39:00-04:00,4,2,0.9610656137680738,80-100%,0.0012933277105162502,0.33714398647313293,20-40%,-1.0,-20.0,stop,4,-0.001863458135766301,0.8442624550722952,-0.33826696845327237,1.0,0.0,1.0,-1.4408244102513472,1.0
2025-10-09 12:42:00-04:00,2025-10-09 12:44:00-04:00,4,2,0.7165883805813896,60-80%,0.0014775387177954477,0.4258723292123235,40-60%,-1.0,-20.0,stop,2,-0.0016667650975203609,0.6671058884267717,-0.2734182473502332,0.6371129224306482,0.0,1.0,-1.1280686437829848,0.5621347114681386
2025-10-09 12:58:00-04:00,2025-10-09 13:10:00-04:00,4,2,0.8861093081380393,80-100%,0.001587090776892185,0.475113638859,40-60%,-1.0,-20.0,stop,12,-0.0019516219852896352,0.9236694591182496,-0.312463072253084,0.8982392445715698,0.0,1.0,-1.2296851659054244,0.7225285288623382
2025-10-09 13:14:00-04:00,2025-10-09 13:29:00-04:00,4,2,0.6265749352230621,60-80%,0.0016024570370782583,0.48128417400469925,40-60%,0.9625,19.25,timeout,15,-0.0016779597596057478,0.6771886443671431,-0.23717939217906178,0.39475253298107027,0.0,1.0,-1.0471168466801162,0.43435856354403507
2025-10-09 13:36:00-04:00,2025-10-09 13:38:00-04:00,4,2,0.5273350772647383,40-60%,0.0017518166756865469,0.5428182437031994,40-60%,-1.0,-20.0,stop,2,-0.0016215024558629085,0.6263389438269599,-0.21410419923873114,0.24042887343865676,0.0,1.0,-0.9256119537893042,0.24257249179333637
2025-10-10 15:33:00-04:00,2025-10-10 15:36:00-04:00,4,2,0.8296003513394817,80-100%,0.0021040278467800663,0.6670633962098421,60-80%,1.3,26.0,target,3,-0.003383893494274703,1.0,-0.3589928539477702,1.0,0.07729468599033816,0.3184014053579271,-1.608293112400247,1.0
2025-10-10 15:37:00-04:00,2025-10-10 15:39:00-04:00,4,2,0.9817428947863731,80-100%,0.0022577902051032356,0.7116230044577175,60-80%,1.3,26.0,target,2,-0.0051889023785087265,1.0,-0.5369627285139406,1.0,0.008281573498964804,0.9269715791454922,-2.298221671251988,1.0
2025-10-13 13:26:00-04:00,2025-10-13 13:41:00-04:00,4,2,0.45296923241237935,40-60%,0.0015511916871940204,0.45940402731724456,40-60%,0.3375,6.75,timeout,15,-0.0014596150995500197,0.48053099615647926,-0.21280069073229863,0.2317111910566498,0.018957345971563982,0.8328306764325721,-0.9409637194422726,0.2668040660038163
2025-10-13 14:47:00-04:00,2025-10-13 15:02:00-04:00,4,2,0.27731167652236055,20-40%,0.0012296336555987994,0.302378181339072,20-40%,1.3,26.0,target,15,-0.0009729655364817163,0.042217741546390034,-0.18361381228669887,0.03651343457453208,0.0,1.0,-0.7912645624585702,0.030515529968519924
2025-10-13 15:03:00-04:00,2025-10-13 15:07:00-04:00,4,2,0.7665775401069519,60-80%,0.0015039348685741887,0.43768637870835986,40-60%,-1.0,-20.0,stop,4,-0.0026208951852991374,1.0,-0.3986504620348487,1.0,0.10588235294117647,0.06631016042780749,-1.7426919476798137,1.0
2025-10-14 14:43:00-04:00,2025-10-14 14:47:00-04:00,4,2,0.35122049945583433,20-40%,0.0013077098336519697,0.3442719427304069,20-40%,-1.0,-20.0,stop,4,-0.00110322082063869,0.15953546226731044,-0.1979181949341673,0.13217914291164695,0.0,1.0,-0.8436281445997738,0.11316739264437985
2025-10-14 15:34:00-04:00,2025-10-14 15:38:00-04:00,4,2,0.35507883977276444,20-40%,0.0014091681936133124,0.39403588133248424,20-40%,1.3,26.0,target,4,-0.0011925941326645655,0.24003179934887955,-0.18755655520556558,0.06288194717799499,0.0,1.0,-0.8463107087356126,0.1174016125641832
