model,tail_percent,rr,horizon,probability_threshold,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
xgboost,12.5,1.3,15,0.56,4,90,0.5258620689655172,0.49964601032816924,0.20948275862068969,0.14918582375478928,1.4500000000000002,1.3401785714285714,6.6000000000000005,-7.1000000000000005,5
xgboost,9.999999999999998,1.3,10,0.56,4,76,0.5258620689655172,0.4691810344827586,0.20948275862068966,0.07911637931034483,1.4500000000000002,1.3479166666666667,13.700000000000001,-4.0,4
xgboost,9.999999999999998,1.2,15,0.52,4,181,0.5493827160493827,0.5219135802469136,0.20864197530864195,0.14820987654320986,1.4877272727272728,1.3847727272727273,32.39999999999999,-8.8,7
xgboost,9.999999999999998,1.35,12,0.5,4,125,0.5139634801288937,0.5111484067311135,0.2078141783029001,0.20119875581811675,1.4781250000000001,1.4863839285714286,27.750000000000007,-6.949999999999999,6
xgboost,17.500000000000004,1.35,12,0.54,4,129,0.5136363636363637,0.5133116883116883,0.20704545454545462,0.2062824675324676,1.4413043478260872,1.4519021739130435,28.450000000000006,-7.25,5
xgboost,17.500000000000004,1.35,15,0.52,4,147,0.5125035929864903,0.5062517964932451,0.2043834435182524,0.18969172175912621,1.4252727272727275,1.4045113636363638,29.250000000000007,-5.65,5
xgboost,17.500000000000004,1.35,10,0.52,4,160,0.5121951219512195,0.5029725609756097,0.2036585365853659,0.18198551829268295,1.4192307692307695,1.3846153846153846,32.7,-5.950000000000001,5
xgboost,15.000000000000002,1.35,10,0.5,4,168,0.5104797979797979,0.455239898989899,0.19962752525252528,0.06981376262626264,1.4609291084854998,1.3210895542427499,15.300000000000004,-9.95,7
xgboost,17.500000000000004,1.35,12,0.5,4,199,0.509963768115942,0.49918478260869564,0.1984148550724638,0.1730842391304348,1.4164772727272728,1.3681125859434684,36.0,-9.549999999999999,5
xgboost,9.999999999999998,1.2,15,0.6,4,107,0.542483660130719,0.4962418300653595,0.19346405228758168,0.09173202614379083,1.4249999999999998,1.2910714285714284,16.2,-5.0,5
xgboost,15.000000000000002,1.3,15,0.56,4,101,0.5181818181818182,0.5448051948051948,0.19181818181818183,0.2530519480519481,1.4782258064516132,1.7953629032258065,14.000000000000002,-7.6000000000000005,4
xgboost,9.999999999999998,1.25,15,0.54,4,141,0.5287037037037037,0.5101851851851852,0.18958333333333333,0.14791666666666667,1.4270687237026647,1.3593676951846656,23.25,-6.0,6
xgboost,12.5,1.3,15,0.54,4,114,0.5166666666666666,0.4904761904761905,0.18833333333333335,0.12809523809523812,1.3928571428571428,1.3103174603174605,5.600000000000002,-13.899999999999999,6
xgboost,12.5,1.35,15,0.6,4,52,0.5055555555555555,0.48675213675213674,0.1880555555555556,0.1438675213675214,1.5107142857142857,1.5546992481203008,-0.29999999999999893,-10.250000000000002,6
xgboost,12.5,1.25,12,0.54,4,141,0.5277777777777778,0.5028286295448767,0.1875,0.13136441647597252,1.40625,1.3217659883720931,7.5,-16.25,7
xgboost,12.5,1.35,12,0.56,4,79,0.5046777546777547,0.5106722106722106,0.18599272349272356,0.20007969507969514,1.43474025974026,1.6736201298701299,15.000000000000004,-9.25,4
xgboost,15.000000000000002,1.25,15,0.56,4,133,0.5265121759622938,0.5105822911897031,0.18465239591516105,0.14881015517683188,1.46509009009009,1.4498745904995904,15.5,-10.75,5
xgboost,12.5,1.25,15,0.5,4,208,0.5262032085561497,0.519233679749773,0.1839572192513369,0.16827577943698918,1.42512077294686,1.4118431733586758,23.75,-10.0,6
xgboost,17.500000000000004,1.35,12,0.52,4,158,0.5036036036036036,0.5173246776187953,0.18346846846846848,0.2157129924041689,1.3847426470588236,1.4999606092436975,32.35,-8.899999999999999,5
xgboost,9.999999999999998,1.25,15,0.52,4,167,0.525181598062954,0.512590799031477,0.1816585956416465,0.15332929782082325,1.4377741228070176,1.436893013784461,26.5,-9.75,6
xgboost,12.5,1.25,15,0.56,4,122,0.525,0.5307291666666667,0.18125,0.194140625,1.3888888888888888,1.5332602339181287,8.5,-11.25,5
xgboost,19.999999999999996,1.25,15,0.58,4,112,0.5235745614035088,0.5183232284141727,0.17804276315789475,0.16622726393188855,1.373792270531401,1.3552989130434783,18.5,-7.25,6
xgboost,15.000000000000002,1.3,15,0.58,4,75,0.5119047619047619,0.6170634920634921,0.17738095238095242,0.4192460317460318,1.4036231884057973,inf,12.400000000000002,-7.4,6
xgboost,17.500000000000004,1.25,15,0.56,4,125,0.5227272727272727,0.5114801864801864,0.17613636363636365,0.15083041958041957,1.375,1.3338472485768502,14.5,-9.0,5
xgboost,17.500000000000004,1.25,10,0.54,4,166,0.5226086956521738,0.49895256916996045,0.1758695652173913,0.12264328063241106,1.3894230769230769,1.317361914401388,23.0,-6.5,5
xgboost,17.500000000000004,1.35,10,0.58,4,76,0.5,0.4846153846153846,0.17500000000000004,0.13884615384615387,1.35,1.2937500000000002,13.300000000000004,-5.600000000000001,3
baseline,9.999999999999998,1.25,12,0.0,4,526,0.5341591591591592,0.5208217014283191,0.17278609360410832,0.1529943579346153,1.4180961760689148,1.3599304136926929,68.6375,-18.6625,6
xgboost,17.500000000000004,1.2,12,0.56,4,140,0.532051282051282,0.5343004948268106,0.17051282051282046,0.1754610886189833,1.3764705882352941,1.5291443850267377,22.799999999999994,-5.999999999999999,4
xgboost,19.999999999999996,1.2,12,0.56,4,160,0.5315091210613598,0.4695589083567669,0.1693200663349917,0.03302959838488712,1.3681818181818182,1.174090909090909,15.999999999999996,-9.4,6
