hypothesis,direction,barrier,horizon,windows,total_trades,mean_WR,median_R,mean_PF,median_PF,total_R,worst_DD
S2_SHORT_CONTINUATION,short,1.00R,15,4,1363,0.5066841118065258,-0.006450056133205403,1.0442463516243847,0.9861949946929396,22.7875,-26.587500000000002
S2_SHORT_CONTINUATION,short,0.50R,15,4,1664,0.6599541166002307,-0.006472262818170743,1.02669405982494,0.9811623662962563,13.950000000000006,-32.125
S2_LONG_CONTINUATION,long,0.67R,5,4,1428,0.5434628239152358,-0.006942996808467652,0.9837843318395538,0.9757441760560187,1.1274999999999995,-20.652500000000007
S1_LONG_CONTINUATION,long,0.50R,5,4,1212,0.6028817256351582,-0.007111262077294685,0.9608619287821843,0.9756533761189781,-13.625,-16.849999999999998
S2_SHORT_CONTINUATION,short,0.67R,15,4,1512,0.5873251286314051,-0.008877257210311384,0.992224443020191,0.9774143917569513,-6.159999999999997,-36.21499999999985
S2_SHORT_CONTINUATION,short,0.67R,10,4,1520,0.5817455085963634,-0.009278836382113815,0.9958548838845335,0.9757688664618902,-3.812499999999993,-35.324999999999854
S2_SHORT_CONTINUATION,short,0.50R,10,4,1670,0.6507429312186676,-0.009351028591352858,1.0157827066572493,0.9719915772738301,9.225000000000001,-32.55
S2_SHORT_CONTINUATION,short,0.75R,10,4,1483,0.5603298026876233,-0.009990452144422107,1.0176046184317875,0.9743831679994335,2.1999999999999926,-36.75
S2_LONG_CONTINUATION,long,1.00R,10,4,1221,0.49214940788038236,-0.01053920038295038,1.0247779837962876,0.9753123470617739,9.900000000000002,-21.5125
S1_SHORT_CONTINUATION,short,1.00R,15,4,1349,0.48584743049024914,-0.011648306833400814,0.9651622215272795,0.9807651131535969,-28.75,-46.8375
S1_LONG_CONTINUATION,long,1.00R,10,4,1020,0.49493188040521907,-0.011698458290371675,0.931728745717898,0.9748388573049207,-32.25,-31.062499999999993
S1_SHORT_CONTINUATION_15,short,1.00R,15,4,1378,0.4992275256640688,-0.012136517750299166,1.0094375933723962,0.9722810168592697,10.862499999999999,-26.775
S1_SHORT_CONTINUATION,short,1.00R,10,4,1359,0.48828852243979687,-0.013158306302131597,0.9858779923251217,0.9790003094511787,-17.662499999999994,-36.39999999999999
