dataset,mae_threshold,horizon,recovery_level,trades,reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
DEVELOPMENT,0.6,8,0.0,95,31,0.3263157894736842,0.5161290322580645,,,-0.03903225806451613,
DEVELOPMENT,0.6,8,0.1,95,26,0.2736842105263158,0.5384615384615384,,,0.036153846153846134,
DEVELOPMENT,0.6,8,0.2,95,24,0.25263157894736843,0.5,,,-0.05250000000000001,
DEVELOPMENT,0.6,8,0.3,95,19,0.2,0.5263157894736842,,,0.022105263157894715,
DEVELOPMENT,0.6,8,0.4,95,16,0.16842105263157894,0.5625,,,0.11249999999999999,
DEVELOPMENT,0.6,10,-0.5,95,68,0.7157894736842105,0.29411764705882354,,,-0.3991176470588235,
DEVELOPMENT,0.6,10,-0.4,95,60,0.631578947368421,0.31666666666666665,,,-0.3588333333333334,
DEVELOPMENT,0.6,10,-0.3,95,50,0.5263157894736842,0.38,,,-0.29040000000000005,
DEVELOPMENT,0.6,10,-0.2,95,44,0.4631578947368421,0.4318181818181818,,,-0.1715909090909091,
DEVELOPMENT,0.6,10,-0.1,95,38,0.4,0.5,,,-0.10578947368421059,
DEVELOPMENT,0.6,10,0.0,95,33,0.3473684210526316,0.5454545454545454,,,-0.026060606060606128,
DEVELOPMENT,0.6,10,0.1,95,29,0.30526315789473685,0.5862068965517241,,,0.06448275862068965,
DEVELOPMENT,0.6,10,0.2,95,27,0.28421052631578947,0.5555555555555556,,,0.056296296296296275,
DEVELOPMENT,0.6,10,0.3,95,21,0.22105263157894736,0.5714285714285714,,,0.0847619047619047,
DEVELOPMENT,0.6,10,0.4,95,19,0.2,0.631578947368421,,,0.23210526315789473,
DEVELOPMENT,0.6,12,-0.5,95,69,0.7263157894736842,0.2898550724637681,,,-0.4,
DEVELOPMENT,0.6,12,-0.4,95,61,0.6421052631578947,0.32786885245901637,,,-0.35131147540983604,
DEVELOPMENT,0.6,12,-0.3,95,53,0.5578947368421052,0.3584905660377358,,,-0.3052830188679245,
DEVELOPMENT,0.6,12,-0.2,95,45,0.47368421052631576,0.4222222222222222,,,-0.18288888888888885,
DEVELOPMENT,0.6,12,-0.1,95,42,0.4421052631578947,0.4523809523809524,,,-0.14738095238095242,
DEVELOPMENT,0.6,12,0.0,95,35,0.3684210526315789,0.5142857142857142,,,-0.048857142857142905,
DEVELOPMENT,0.6,12,0.1,95,31,0.3263157894736842,0.5483870967741935,,,0.032903225806451615,
DEVELOPMENT,0.6,12,0.2,95,30,0.3157894736842105,0.5333333333333333,,,0.03033333333333333,
DEVELOPMENT,0.6,12,0.3,95,23,0.24210526315789474,0.5652173913043478,,,0.12391304347826079,
DEVELOPMENT,0.6,12,0.4,95,21,0.22105263157894736,0.6190476190476191,,,0.2609523809523809,
DEVELOPMENT,0.7,1,-0.5,95,35,0.3684210526315789,0.4,,,-0.2574285714285714,
DEVELOPMENT,0.7,1,-0.4,95,25,0.2631578947368421,0.36,,,-0.36920000000000003,
DEVELOPMENT,0.7,1,-0.3,95,12,0.12631578947368421,0.3333333333333333,,,-0.5908333333333333,
DEVELOPMENT,0.7,1,-0.2,95,9,0.09473684210526316,0.3333333333333333,,,-0.4933333333333333,
DEVELOPMENT,0.7,1,-0.1,95,4,0.042105263157894736,0.5,,,0.03999999999999998,
DEVELOPMENT,0.7,1,0.0,95,3,0.031578947368421054,0.6666666666666666,,,0.5,
DEVELOPMENT,0.7,1,0.1,95,2,0.021052631578947368,0.5,,,-0.30000000000000004,
DEVELOPMENT,0.7,1,0.2,95,2,0.021052631578947368,0.5,,,-0.30000000000000004,
DEVELOPMENT,0.7,2,-0.5,95,45,0.47368421052631576,0.3333333333333333,,,-0.31355555555555553,
DEVELOPMENT,0.7,2,-0.4,95,35,0.3684210526315789,0.34285714285714286,,,-0.35600000000000004,
DEVELOPMENT,0.7,2,-0.3,95,25,0.2631578947368421,0.36,,,-0.3724,
DEVELOPMENT,0.7,2,-0.2,95,17,0.17894736842105263,0.4117647058823529,,,-0.20941176470588233,
DEVELOPMENT,0.7,2,-0.1,95,12,0.12631578947368421,0.5833333333333334,,,0.20416666666666675,
DEVELOPMENT,0.7,2,0.0,95,7,0.07368421052631578,0.7142857142857143,,,0.6128571428571429,
DEVELOPMENT,0.7,2,0.1,95,4,0.042105263157894736,0.5,,,0.355,
DEVELOPMENT,0.7,2,0.2,95,4,0.042105263157894736,0.5,,,0.355,
DEVELOPMENT,0.7,2,0.3,95,1,0.010526315789473684,0.0,,,-2.71,
DEVELOPMENT,0.7,2,0.4,95,1,0.010526315789473684,0.0,,,-2.71,
DEVELOPMENT,0.7,3,-0.5,95,53,0.5578947368421052,0.33962264150943394,,,-0.2856603773584906,
DEVELOPMENT,0.7,3,-0.4,95,44,0.4631578947368421,0.3409090909090909,,,-0.3097727272727273,
