mae_threshold,horizon,recovery_level,development_reached_trades,development_reached_pct,development_reached_WR,development_not_reached_trades,development_not_reached_WR,development_WR_difference,development_reached_mean_R,development_not_reached_mean_R,development_mean_R_difference,holdout_reached_trades,holdout_reached_pct,holdout_reached_WR,holdout_not_reached_trades,holdout_not_reached_WR,holdout_WR_difference,holdout_reached_mean_R,holdout_not_reached_mean_R,holdout_mean_R_difference
0.6,4.0,0.4,7,0.07368421052631578,0.5714285714285714,88,0.18181818181818182,0.3896103896103896,-0.4357142857142858,-0.7322727272727273,0.2965584415584415,11,0.11,0.6363636363636364,89,0.2247191011235955,0.41164453524004085,0.7927272727272728,-0.8356179775280898,1.6283452502553626
0.6,5.0,-0.5,58,0.6105263157894737,0.3103448275862069,37,0.05405405405405406,0.25629077353215285,-0.34396551724137936,-1.284864864864865,0.9408993476234857,65,0.65,0.35384615384615387,35,0.11428571428571428,0.2395604395604396,-0.34323076923076923,-1.2382857142857142,0.895054945054945
0.6,5.0,-0.4,47,0.49473684210526314,0.3404255319148936,48,0.08333333333333333,0.2570921985815603,-0.288936170212766,-1.123125,0.834188829787234,53,0.53,0.41509433962264153,47,0.10638297872340426,0.3087113608992373,-0.18905660377358494,-1.1836170212765957,0.9945604175030108
0.6,5.0,-0.3,39,0.4105263157894737,0.38461538461538464,56,0.08928571428571429,0.29532967032967034,-0.2812820512820513,-1.0092857142857141,0.7280036630036628,49,0.49,0.40816326530612246,51,0.13725490196078433,0.27090836334533813,-0.18428571428571427,-1.1101960784313725,0.9259103641456582
0.6,5.0,-0.2,37,0.3894736842105263,0.40540540540540543,58,0.08620689655172414,0.3191985088536813,-0.2118918918918919,-1.028448275862069,0.816556383970177,43,0.43,0.4418604651162791,57,0.14035087719298245,0.30150958792329663,-0.09232558139534883,-1.0821052631578947,0.9897796817625458
0.6,5.0,-0.1,29,0.30526315789473685,0.4482758620689655,66,0.10606060606060606,0.34221525600835945,-0.19275862068965516,-0.9378787878787881,0.745120167189133,37,0.37,0.4864864864864865,63,0.14285714285714285,0.34362934362934366,-0.009999999999999985,-1.036190476190476,1.026190476190476
0.6,5.0,0.0,24,0.25263157894736843,0.5,71,0.11267605633802817,0.3873239436619718,-0.09416666666666668,-0.918732394366197,0.8245657276995304,29,0.29,0.5172413793103449,71,0.16901408450704225,0.3482272948033026,0.18586206896551727,-1.0005633802816898,1.186425449247207
0.6,5.0,0.1,18,0.18947368421052632,0.5,77,0.14285714285714285,0.35714285714285715,-0.07388888888888892,-0.8592207792207792,0.7853318903318903,24,0.24,0.4583333333333333,76,0.21052631578947367,0.24780701754385964,0.1195833333333333,-0.9015789473684208,1.0211622807017542
0.6,5.0,0.2,16,0.16842105263157894,0.5625,79,0.13924050632911392,0.4232594936708861,-0.003750000000000031,-0.8535443037974683,0.8497943037974682,20,0.2,0.55,80,0.2,0.35000000000000003,0.23650000000000002,-0.8797499999999999,1.11625
0.6,5.0,0.3,13,0.1368421052631579,0.6153846153846154,82,0.14634146341463414,0.46904315196998125,0.14999999999999994,-0.8468292682926829,0.9968292682926828,14,0.14,0.7142857142857143,86,0.19767441860465115,0.5166112956810631,0.9057142857142857,-0.9108139534883719,1.8165282392026576
