filter,window,trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
EXCLUDE_10_00_10_30,22,16,4,12,0.25,-0.336275,-1.0444,-5.3804,0.5330648800638734,-8.4084,5
EXCLUDE_10_00_10_30_14_30_PLUS,1,35,20,15,0.5714285714285714,0.2870285714285715,0.3556,10.046000000000003,2.0523779593547045,-2.777599999999998,2
EXCLUDE_10_00_10_30_14_30_PLUS,2,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
EXCLUDE_10_00_10_30_14_30_PLUS,3,30,10,20,0.3333333333333333,-0.3320666666666666,-0.6444,-9.961999999999998,0.4125486496049063,-9.038799999999998,5
EXCLUDE_10_00_10_30_14_30_PLUS,4,1,1,0,1.0,0.0456,0.0456,0.0456,inf,0.0,0
EXCLUDE_10_00_10_30_14_30_PLUS,5,29,12,17,0.41379310344827586,0.010772413793103449,-0.1244,0.3124,1.0287269650936108,-5.0283999999999995,5
EXCLUDE_10_00_10_30_14_30_PLUS,6,54,32,22,0.5925925925925926,0.23078518518518518,0.1406,12.462399999999999,1.79343978404258,-3.186399999999999,4
EXCLUDE_10_00_10_30_14_30_PLUS,7,3,1,2,0.3333333333333333,-0.14106666666666665,-0.2744,-0.42319999999999997,0.3943903835145965,-0.6988,2
EXCLUDE_10_00_10_30_14_30_PLUS,8,6,4,2,0.6666666666666666,0.5189333333333334,0.38060000000000005,3.1136,3.9406875708349074,-0.7944,1
EXCLUDE_10_00_10_30_14_30_PLUS,9,26,8,18,0.3076923076923077,-0.22709230769230765,-0.7043999999999999,-5.904399999999999,0.6021079303466496,-8.193599999999998,4
EXCLUDE_10_00_10_30_14_30_PLUS,10,31,18,13,0.5806451612903226,0.3717290322580646,0.2856,11.523600000000002,2.367429276628062,-4.001999999999999,5
EXCLUDE_10_00_10_30_14_30_PLUS,11,28,7,21,0.25,-0.4158285714285714,-0.9494,-11.643199999999998,0.33476551787183473,-11.259999999999996,5
EXCLUDE_10_00_10_30_14_30_PLUS,12,34,17,17,0.5,0.1288352941176471,0.01060000000000005,4.380400000000002,1.2762822615233242,-3.945199999999998,3
EXCLUDE_10_00_10_30_14_30_PLUS,13,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
EXCLUDE_10_00_10_30_14_30_PLUS,14,38,21,17,0.5526315789473685,0.26481052631578955,0.1956,10.062800000000003,1.6005920691383961,-3.1331999999999987,3
EXCLUDE_10_00_10_30_14_30_PLUS,15,3,1,2,0.3333333333333333,-0.12773333333333334,-1.0444,-0.3832,0.8165453849099962,-1.0444,1
EXCLUDE_10_00_10_30_14_30_PLUS,16,7,5,2,0.7142857142857143,0.4541714285714286,0.0956,3.1792000000000002,2.522022213711222,-2.0887999999999995,2
EXCLUDE_10_00_10_30_14_30_PLUS,17,4,2,2,0.5,0.3881,0.4456,1.5524,1.8351624704110179,-1.0444,1
EXCLUDE_10_00_10_30_14_30_PLUS,18,19,7,12,0.3684210526315789,-0.19282105263157895,-0.8344,-3.6636,0.6723897413885611,-8.4016,7
EXCLUDE_10_00_10_30_14_30_PLUS,19,2,1,1,0.5,0.3306,0.3306,0.6612,1.6330907698199923,0.0,1
EXCLUDE_10_00_10_30_14_30_PLUS,20,50,16,34,0.32,-0.18119999999999994,-1.0444,-9.059999999999997,0.7236928782296825,-11.248,7
EXCLUDE_10_00_10_30_14_30_PLUS,21,1,0,1,0.0,-1.0444,-1.0444,-1.0444,0.0,0.0,1
EXCLUDE_10_00_10_30_14_30_PLUS,22,13,4,9,0.3076923076923077,-0.17286153846153848,-1.0444,-2.2472000000000003,0.7321445599313435,-6.319599999999999,5
entry_past_return_5_BOTTOM25,1,8,7,1,0.875,0.7556,0.6856,6.0448,19.07655502392345,-0.3343999999999996,1
entry_past_return_5_BOTTOM25,3,7,2,5,0.2857142857142857,-0.14297142857142855,-1.0444,-1.0008,0.7731640979147779,-1.2788,3
entry_past_return_5_BOTTOM25,5,2,0,2,0.0,-1.0444,-1.0444,-2.0888,0.0,-1.0444,2
entry_past_return_5_BOTTOM25,6,5,3,2,0.6,0.2076,0.1156,1.038,1.4969360398314824,-2.0888,2
entry_past_return_5_BOTTOM25,9,28,10,18,0.35714285714285715,-0.1447571428571428,-0.4794,-4.053199999999999,0.7194861999280239,-6.120799999999999,7
entry_past_return_5_BOTTOM25,10,23,13,10,0.5652173913043478,0.5434260869565218,0.6356,12.498800000000001,2.9012473379981754,-2.088799999999999,2
entry_past_return_5_BOTTOM25,11,6,2,4,0.3333333333333333,-0.5060666666666667,-1.0444,-3.0364,0.2731711987744159,-2.0888,3
entry_past_return_5_BOTTOM25,12,25,11,14,0.44,-0.0788,-1.0444,-1.97,0.8652678229468733,-4.2264,4
entry_past_return_5_BOTTOM25,14,17,10,7,0.5882352941176471,0.3891294117647059,0.7856000000000001,6.6152,1.904853094052635,-2.088799999999999,2
entry_past_return_5_BOTTOM25,17,5,3,2,0.6,0.6516000000000001,1.7056,3.2580000000000005,2.7527437056165267,-1.0444,1
