sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct
DEVELOPMENT,0.8,5,95,49,-67.49,-56.690000000000005,10.79999999999999,-0.7104210526315788,-0.5967368421052632,0.11368421052631561,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.09121513305546648,-69.04999999999997,-55.929999999999986,13.119999999999983,1,10,0.1
HOLDOUT,0.8,5,100,72,-65.64999999999999,-68.24000000000001,-2.5900000000000176,-0.6564999999999999,-0.6824000000000001,-0.025900000000000256,0.27,0.1,-0.17,0.3409296255396045,0.15345490633916387,-64.88999999999997,-67.13000000000001,-2.2400000000000375,1,10,0.1
DEVELOPMENT,0.8,6,95,56,-67.49,-56.50999999999999,10.980000000000004,-0.7104210526315788,-0.5948421052631578,0.115578947368421,0.21052631578947367,0.09473684210526316,-0.11578947368421051,0.18559189091347894,0.08633791430881163,-69.04999999999997,-55.749999999999986,13.299999999999983,1,10,0.1
HOLDOUT,0.8,6,100,84,-65.64999999999999,-63.81,1.8399999999999892,-0.6564999999999999,-0.6381,0.01839999999999986,0.27,0.07,-0.2,0.3409296255396045,0.13289849164288625,-64.88999999999997,-62.69999999999999,2.1899999999999835,1,10,0.1
DEVELOPMENT,0.8,8,95,80,-67.49,-61.82999999999999,5.660000000000004,-0.7104210526315788,-0.6508421052631578,0.059578947368421065,0.21052631578947367,0.06315789473684211,-0.14736842105263157,0.18559189091347894,0.0381144990665837,-69.04999999999997,-61.06999999999999,7.979999999999976,1,10,0.1
HOLDOUT,0.8,8,100,94,-65.64999999999999,-67.33,-1.6800000000000068,-0.6564999999999999,-0.6733,-0.016800000000000148,0.27,0.04,-0.23,0.3409296255396045,0.0872983597668429,-64.88999999999997,-66.22,-1.3300000000000267,0,10,0.0
DEVELOPMENT,0.85,2,95,11,-67.49,-60.93,6.559999999999995,-0.7104210526315788,-0.6413684210526316,0.06905263157894725,0.21052631578947367,0.2,-0.010526315789473661,0.18559189091347894,0.17248404183077554,-69.04999999999997,-62.769999999999996,6.279999999999973,1,10,0.1
HOLDOUT,0.85,2,100,26,-65.64999999999999,-76.24999999999999,-10.599999999999994,-0.6564999999999999,-0.7624999999999998,-0.10599999999999998,0.27,0.19,-0.08000000000000002,0.3409296255396045,0.21367433226771165,-64.88999999999997,-75.48999999999995,-10.59999999999998,2,10,0.2
DEVELOPMENT,0.85,3,95,21,-67.49,-57.7,9.789999999999992,-0.7104210526315788,-0.6073684210526316,0.10305263157894728,0.21052631578947367,0.18947368421052632,-0.02105263157894735,0.18559189091347894,0.16558206796818517,-69.04999999999997,-59.53999999999999,9.509999999999977,1,10,0.1
HOLDOUT,0.85,3,100,42,-65.64999999999999,-66.80999999999999,-1.1599999999999966,-0.6564999999999999,-0.6680999999999999,-0.011600000000000055,0.27,0.17,-0.1,0.3409296255396045,0.22250669149307575,-64.88999999999997,-66.04999999999997,-1.1599999999999966,2,10,0.2
DEVELOPMENT,0.85,4,95,31,-67.49,-56.52,10.969999999999992,-0.7104210526315788,-0.5949473684210527,0.11547368421052617,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.15742397137745978,-69.04999999999997,-58.359999999999985,10.689999999999984,1,10,0.1
HOLDOUT,0.85,4,100,52,-65.64999999999999,-67.66999999999999,-2.019999999999996,-0.6564999999999999,-0.6766999999999999,-0.020199999999999996,0.27,0.15,-0.12000000000000002,0.3409296255396045,0.19717641475857162,-64.88999999999997,-66.91,-2.0200000000000244,1,10,0.1
DEVELOPMENT,0.85,5,95,37,-67.49,-58.37,9.119999999999997,-0.7104210526315788,-0.6144210526315789,0.09599999999999997,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.14338127384796004,-69.04999999999997,-59.63999999999998,9.40999999999999,1,10,0.1
HOLDOUT,0.85,5,100,68,-65.64999999999999,-68.65,-3.000000000000014,-0.6564999999999999,-0.6865000000000001,-0.03000000000000025,0.27,0.11,-0.16000000000000003,0.3409296255396045,0.15507692307692308,-64.88999999999997,-67.54,-2.650000000000034,1,10,0.1
DEVELOPMENT,0.85,6,95,43,-67.49,-59.849999999999994,7.640000000000001,-0.7104210526315788,-0.6299999999999999,0.08042105263157895,0.21052631578947367,0.12631578947368421,-0.08421052631578946,0.18559189091347894,0.1146449704142012,-69.04999999999997,-61.11999999999998,7.9299999999999855,1,10,0.1
HOLDOUT,0.85,6,100,80,-65.64999999999999,-65.27999999999999,0.37000000000000455,-0.6564999999999999,-0.6527999999999998,0.0037000000000000366,0.27,0.08,-0.19,0.3409296255396045,0.1329525833444017,-64.88999999999997,-64.16999999999999,0.7199999999999847,1,10,0.1
DEVELOPMENT,0.85,8,95,61,-67.49,-61.269999999999996,6.219999999999999,-0.7104210526315788,-0.6449473684210526,0.06547368421052624,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.10200791440715229,-69.04999999999997,-62.53999999999999,6.509999999999977,1,10,0.1
HOLDOUT,0.85,8,100,88,-65.64999999999999,-67.80999999999999,-2.1599999999999966,-0.6564999999999999,-0.6780999999999999,-0.021600000000000064,0.27,0.06,-0.21000000000000002,0.3409296255396045,0.10256749602964535,-64.88999999999997,-66.69999999999999,-1.8100000000000165,0,10,0.0
DEVELOPMENT,0.9,2,95,8,-67.49,-61.24000000000001,6.249999999999986,-0.7104210526315788,-0.6446315789473686,0.06578947368421029,0.21052631578947367,0.2,-0.010526315789473661,0.18559189091347894,0.17176088720584257,-69.04999999999997,-63.079999999999984,5.969999999999985,1,10,0.1
HOLDOUT,0.9,2,100,24,-65.64999999999999,-73.82,-8.170000000000002,-0.6564999999999999,-0.7382,-0.0817000000000001,0.27,0.2,-0.07,0.3409296255396045,0.2310416666666667,-64.88999999999997,-73.05999999999997,-8.170000000000002,2,10,0.2
DEVELOPMENT,0.9,3,95,17,-67.49,-60.78,6.709999999999994,-0.7104210526315788,-0.6397894736842106,0.07063157894736827,0.21052631578947367,0.18947368421052632,-0.02105263157894735,0.18559189091347894,0.1585213900041534,-69.04999999999997,-62.619999999999976,6.429999999999993,1,10,0.1
HOLDOUT,0.9,3,100,35,-65.64999999999999,-66.10999999999999,-0.45999999999999375,-0.6564999999999999,-0.6610999999999998,-0.0045999999999999375,0.27,0.18,-0.09000000000000002,0.3409296255396045,0.23739762371669168,-64.88999999999997,-65.34999999999998,-0.46000000000000796,2,10,0.2
