mae_threshold,horizon,recovery_level,observations,reached_trades,not_reached_trades,reached_pct,reached_win_rate,not_reached_win_rate,win_rate_difference,reached_mean_final_R,not_reached_mean_final_R
0.75,2,-0.4,195,79,116,0.40512820512820513,0.3924050632911392,,,-0.17392405063291144,
0.75,2,-0.3,195,63,132,0.3230769230769231,0.3968253968253968,,,-0.2077777777777778,
0.75,2,-0.2,195,47,148,0.24102564102564103,0.44680851063829785,,,0.005957446808510686,
0.75,2,-0.1,195,34,161,0.17435897435897435,0.6176470588235294,,,0.42176470588235293,
0.75,2,0.0,195,24,171,0.12307692307692308,0.625,,,0.33083333333333337,
0.75,2,0.1,195,16,179,0.08205128205128205,0.5625,,,0.31312500000000004,
0.75,2,0.2,195,15,180,0.07692307692307693,0.5333333333333333,,,0.29000000000000004,
0.75,2,0.3,195,8,187,0.041025641025641026,0.625,,,0.46875,
0.75,2,0.4,195,7,188,0.035897435897435895,0.5714285714285714,,,0.4842857142857144,
0.75,3,-0.5,195,110,85,0.5641025641025641,0.36363636363636365,,,-0.2220909090909091,
0.75,3,-0.4,195,92,103,0.4717948717948718,0.40217391304347827,,,-0.15402173913043482,
0.75,3,-0.3,195,79,116,0.40512820512820513,0.4177215189873418,,,-0.16746835443037977,
0.75,3,-0.2,195,61,134,0.3128205128205128,0.47540983606557374,,,0.026885245901639356,
0.75,3,-0.1,195,48,147,0.24615384615384617,0.5416666666666666,,,0.20124999999999996,
0.75,3,0.0,195,37,158,0.18974358974358974,0.5675675675675675,,,0.10729729729729728,
0.75,3,0.1,195,27,168,0.13846153846153847,0.5555555555555556,,,0.2403703703703703,
0.75,3,0.2,195,21,174,0.1076923076923077,0.6190476190476191,,,0.34761904761904766,
0.75,3,0.3,195,14,181,0.07179487179487179,0.6428571428571429,,,0.4771428571428572,
0.75,3,0.4,195,12,183,0.06153846153846154,0.5833333333333334,,,0.37999999999999995,
0.75,4,-0.5,195,119,76,0.6102564102564103,0.35294117647058826,,,-0.27142857142857135,
0.75,4,-0.4,195,97,98,0.49743589743589745,0.4020618556701031,,,-0.16618556701030926,
0.75,4,-0.3,195,83,112,0.4256410256410256,0.40963855421686746,,,-0.18506024096385543,
0.75,4,-0.2,195,72,123,0.36923076923076925,0.4583333333333333,,,-0.09027777777777775,
0.75,4,-0.1,195,60,135,0.3076923076923077,0.5,,,0.00633333333333332,
0.75,4,0.0,195,48,147,0.24615384615384617,0.5208333333333334,,,0.10625,
0.75,4,0.1,195,37,158,0.18974358974358974,0.5405405405405406,,,0.20648648648648651,
0.75,4,0.2,195,31,164,0.15897435897435896,0.6129032258064516,,,0.28999999999999987,
0.75,4,0.3,195,22,173,0.11282051282051282,0.6818181818181818,,,0.59,
0.75,4,0.4,195,18,177,0.09230769230769231,0.6111111111111112,,,0.38500000000000006,
0.75,5,-0.5,195,122,73,0.6256410256410256,0.3442622950819672,,,-0.2961475409836065,
0.75,5,-0.4,195,103,92,0.5282051282051282,0.3883495145631068,,,-0.19330097087378642,
0.75,5,-0.3,195,89,106,0.4564102564102564,0.4157303370786517,,,-0.1670786516853933,
0.75,5,-0.2,195,79,116,0.40512820512820513,0.46835443037974683,,,-0.05860759493670886,
0.75,5,-0.1,195,68,127,0.3487179487179487,0.5,,,0.01441176470588235,
0.75,5,0.0,195,58,137,0.29743589743589743,0.5172413793103449,,,0.049655172413793115,
0.75,5,0.1,195,47,148,0.24102564102564103,0.5106382978723404,,,0.17999999999999994,
0.75,5,0.2,195,40,155,0.20512820512820512,0.575,,,0.25425000000000003,
0.75,5,0.3,195,30,165,0.15384615384615385,0.6666666666666666,,,0.6176666666666666,
0.75,5,0.4,195,26,169,0.13333333333333333,0.6153846153846154,,,0.4969230769230769,
0.75,6,-0.5,195,130,65,0.6666666666666666,0.34615384615384615,,,-0.28130769230769226,
0.75,6,-0.4,195,113,82,0.5794871794871795,0.3893805309734513,,,-0.19150442477876103,
0.75,6,-0.3,195,99,96,0.5076923076923077,0.41414141414141414,,,-0.1725252525252525,
0.75,6,-0.2,195,87,108,0.4461538461538462,0.47126436781609193,,,-0.060459770114942545,
0.75,6,-0.1,195,75,120,0.38461538461538464,0.49333333333333335,,,-0.038533333333333315,
0.75,6,0.0,195,64,131,0.3282051282051282,0.53125,,,0.05312500000000003,
0.75,6,0.1,195,54,141,0.27692307692307694,0.5185185185185185,,,0.0677777777777778,
0.75,6,0.2,195,49,146,0.2512820512820513,0.5510204081632653,,,0.1016326530612245,
0.75,6,0.3,195,33,162,0.16923076923076924,0.6363636363636364,,,0.429090909090909,
0.75,6,0.4,195,30,165,0.15384615384615385,0.6333333333333333,,,0.4236666666666666,
0.75,8,-0.5,195,134,61,0.6871794871794872,0.3358208955223881,,,-0.30052238805970144,
0.75,8,-0.4,195,116,79,0.5948717948717949,0.3793103448275862,,,-0.21594827586206897,
0.75,8,-0.3,195,103,92,0.5282051282051282,0.4077669902912621,,,-0.1992233009708738,
0.75,8,-0.2,195,92,103,0.4717948717948718,0.45652173913043476,,,-0.09750000000000003,
0.75,8,-0.1,195,83,112,0.4256410256410256,0.4819277108433735,,,-0.05819277108433735,
0.75,8,0.0,195,70,125,0.358974358974359,0.5,,,-0.02871428571428571,
0.75,8,0.1,195,63,132,0.3230769230769231,0.5079365079365079,,,0.02682539682539682,
0.75,8,0.2,195,60,135,0.3076923076923077,0.5333333333333333,,,0.06416666666666668,
0.75,8,0.3,195,45,150,0.23076923076923078,0.6222222222222222,,,0.3504444444444444,
0.75,8,0.4,195,41,154,0.21025641025641026,0.6341463414634146,,,0.40219512195121954,
0.75,10,-0.5,195,139,56,0.7128205128205128,0.33093525179856115,,,-0.3134532374100719,
0.75,10,-0.4,195,123,72,0.6307692307692307,0.37398373983739835,,,-0.22796747967479672,
0.75,10,-0.3,195,111,84,0.5692307692307692,0.3963963963963964,,,-0.19513513513513514,
0.75,10,-0.2,195,97,98,0.49743589743589745,0.4536082474226804,,,-0.07577319587628864,
0.75,10,-0.1,195,88,107,0.4512820512820513,0.4772727272727273,,,-0.03647727272727274,
0.75,10,0.0,195,76,119,0.38974358974358975,0.5131578947368421,,,0.009736842105263141,
0.75,10,0.1,195,69,126,0.35384615384615387,0.5217391304347826,,,0.06275362318840581,
0.75,10,0.2,195,64,131,0.3282051282051282,0.53125,,,0.09593750000000001,
0.75,10,0.3,195,51,144,0.26153846153846155,0.6078431372549019,,,0.35137254901960785,
0.75,10,0.4,195,46,149,0.2358974358974359,0.6086956521739131,,,0.3706521739130434,
0.75,12,-0.5,195,143,52,0.7333333333333333,0.32867132867132864,,,-0.3145454545454545,
0.75,12,-0.4,195,129,66,0.6615384615384615,0.3643410852713178,,,-0.23465116279069767,
0.75,12,-0.3,195,117,78,0.6,0.39316239316239315,,,-0.2035897435897436,
0.75,12,-0.2,195,104,91,0.5333333333333333,0.4423076923076923,,,-0.09576923076923077,
0.75,12,-0.1,195,94,101,0.48205128205128206,0.46808510638297873,,,-0.059468085106382976,
0.75,12,0.0,195,82,113,0.4205128205128205,0.5121951219512195,,,0.02878048780487802,
0.75,12,0.1,195,77,118,0.39487179487179486,0.5324675324675324,,,0.1072727272727273,
0.75,12,0.2,195,70,125,0.358974358974359,0.5571428571428572,,,0.1612857142857143,
0.75,12,0.3,195,56,139,0.28717948717948716,0.625,,,0.4076785714285714,
0.75,12,0.4,195,50,145,0.2564102564102564,0.62,,,0.39580000000000004,
0.8,1,-0.5,186,63,123,0.3387096774193548,0.36507936507936506,,,-0.15984126984126987,
0.8,1,-0.4,186,51,135,0.27419354838709675,0.37254901960784315,,,-0.10901960784313723,
0.8,1,-0.3,186,32,154,0.17204301075268819,0.28125,,,-0.461875,
0.8,1,-0.2,186,24,162,0.12903225806451613,0.2916666666666667,,,-0.40874999999999995,
0.8,1,-0.1,186,12,174,0.06451612903225806,0.5,,,0.0725,
0.8,1,0.0,186,10,176,0.053763440860215055,0.5,,,-0.01399999999999999,
