mae_threshold,recovery_level,recovery_horizon,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,triggered_trades,recovery_exits,losses_rescued,winners_damaged,delta_R,mean_delta_R,benchmark_R,benchmark_win_rate,benchmark_profit_factor,benchmark_max_drawdown_R,development_window_positive_pct
0.6,0.4,10,95,27,68,0.28421052631578947,-0.64,-60.8,0.18944140781229166,-61.31999999999999,0.1,-13.34,0.44,95,19,6,6,6.690000000000001,0.07042105263157897,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.6,0.4,12,95,28,67,0.29473684210526313,-0.6398947368421053,-60.79,0.18577551567104206,-61.309999999999995,0.1,-13.34,0.44,95,21,7,7,6.700000000000001,0.0705263157894737,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.7,-0.5,2,95,6,89,0.06315789473684211,-0.7216842105263155,-68.55999999999997,0.03354947843247815,-67.51999999999997,0.0,-16.509999999999998,-0.29,95,45,20,15,-1.0700000000000005,-0.011263157894736848,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.5,3,95,6,89,0.06315789473684211,-0.7156842105263157,-67.99,0.025791660696374837,-66.95,0.0,-16.08,-0.29,95,53,23,18,-0.4999999999999998,-0.005263157894736839,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.5,4,95,5,90,0.05263157894736842,-0.7232631578947368,-68.71,0.022200085384943787,-67.66999999999999,0.0,-16.08,-0.29,95,55,23,19,-1.2200000000000004,-0.0128421052631579,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.5,5,95,5,90,0.05263157894736842,-0.7129473684210526,-67.72999999999999,0.0225140712945591,-66.68999999999998,0.0,-16.08,-0.29,95,57,25,19,-0.24000000000000088,-0.0025263157894736933,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.5,6,95,5,90,0.05263157894736842,-0.7086315789473684,-67.32,0.022648083623693378,-66.27999999999999,0.0,-15.8,-0.29,95,59,27,19,0.16999999999999926,0.0017894736842105185,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.5,8,95,5,90,0.05263157894736842,-0.6983157894736842,-66.34,0.022974963181148753,-65.30000000000001,0.0,-15.8,-0.29,95,61,29,19,1.1500000000000006,0.012105263157894742,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.5,10,95,4,91,0.042105263157894736,-0.6949473684210528,-66.02000000000001,0.021491033051726692,-64.98,0.0,-15.13,-0.29,95,64,31,20,1.4700000000000009,0.015473684210526325,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.5,12,95,4,91,0.042105263157894736,-0.6930526315789474,-65.84,0.021548521325605585,-64.80000000000001,0.0,-15.13,-0.29,95,66,33,20,1.6500000000000012,0.017368421052631592,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.4,2,95,9,86,0.09473684210526316,-0.6752631578947368,-64.14999999999999,0.05173688100517369,-63.11000000000001,0.0,-16.009999999999998,-0.29,95,35,17,12,3.34,0.0351578947368421,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.4,3,95,9,86,0.09473684210526316,-0.6698947368421053,-63.64,0.04387019230769231,-62.60000000000002,0.0,-15.889999999999999,-0.29,95,44,21,15,3.8499999999999996,0.04052631578947368,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.4,4,95,8,87,0.08421052631578947,-0.6753684210526315,-64.16,0.04009575104727707,-63.120000000000026,0.0,-15.889999999999999,-0.29,95,47,22,16,3.3299999999999983,0.03505263157894735,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.4,5,95,7,88,0.07368421052631578,-0.6789473684210526,-64.5,0.036450552733791455,-63.46000000000003,0.0,-15.9,-0.29,95,49,22,17,2.9899999999999993,0.031473684210526306,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.4,6,95,7,88,0.07368421052631578,-0.6702105263157895,-63.67,0.036908183330812284,-62.630000000000024,0.0,-15.49,-0.29,95,52,25,17,3.8199999999999985,0.04021052631578946,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.4,8,95,6,89,0.06315789473684211,-0.6570526315789473,-62.42,0.02590511860174782,-61.38000000000003,0.0,-15.13,-0.29,95,56,28,18,5.07,0.05336842105263158,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.4,10,95,4,91,0.042105263157894736,-0.6653684210526315,-63.209999999999994,0.02242499226724404,-62.17000000000002,0.0,-15.13,-0.29,95,59,29,20,4.2799999999999985,0.04505263157894735,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.4,12,95,4,91,0.042105263157894736,-0.6544210526315789,-62.169999999999995,0.022791574976422507,-61.130000000000024,0.0,-15.13,-0.29,95,62,32,20,5.32,0.056,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.0
0.7,-0.3,2,95,14,81,0.14736842105263157,-0.6501052631578947,-61.760000000000005,0.0839513497478493,-60.74999999999999,0.1,-14.7,0.09,95,25,13,9,5.73,0.06031578947368422,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.7,-0.3,3,95,14,81,0.14736842105263157,-0.6314736842105263,-59.99,0.07934315531000616,-58.98000000000001,0.1,-14.7,0.38,95,35,18,13,7.499999999999999,0.07894736842105263,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
0.7,-0.3,4,95,14,81,0.14736842105263157,-0.6307368421052632,-59.92,0.07942848363803964,-58.91000000000001,0.1,-14.63,0.38,95,36,19,13,7.569999999999999,0.07968421052631579,-67.49,0.21052631578947367,0.18559189091347894,-69.04999999999997,0.1
