mae_threshold,recovery_level,deadline,development_trades,development_wins,development_losses,development_win_rate,development_mean_R,development_total_R,development_profit_factor,development_max_drawdown_R,development_benchmark_total_R,development_benchmark_mean_R,development_benchmark_win_rate,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD,development_mae_triggered,development_recovery_exits,development_deadline_exits,development_recovery_exit_pct,_score
0.6,0.0,3,95,13,82,0.1368421052631579,-0.6066315789473684,-57.629999999999995,0.03012453719286436,-56.86999999999999,-67.49,-0.7104210526315788,0.21052631578947367,9.86,0.10378947368421043,-0.07368421052631577,12.179999999999978,95,15,80,0.15789473684210525,11.129894736842102
0.7,0.3,10,95,26,69,0.2736842105263158,-0.6061052631578947,-57.58,0.1706755005041049,-57.89,-67.49,-0.7104210526315788,0.21052631578947367,9.909999999999997,0.10431578947368414,0.06315789473684214,11.159999999999968,95,23,72,0.24210526315789474,11.078157894736835
0.7,0.1,8,95,27,68,0.28421052631578947,-0.6070526315789474,-57.67,0.13239055212877995,-57.40999999999999,-67.49,-0.7104210526315788,0.21052631578947367,9.819999999999993,0.10336842105263144,0.0736842105263158,11.63999999999998,95,27,68,0.28421052631578947,11.035684210526307
0.8,0.3,10,95,28,67,0.29473684210526313,-0.606315789473684,-57.59999999999999,0.18413597733711046,-58.35999999999998,-67.49,-0.7104210526315788,0.21052631578947367,9.890000000000008,0.10410526315789481,0.08421052631578946,10.68999999999999,89,20,69,0.2247191011235955,11.011052631578954
0.7,-0.2,5,95,12,83,0.12631578947368421,-0.608842105263158,-57.84,0.040636921545861675,-56.83,-67.49,-0.7104210526315788,0.21052631578947367,9.649999999999991,0.10157894736842088,-0.08421052631578946,12.21999999999997,95,37,58,0.3894736842105263,10.9227894736842
0.6,0.3,3,95,13,82,0.1368421052631579,-0.6087368421052631,-57.83,0.03745006657789614,-57.06999999999999,-67.49,-0.7104210526315788,0.21052631578947367,9.659999999999997,0.10168421052631571,-0.07368421052631577,11.979999999999976,95,3,92,0.031578947368421054,10.908842105263151
0.6,0.4,3,95,13,82,0.1368421052631579,-0.6087368421052631,-57.83,0.03745006657789614,-57.06999999999999,-67.49,-0.7104210526315788,0.21052631578947367,9.659999999999997,0.10168421052631571,-0.07368421052631577,11.979999999999976,95,2,93,0.021052631578947368,10.908842105263151
0.7,0.0,12,95,36,59,0.37894736842105264,-0.6078947368421054,-57.75000000000001,0.11710747592111301,-57.91,-67.49,-0.7104210526315788,0.21052631578947367,9.739999999999988,0.10252631578947347,0.16842105263157897,11.139999999999972,95,38,57,0.4,10.905263157894721
0.75,-0.1,5,95,20,75,0.21052631578947367,-0.6089473684210527,-57.85,0.069486890783336,-57.44999999999999,-67.49,-0.7104210526315788,0.21052631578947367,9.639999999999993,0.10147368421052616,0.0,11.59999999999998,95,31,64,0.3263157894736842,10.850736842105254
0.7,-0.1,12,95,25,70,0.2631578947368421,-0.608421052631579,-57.800000000000004,0.08486383787207091,-57.959999999999994,-67.49,-0.7104210526315788,0.21052631578947367,9.68999999999999,0.10199999999999987,0.05263157894736842,11.089999999999975,95,44,51,0.4631578947368421,10.849999999999989
0.7,0.3,12,95,28,67,0.29473684210526313,-0.6081052631578948,-57.77,0.18530531659850522,-58.40999999999999,-67.49,-0.7104210526315788,0.21052631578947367,9.719999999999992,0.10231578947368403,0.08421052631578946,10.63999999999998,95,25,70,0.2631578947368421,10.835157894736833
0.8,0.2,10,95,31,64,0.3263157894736842,-0.6079999999999999,-57.759999999999984,0.17225566064775005,-58.569999999999986,-67.49,-0.7104210526315788,0.21052631578947367,9.730000000000011,0.10242105263157897,0.11578947368421055,10.479999999999983,89,26,63,0.29213483146067415,10.8292105263158
0.8,0.2,3,95,15,80,0.15789473684210525,-0.6092631578947368,-57.879999999999995,0.08010171646535283,-57.479999999999976,-67.49,-0.7104210526315788,0.21052631578947367,9.61,0.101157894736842,-0.05263157894736842,11.569999999999993,89,8,81,0.0898876404494382,10.817578947368421
0.75,-0.1,8,95,23,72,0.24210526315789474,-0.6094736842105263,-57.9,0.0803684879288437,-57.29999999999998,-67.49,-0.7104210526315788,0.21052631578947367,9.589999999999996,0.10094736842105256,0.03157894736842107,11.749999999999986,95,37,58,0.3894736842105263,10.815473684210522
0.75,0.1,8,95,28,67,0.29473684210526313,-0.6090526315789474,-57.86000000000001,0.1357729648991785,-57.71999999999999,-67.49,-0.7104210526315788,0.21052631578947367,9.629999999999988,0.10136842105263144,0.08421052631578946,11.329999999999977,95,28,67,0.29473684210526313,10.8136842105263
0.7,0.0,8,95,29,66,0.30526315789473685,-0.6095789473684211,-57.910000000000004,0.08831863979848867,-57.309999999999974,-67.49,-0.7104210526315788,0.21052631578947367,9.579999999999991,0.10084210526315773,0.09473684210526317,11.739999999999995,95,31,64,0.3263157894736842,10.80442105263157
0.7,0.2,12,95,33,62,0.3473684210526316,-0.6087368421052632,-57.83000000000001,0.17326661901358115,-58.76,-67.49,-0.7104210526315788,0.21052631578947367,9.659999999999982,0.1016842105263156,0.13684210526315793,10.28999999999997,95,32,63,0.3368421052631579,10.739842105263136
