mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovery_exits,trades,wins,losses,win_rate,mean_R,total_R,delta_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R
0.7,0.5,6,95,11,95,25,70,0.2631578947368421,-0.6385263157894737,-60.660000000000004,6.829999999999991,0.2010010537407798,-62.749999999999986,0.2,-13.01,0.5
0.7,0.5,8,95,15,95,25,70,0.2631578947368421,-0.6596842105263158,-62.67,4.819999999999993,0.17452581664910435,-64.75999999999999,0.2,-14.18,0.5
0.7,0.5,10,95,19,95,26,69,0.2736842105263158,-0.6717894736842105,-63.82,3.6699999999999946,0.14918010931875747,-64.38,0.1,-14.18,0.5
0.7,0.5,12,95,23,95,29,66,0.30526315789473685,-0.6507368421052632,-61.82,5.669999999999995,0.1697555734622616,-62.379999999999995,0.1,-12.98,0.5
0.75,-0.2,2,95,17,95,13,82,0.1368421052631579,-0.7135789473684211,-67.79,-0.30000000000001137,0.09092128201689689,-66.86,0.1,-14.61,0.09
0.75,-0.2,3,95,26,95,8,87,0.08421052631578947,-0.7254736842105264,-68.92,-1.4300000000000068,0.05524331734064426,-67.88000000000001,0.0,-14.61,-0.2
0.75,-0.2,4,95,31,95,6,89,0.06315789473684211,-0.7310526315789474,-69.45,-1.960000000000008,0.04325664692106349,-68.41000000000003,0.0,-14.6,-0.2
0.75,-0.2,5,95,36,95,3,92,0.031578947368421054,-0.7541052631578947,-71.64,-4.150000000000006,0.013630731102850062,-70.60000000000002,0.0,-16.5,-0.2
0.75,-0.2,6,95,39,95,2,93,0.021052631578947368,-0.7442105263157895,-70.7,-3.210000000000008,0.0029615004935834165,-69.66000000000003,0.0,-16.5,-0.2
0.75,-0.2,8,95,40,95,2,93,0.021052631578947368,-0.7422105263157895,-70.51,-3.0200000000000102,0.0029694570135746614,-69.47000000000003,0.0,-16.5,-0.2
0.75,-0.2,10,95,43,95,1,94,0.010526315789473684,-0.740421052631579,-70.34,-2.8500000000000085,0.0014196479273140261,-69.30000000000004,0.0,-16.02,-0.2
