mae_threshold,recovery_level,deadline,development_trades,development_mae_triggered,development_recovered,development_failed,development_no_mae,development_recovery_rate,development_recovered_win_rate,development_failed_win_rate,development_win_rate_separation,development_recovered_mean_R,development_failed_mean_R,development_mean_R_separation,development_recovered_total_R,development_failed_total_R,development_recovered_PF,development_failed_PF,_selection_score
0.85,-0.1,8,95,79,20,59,16,0.25316455696202533,0.65,0.0,0.65,0.16150000000000003,-1.2525423728813558,1.4140423728813558,3.2300000000000004,-73.89999999999999,1.5559380378657484,0.0,1.357021186440678
0.9,0.3,5,95,74,6,68,21,0.08108108108108109,0.6666666666666666,0.08823529411764706,0.5784313725490196,0.4533333333333333,-1.0848529411764705,1.5381862745098038,2.7199999999999998,-73.77,1.8607594936708858,0.02407725889667946,1.3475245098039215
0.85,0.4,12,95,79,12,67,16,0.1518987341772152,0.6666666666666666,0.07462686567164178,0.5920398009950248,0.38666666666666666,-1.1240298507462687,1.5106965174129354,4.64,-75.31,2.3809523809523805,0.013621480026195155,1.3473880597014927
0.85,0.0,10,95,79,18,61,16,0.22784810126582278,0.6666666666666666,0.01639344262295082,0.6502732240437158,0.1638888888888889,-1.2068852459016393,1.3707741347905282,2.95,-73.61999999999999,1.532490974729242,0.0074153970608062565,1.33566029143898
0.85,0.1,10,95,79,18,61,16,0.22784810126582278,0.6666666666666666,0.01639344262295082,0.6502732240437158,0.1638888888888889,-1.2068852459016393,1.3707741347905282,2.95,-73.61999999999999,1.532490974729242,0.0074153970608062565,1.33566029143898
0.85,-0.2,5,95,79,15,64,16,0.189873417721519,0.6666666666666666,0.046875,0.6197916666666666,0.26333333333333336,-1.1659375,1.4292708333333335,3.95,-74.62,1.9634146341463414,0.013093506149980163,1.3344270833333334
0.85,0.0,8,95,79,16,63,16,0.20253164556962025,0.6875,0.031746031746031744,0.6557539682539683,0.18187499999999998,-1.1679365079365078,1.3498115079365078,2.9099999999999997,-73.58,1.5449438202247192,0.010622562861368834,1.3306597222222223
0.85,0.3,5,95,79,7,72,16,0.08860759493670886,0.7142857142857143,0.1111111111111111,0.6031746031746033,0.41857142857142854,-1.0222222222222221,1.4407936507936507,2.9299999999999997,-73.6,1.9272151898734176,0.038536903984323974,1.3235714285714286
0.85,0.1,5,95,79,10,69,16,0.12658227848101267,0.7,0.08695652173913043,0.6130434782608696,0.33099999999999996,-1.0721739130434782,1.4031739130434782,3.3099999999999996,-73.97999999999999,1.9821958456973292,0.030914330626146198,1.3146304347826088
0.85,0.0,5,95,79,12,67,16,0.1518987341772152,0.6666666666666666,0.07462686567164178,0.5920398009950248,0.32416666666666666,-1.1128358208955222,1.437002487562189,3.8899999999999997,-74.55999999999999,2.1543026706231454,0.023316740895991624,1.3105410447761194
