window,architecture,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak,trading_days,profitable_days,losing_days,mean_daily_R,median_daily_R,worst_day_R,best_day_R,trades_per_day,months,profitable_months,losing_months,mean_monthly_R,median_monthly_R,worst_month_R,best_month_R
11,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
12,A_SELECTIVE,61,0.4426229508196721,-0.09381967213114746,-5.722999999999995,0.8317976752046322,-9.210999999999995,5,34,15,19,-0.16832352941176448,-0.8637499999999998,-2.1109999999999998,2.3890000000000002,1.7941176470588236,4,2,2,-1.4307499999999986,-0.8272499999999989,-5.445499999999997,1.3770000000000011
12,B_SELECTIVE,54,0.46296296296296297,-0.08049999999999996,-4.346999999999998,0.8536215779371655,-6.840499999999998,4,31,12,19,-0.14022580645161284,-0.8664999999999998,-2.1109999999999998,3.7335,1.7419354838709677,4,1,3,-1.0867499999999994,-1.5762499999999993,-2.8214999999999995,1.6270000000000002
12,AB_SELECTIVE,54,0.46296296296296297,-0.08049999999999996,-4.346999999999998,0.8536215779371655,-6.840499999999998,4,31,12,19,-0.14022580645161284,-0.8664999999999998,-2.1109999999999998,3.7335,1.7419354838709677,4,1,3,-1.0867499999999994,-1.5762499999999993,-2.8214999999999995,1.6270000000000002
13,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
13,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
13,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
14,A_SELECTIVE,9,0.2222222222222222,-0.4707777777777777,-4.236999999999999,0.3125659122251967,-5.0885,4,6,1,5,-0.7061666666666665,-0.9609999999999999,-1.0554999999999999,0.13900000000000023,1.5,2,0,2,-2.1184999999999996,-2.1184999999999996,-4.0329999999999995,-0.20399999999999974
14,B_SELECTIVE,6,0.16666666666666666,-0.5534166666666666,-3.3204999999999996,0.18062924120913015,-2.9774999999999996,3,5,1,4,-0.6640999999999999,-1.0554999999999999,-1.0554999999999999,0.18900000000000006,1.2,2,0,2,-1.6602499999999998,-1.6602499999999998,-1.9219999999999997,-1.3984999999999999
14,AB_SELECTIVE,6,0.16666666666666666,-0.5534166666666666,-3.3204999999999996,0.18062924120913015,-2.9774999999999996,3,5,1,4,-0.6640999999999999,-1.0554999999999999,-1.0554999999999999,0.18900000000000006,1.2,2,0,2,-1.6602499999999998,-1.6602499999999998,-1.9219999999999997,-1.3984999999999999
15,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
15,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
15,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
16,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
16,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
16,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
17,A_SELECTIVE,24,0.5,0.06585416666666678,1.5805000000000027,1.1247828833096478,-5.2775,5,17,8,9,0.09297058823529429,-0.9164999999999996,-1.0554999999999999,2.5280000000000005,1.411764705882353,4,2,2,0.3951250000000007,0.16475000000000029,-1.693999999999999,2.945000000000001
17,B_SELECTIVE,17,0.5882352941176471,0.26361764705882357,4.4815000000000005,1.6065507207146241,-3.1664999999999996,3,12,7,5,0.3734583333333332,0.957,-2.1109999999999998,2.678,1.4166666666666667,4,2,2,1.1203750000000001,0.09050000000000014,-1.0554999999999999,5.356
17,AB_SELECTIVE,24,0.5,0.06585416666666678,1.5805000000000027,1.1247828833096478,-5.2775,5,17,8,9,0.09297058823529429,-0.9164999999999996,-1.0554999999999999,2.5280000000000005,1.411764705882353,4,2,2,0.3951250000000007,0.16475000000000029,-1.693999999999999,2.945000000000001
18,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
18,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
18,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
19,A_SELECTIVE,36,0.3888888888888889,-0.10376388888888881,-3.735499999999997,0.7347605353782796,-6.969999999999999,10,18,8,10,-0.20752777777777764,-0.17424999999999996,-1.5539999999999998,1.614,2.0,3,2,1,-1.245166666666666,1.0120000000000013,-6.3614999999999995,1.614
19,B_SELECTIVE,31,0.3548387096774194,-0.19743548387096774,-6.1205,0.5681425295466572,-5.7775,7,17,4,13,-0.3600294117647058,-0.34299999999999997,-2.1109999999999998,1.714,1.8235294117647058,3,0,3,-2.0401666666666665,-2.1449999999999996,-3.7894999999999994,-0.18599999999999983
19,AB_SELECTIVE,31,0.3548387096774194,-0.19743548387096774,-6.1205,0.5681425295466572,-5.7775,7,17,4,13,-0.3600294117647058,-0.34299999999999997,-2.1109999999999998,1.714,1.8235294117647058,3,0,3,-2.0401666666666665,-2.1449999999999996,-3.7894999999999994,-0.18599999999999983
20,A_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
20,B_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
20,AB_SELECTIVE,0,,,0.0,,,0,0,0,0,,,,,,0,0,0,,,,
21,A_SELECTIVE,18,0.3333333333333333,-0.30549999999999994,-5.498999999999999,0.5658455708195168,-7.249500000000001,6,11,5,6,-0.4999090909090908,-1.0554999999999999,-2.1109999999999998,1.3335000000000004,1.6363636363636365,4,2,2,-1.3747499999999997,-0.7774999999999994,-5.2775,1.3335000000000004
21,B_SELECTIVE,14,0.2857142857142857,-0.39835714285714274,-5.576999999999998,0.4716248223590715,-6.144,4,9,4,5,-0.6196666666666666,-1.0554999999999999,-2.1109999999999998,1.2445,1.5555555555555556,4,2,2,-1.3942499999999998,-1.2997499999999997,-3.1664999999999996,0.18900000000000006
21,AB_SELECTIVE,18,0.3333333333333333,-0.30549999999999994,-5.498999999999999,0.5658455708195168,-7.249500000000001,6,11,5,6,-0.4999090909090908,-1.0554999999999999,-2.1109999999999998,1.3335000000000004,1.6363636363636365,4,2,2,-1.3747499999999997,-0.7774999999999994,-5.2775,1.3335000000000004
22,A_SELECTIVE,1,0.0,-1.0554999999999999,-1.0554999999999999,0.0,0.0,1,1,0,1,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,1.0,1,0,1,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999
22,B_SELECTIVE,1,0.0,-1.0554999999999999,-1.0554999999999999,0.0,0.0,1,1,0,1,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,1.0,1,0,1,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999
22,AB_SELECTIVE,1,0.0,-1.0554999999999999,-1.0554999999999999,0.0,0.0,1,1,0,1,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,1.0,1,0,1,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999,-1.0554999999999999
