rule_type,decision_bar,threshold_a,threshold_b,window,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
MAE,3,0.5,,17,5,0.6,0.3196,1.5979999999999999,1.859694426511728,-1.8132000000000001
MAE,3,0.5,,18,20,0.3,-0.11089999999999997,-2.2179999999999995,0.7003350626891482,-5.696
MAE,3,0.5,,19,2,0.5,0.0006000000000000449,0.0012000000000000899,1.001194743130227,0.0
MAE,3,0.5,,20,71,0.39436619718309857,0.07320563380281692,5.197600000000001,1.1613700433416538,-7.161599999999999
MAE,3,0.5,,21,1,0.0,-0.0744,-0.0744,0.0,0.0
MAE,3,0.5,,22,17,0.29411764705882354,-0.12851764705882351,-2.1847999999999996,0.7822342715891876,-5.302
MAE,3,0.75,,1,43,0.5581395348837209,0.21653023255813955,9.3108,1.8003369550268191,-2.4975999999999985
MAE,3,0.75,,2,1,0.0,-0.23439999999999997,-0.23439999999999997,0.0,0.0
MAE,3,0.75,,3,38,0.34210526315789475,-0.2059789473684211,-7.827200000000001,0.6074623871614845,-7.869999999999999
MAE,3,0.75,,4,1,0.0,-0.3644,-0.3644,0.0,0.0
MAE,3,0.75,,5,43,0.4418604651162791,0.08164651162790702,3.510800000000002,1.2544869378642467,-3.882399999999999
MAE,3,0.75,,6,69,0.5507246376811594,0.17835362318840578,12.306399999999998,1.5592191362512728,-4.749599999999999
MAE,3,0.75,,7,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997,0.3943903835145965,-0.6988
MAE,3,0.75,,8,6,0.6666666666666666,0.5189333333333334,3.1136,3.9406875708349074,-0.7944
MAE,3,0.75,,9,40,0.3,-0.27715,-11.086,0.5189036244965978,-14.1464
MAE,3,0.75,,10,41,0.5365853658536586,0.33560000000000006,13.759600000000002,2.2034354883851104,-1.9488000000000003
MAE,3,0.75,,11,35,0.2857142857142857,-0.3498285714285713,-12.243999999999996,0.38688032048072113,-13.060799999999995
MAE,3,0.75,,12,43,0.4186046511627907,-0.1181209302325581,-5.079199999999998,0.7836797274275978,-6.784800000000001
MAE,3,0.75,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,3,0.75,,14,44,0.5454545454545454,0.3612818181818182,15.8964,2.0263688016528927,-2.820800000000002
MAE,3,0.75,,15,5,0.4,0.055600000000000004,0.278,1.088727179879995,-1.0444
MAE,3,0.75,,16,8,0.625,0.2956,2.3648,1.8145494626618903,-2.9031999999999996
MAE,3,0.75,,17,5,0.6,0.6516000000000001,3.2580000000000005,2.7527437056165267,-1.0444
MAE,3,0.75,,18,20,0.35,-0.08240000000000001,-1.6480000000000004,0.8202286412426913,-6.386
MAE,3,0.75,,19,2,0.5,0.0006000000000000449,0.0012000000000000899,1.001194743130227,0.0
MAE,3,0.75,,20,71,0.4225352112676056,0.06531830985915496,4.637600000000003,1.130708785695764,-7.6015999999999995
MAE,3,0.75,,21,1,0.0,-0.0744,-0.0744,0.0,0.0
MAE,3,0.75,,22,17,0.29411764705882354,-0.12851764705882351,-2.1847999999999996,0.7822342715891876,-5.302
MAE,3,1.0,,1,43,0.5813953488372093,0.2560651162790698,11.010800000000001,1.9460100350539558,-2.777599999999998
MAE,3,1.0,,2,1,0.0,-1.0444,-1.0444,0.0,0.0
