rule_type,decision_bar,threshold_a,threshold_b,window,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R
MAE,2,0.5,,8,6,0.6666666666666666,0.6189333333333332,3.7135999999999996,9.094158674803838,-0.1943999999999999
MAE,2,0.5,,9,40,0.275,-0.21139999999999998,-8.456,0.5833990225445373,-11.516399999999997
MAE,2,0.5,,10,41,0.4634146341463415,0.2682829268292683,10.999600000000001,2.0321672547106076,-2.1519999999999997
MAE,2,0.5,,11,35,0.2857142857142857,-0.2635428571428571,-9.223999999999998,0.4558112094395281,-10.040799999999997
MAE,2,0.5,,12,43,0.3488372093023256,-0.0669581395348837,-2.879199999999999,0.8506886823763691,-6.271199999999999
MAE,2,0.5,,13,1,0.0,-1.0444,-1.0444,0.0,0.0
MAE,2,0.5,,14,44,0.5227272727272727,0.3149181818181818,13.8564,1.8520513577331759,-3.380799999999999
MAE,2,0.5,,15,5,0.4,0.1436,0.718,1.2665973563047674,-1.0444
MAE,2,0.5,,16,8,0.625,0.32935000000000003,2.6348000000000003,2.000607625702567,-2.6331999999999995
MAE,2,0.5,,17,5,0.4,0.22759999999999997,1.138,1.500615871898645,-2.2732
MAE,2,0.5,,18,20,0.25,-0.21939999999999998,-4.388,0.5398489932885905,-7.776
MAE,2,0.5,,19,2,0.5,0.050600000000000034,0.10120000000000007,1.1967340590979785,0.0
MAE,2,0.5,,20,71,0.39436619718309857,0.061938028169014094,4.397600000000001,1.1301095883926244,-6.6815999999999995
MAE,2,0.5,,21,1,0.0,-0.2844,-0.2844,0.0,0.0
MAE,2,0.5,,22,17,0.29411764705882354,-0.12851764705882351,-2.1847999999999996,0.7822342715891876,-5.722799999999999
MAE,2,0.75,,1,43,0.5813953488372093,0.26164651162790703,11.250800000000002,1.9869815425643906,-2.777599999999998
MAE,2,0.75,,2,1,0.0,-0.3344,-0.3344,0.0,0.0
MAE,2,0.75,,3,38,0.3684210526315789,-0.19045263157894735,-7.2372,0.6304836206192306,-7.01
MAE,2,0.75,,4,1,1.0,0.0456,0.0456,inf,0.0
MAE,2,0.75,,5,43,0.4418604651162791,0.07560000000000001,3.2508000000000004,1.2346199370651578,-4.542399999999999
MAE,2,0.75,,6,69,0.5652173913043478,0.18415072463768115,12.706399999999999,1.5570050850429602,-5.4496
MAE,2,0.75,,7,3,0.3333333333333333,-0.14106666666666665,-0.42319999999999997,0.3943903835145965,-0.6988
MAE,2,0.75,,8,6,0.6666666666666666,0.5189333333333334,3.1136,3.9406875708349074,-0.7944
MAE,2,0.75,,9,40,0.3,-0.2624,-10.496,0.5325387917980511,-13.556399999999996
