sample,mae_threshold,decision_bar,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_mean_R,strategy_mean_R,delta_mean_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF,benchmark_max_DD_R,strategy_max_DD_R,delta_max_DD_R,positive_windows,total_windows,positive_window_pct,index,window,triggered,crossing_bar
DEVELOPMENT,0.7,3,,,-0.93,-0.93,,,,,,,,,,,,,,,,12,3.0,False,
DEVELOPMENT,0.7,3,,,-0.74,-0.74,,,,,,,,,,,,,,,,13,3.0,False,
DEVELOPMENT,0.7,3,,,0.78,-0.46,,,,,,,,,,,,,,,,14,3.0,True,3.0
DEVELOPMENT,0.7,3,,,0.24,0.24,,,,,,,,,,,,,,,,15,3.0,False,
DEVELOPMENT,0.7,3,,,2.11,-0.7,,,,,,,,,,,,,,,,16,3.0,True,1.0
DEVELOPMENT,0.7,3,,,-1.2,-0.55,,,,,,,,,,,,,,,,17,3.0,True,1.0
DEVELOPMENT,0.7,3,,,-0.46,-0.96,,,,,,,,,,,,,,,,18,3.0,True,2.0
DEVELOPMENT,0.7,3,,,-0.34,-0.34,,,,,,,,,,,,,,,,19,3.0,False,
DEVELOPMENT,0.7,3,,,-0.38,-0.38,,,,,,,,,,,,,,,,20,3.0,False,
DEVELOPMENT,0.7,3,,,-0.35,-0.65,,,,,,,,,,,,,,,,21,3.0,True,3.0
DEVELOPMENT,0.7,3,,,-1.93,-0.27,,,,,,,,,,,,,,,,22,3.0,True,2.0
DEVELOPMENT,0.7,3,,,0.09,-0.32,,,,,,,,,,,,,,,,23,4.0,True,3.0
DEVELOPMENT,0.7,3,,,-6.46,-0.69,,,,,,,,,,,,,,,,24,5.0,True,1.0
DEVELOPMENT,0.7,3,,,-0.08,-0.08,,,,,,,,,,,,,,,,25,5.0,False,
DEVELOPMENT,0.7,3,,,-1.35,-1.35,,,,,,,,,,,,,,,,26,5.0,False,
DEVELOPMENT,0.7,3,,,-0.39,-0.65,,,,,,,,,,,,,,,,27,5.0,True,3.0
DEVELOPMENT,0.7,3,,,-1.04,-0.79,,,,,,,,,,,,,,,,28,5.0,True,2.0
DEVELOPMENT,0.7,3,,,-2.71,-0.18,,,,,,,,,,,,,,,,29,5.0,True,1.0
