mae_threshold,recovery_level,recovery_horizon,trades,triggered_trades,recovered_trades,recovery_pct,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR,delta_WR,benchmark_PF,strategy_PF
0.8,0.75,7,95,80,4,0.05,-67.49,-58.75000000000001,8.739999999999988,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.14095628015791778
0.8,0.75,8,95,80,4,0.05,-67.49,-58.75000000000001,8.739999999999988,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.14095628015791778
0.8,1.0,6,95,80,2,0.025,-67.49,-58.84,8.649999999999991,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.14039444850255653
0.8,1.0,7,95,80,2,0.025,-67.49,-58.93,8.559999999999995,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.14021009629413475
0.8,1.0,8,95,80,2,0.025,-67.49,-58.93,8.559999999999995,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.14021009629413475
0.7,0.5,3,95,95,2,0.021052631578947368,-67.49,-58.95,8.539999999999992,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.06309599491417672
0.7,0.75,3,95,95,2,0.021052631578947368,-67.49,-58.95,8.539999999999992,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.06309599491417672
0.8,0.75,5,95,80,4,0.05,-67.49,-58.99000000000001,8.499999999999986,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.14196363636363632
0.7,0.75,6,95,95,4,0.042105263157894736,-67.49,-58.99000000000001,8.499999999999986,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.12178055679618871
0.75,0.25,2,95,95,2,0.021052631578947368,-67.49,-59.12,8.369999999999997,0.21052631578947367,0.07368421052631578,-0.13684210526315788,0.18559189091347894,0.0772592476978305
0.7,1.0,6,95,95,2,0.021052631578947368,-67.49,-59.14,8.349999999999994,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.12150920974450381
1.0,1.0,2,95,40,0,0.0,-67.49,-59.17,8.319999999999993,0.21052631578947367,0.18947368421052632,-0.02105263157894735,0.18559189091347894,0.17785188272891483
1.0,1.0,3,95,40,1,0.025,-67.49,-59.260000000000005,8.22999999999999,0.21052631578947367,0.18947368421052632,-0.02105263157894735,0.18559189091347894,0.1953835709436524
0.7,0.75,7,95,95,4,0.042105263157894736,-67.49,-59.5,7.989999999999995,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.12086288416075645
0.7,0.75,8,95,95,4,0.042105263157894736,-67.49,-59.5,7.989999999999995,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.12086288416075645
0.8,1.0,4,95,80,1,0.0125,-67.49,-59.64,7.849999999999994,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.11722912966252218
0.75,0.0,1,95,95,2,0.021052631578947368,-67.49,-59.64,7.849999999999994,0.21052631578947367,0.042105263157894736,-0.16842105263157894,0.18559189091347894,0.07290533188248094
0.75,0.25,1,95,95,2,0.021052631578947368,-67.49,-59.64,7.849999999999994,0.21052631578947367,0.042105263157894736,-0.16842105263157894,0.18559189091347894,0.07290533188248094
0.7,1.0,7,95,95,2,0.021052631578947368,-67.49,-59.68000000000001,7.809999999999988,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.1201533244876898
0.7,1.0,8,95,95,2,0.021052631578947368,-67.49,-59.68000000000001,7.809999999999988,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.1201533244876898
0.7,1.0,5,95,95,1,0.010526315789473684,-67.49,-59.71000000000001,7.779999999999987,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.10720693779904303
0.75,0.75,7,95,95,4,0.042105263157894736,-67.49,-59.81,7.679999999999993,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.12031181056037649
0.75,0.75,8,95,95,4,0.042105263157894736,-67.49,-59.81,7.679999999999993,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.12031181056037649
0.75,0.75,5,95,95,4,0.042105263157894736,-67.49,-59.87000000000001,7.619999999999983,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.12175443743582219
0.8,0.0,4,95,80,11,0.1375,-67.49,-59.9,7.589999999999996,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.1635246473956151
0.75,1.0,7,95,95,2,0.021052631578947368,-67.49,-59.99,7.499999999999993,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.11960669210449074
0.75,1.0,8,95,95,2,0.021052631578947368,-67.49,-59.99,7.499999999999993,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.11960669210449074
0.8,0.75,4,95,80,3,0.0375,-67.49,-60.03,7.459999999999994,0.21052631578947367,0.15789473684210525,-0.05263157894736842,0.18559189091347894,0.11250739207569486
0.8,0.25,4,95,80,8,0.1,-67.49,-60.1,7.3899999999999935,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.15613591687728162
0.75,0.75,6,95,95,4,0.042105263157894736,-67.49,-60.10000000000001,7.389999999999986,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.11980082015231394
0.7,0.0,4,95,95,15,0.15789473684210525,-67.49,-60.160000000000004,7.329999999999991,0.21052631578947367,0.11578947368421053,-0.09473684210526315,0.18559189091347894,0.15470001405086412
0.75,0.0,3,95,95,12,0.12631578947368421,-67.49,-60.17,7.319999999999993,0.21052631578947367,0.10526315789473684,-0.10526315789473684,0.18559189091347894,0.13956813956813954
0.75,1.0,6,95,95,2,0.021052631578947368,-67.49,-60.25,7.239999999999995,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.11953821423352326
0.8,1.0,5,95,80,1,0.0125,-67.49,-60.27,7.219999999999992,0.21052631578947367,0.16842105263157894,-0.04210526315789473,0.18559189091347894,0.12525399129172712
0.7,1.0,4,95,95,1,0.010526315789473684,-67.49,-60.309999999999995,7.18,0.21052631578947367,0.14736842105263157,-0.06315789473684211,0.18559189091347894,0.08635055294652323
0.8,0.0,3,95,80,9,0.1125,-67.49,-60.36000000000001,7.129999999999988,0.21052631578947367,0.1368421052631579,-0.07368421052631577,0.18559189091347894,0.14769839028523013
