rule_type,decision_bar,threshold_a,threshold_b,triggered_trades,trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,positive_window_pct,worst_window_R,best_window_R,longest_losing_streak
MFE_BELOW,10.0,0.5,,134,195,0.07692307692307693,-0.12245333333333333,-23.8784,0.4696328938483953,-25.749599999999987,0.3,-12.258,1.8712,5
MFE_BELOW,10.0,0.75,,160,195,0.06666666666666667,-0.01868717948717949,-3.644,0.8307226341118978,-8.974799999999998,0.35,-6.1196,3.2868,3
MFE_BELOW,10.0,1.0,,175,195,0.03076923076923077,-0.02173333333333333,-4.2379999999999995,0.6992534559595789,-5.458399999999999,0.2,-2.9863999999999997,1.9868,2
MFE_BELOW,12.0,0.25,,78,195,0.1282051282051282,-0.31792205128205125,-61.9948,0.31493522279733216,-64.0816000000001,0.15,-17.4388,1.0424,7
MFE_BELOW,12.0,0.5,,128,195,0.10256410256410256,-0.11022974358974358,-21.494799999999998,0.5285897255947783,-23.58159999999999,0.35,-12.8324,2.0868,5
MFE_BELOW,12.0,0.75,,158,195,0.07692307692307693,-0.01139897435897436,-2.2228000000000003,0.8967426649571698,-8.974799999999997,0.35,-6.1196,3.2868,3
MFE_BELOW,12.0,1.0,,171,195,0.05128205128205128,0.0019712820512820515,0.3844000000000001,1.0272786624655825,-5.075200000000001,0.3,-2.9863999999999997,2.9824,2
MAE_ABOVE,6.0,0.75,,160,195,0.02564102564102564,-0.11263589743589743,-21.964,0.19047619047619052,-22.179599999999994,0.0,-4.602,0.0,2
MAE_ABOVE,6.0,1.0,,83,195,0.13846153846153847,-0.2472451282051282,-48.2128,0.3760799233894973,-49.31080000000006,0.2,-9.1228,1.7056,7
MAE_ABOVE,8.0,0.75,,195,195,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
MAE_ABOVE,8.0,1.0,,102,195,0.13333333333333333,-0.15958564102564102,-31.119199999999996,0.4678186158823971,-33.922799999999974,0.3,-7.8228,2.5148,7
MAE_ABOVE,10.0,0.75,,195,195,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
MAE_ABOVE,10.0,1.0,,119,195,0.13333333333333333,-0.06853538461538461,-13.3644,0.6717976424361491,-17.528399999999984,0.4,-5.989599999999999,2.5148,4
MAE_ABOVE,12.0,0.75,,195,195,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
MAE_ABOVE,12.0,1.0,,126,195,0.13333333333333333,-0.03104410256410256,-6.053599999999999,0.8188044011829075,-11.758399999999993,0.4,-3.9008,3.5591999999999997,3
CLOSE_AND_MFE,6.0,-0.75,0.25,45,195,0.13846153846153847,-0.4545128205128205,-88.63,0.24692755278219622,-90.77239999999998,0.1,-17.4388,0.6612,10
CLOSE_AND_MFE,6.0,-0.75,0.5,57,195,0.13846153846153847,-0.3902420512820512,-76.09719999999999,0.2763564299190556,-78.23960000000007,0.1,-16.3944,0.6612,10
CLOSE_AND_MFE,6.0,-0.75,0.75,65,195,0.13846153846153847,-0.3473948717948717,-67.74199999999999,0.3002090839972234,-69.88440000000013,0.15,-13.261199999999999,1.7056,10
CLOSE_AND_MFE,6.0,-0.75,1.0,67,195,0.13846153846153847,-0.3366830769230769,-65.6532,0.30682979568048807,-67.79560000000012,0.15,-12.2168,1.7056,8
CLOSE_AND_MFE,6.0,-0.5,0.25,70,195,0.13846153846153847,-0.33702564102564103,-65.72,0.3066135478343807,-67.8624000000001,0.15,-15.35,0.6612,7
