volatility,selected,A_trades,A_WR,A_mean_R,A_PF,B_trades,B_WR,B_mean_R,B_PF,window
40-60,OFF,92,0.4782608695652174,-0.0686793478260869,0.8192209204182942,54,0.35185185185185186,-0.26591666666666663,0.4615355770132185,15
60-80,OFF,196,0.37755102040816324,-0.14548724489795914,0.7147979416603742,160,0.38125,-0.13073437499999996,0.7455895499242883,15
80-100,OFF,774,0.45478036175710596,-0.04619767441860457,0.9159293803973938,666,0.4369369369369369,-0.06488438438438435,0.8857818746489575,15
0-20,OFF,0,,,,0,,,,16
20-40,OFF,17,0.47058823529411764,-0.293735294117647,0.3834804617568986,15,0.3333333333333333,-0.43466666666666665,0.2759578012215436,16
40-60,OFF,84,0.4642857142857143,-0.06844642857142852,0.8412178956089482,59,0.4067796610169492,-0.15295762711864402,0.6556191566494945,16
60-80,OFF,250,0.424,-0.07949999999999993,0.8329544165171311,210,0.4095238095238095,-0.08930952380952377,0.8135352249905553,16
80-100,OFF,815,0.44539877300613495,-0.05549999999999993,0.900310973782111,698,0.4283667621776504,-0.07485888252148994,0.8706868496632387,16
0-20,OFF,0,,,,0,,,,17
20-40,OFF,6,0.6666666666666666,0.5070000000000001,2.7523041474654386,6,0.6666666666666666,0.5403333333333333,2.8675115207373274,17
40-60,OFF,28,0.4642857142857143,-0.016214285714285626,0.9691313955464897,25,0.48,0.03850000000000005,1.0764101139205335,17
60-80,A,135,0.5333333333333333,0.12357407407407416,1.2699040592793929,104,0.5288461538461539,0.10375480769230773,1.2174101386202452,17
80-100,OFF,654,0.4602446483180428,-0.023217889908256784,0.9590760063227427,534,0.4400749063670412,-0.04662827715355803,0.9205965265863473,17
0-20,OFF,6,0.3333333333333333,0.0028333333333333544,1.0160453043888629,4,0.25,-0.08362499999999998,0.6139642238892096,18
20-40,OFF,68,0.39705882352941174,-0.15733823529411756,0.6370205764109178,52,0.36538461538461536,-0.2713653846153846,0.4620589748965938,18
40-60,OFF,242,0.47107438016528924,-0.02734917355371895,0.9377837731131143,190,0.45789473684210524,-0.049907894736842075,0.8903966295446539,18
60-80,OFF,514,0.4494163424124514,-0.04314591439688708,0.9149676100864051,437,0.43935926773455375,-0.04720480549199084,0.9077530212746929,18
80-100,OFF,634,0.44637223974763407,-0.05457334384858036,0.9040350249484804,548,0.4489051094890511,-0.031161496350364935,0.9449497660369084,18
0-20,B,245,0.44081632653061226,-0.013051020408163213,0.9597246539280274,196,0.42346938775510207,0.0035561224489796136,1.0114952007124718,19
20-40,OFF,380,0.4105263157894737,-0.0860263157894736,0.8119313425708853,311,0.4115755627009646,-0.059438906752411556,0.8657494153703142,19
40-60,OFF,492,0.43902439024390244,-0.09335569105691051,0.8204982403895569,439,0.4305239179954442,-0.1082050113895216,0.7979068283343971,19
60-80,OFF,418,0.4569377990430622,-0.029513157894736755,0.9440041577588045,370,0.44054054054054054,-0.05870945945945944,0.8926494062297692,19
80-100,OFF,6,0.6666666666666666,0.3445000000000001,1.9791567977261968,5,0.4,0.052000000000000046,1.116644235082997,19
0-20,OFF,246,0.4186991869918699,-0.03258333333333327,0.9059478550643011,203,0.3842364532019704,-0.05229802955665022,0.8504718309859159,20
20-40,OFF,388,0.422680412371134,-0.09032603092783496,0.8147716522115989,313,0.40894568690095845,-0.08637060702875395,0.8223696962728124,20
40-60,OFF,548,0.45255474452554745,-0.06453284671532837,0.877123002084781,491,0.45417515274949083,-0.05142668024439916,0.9029756118179129,20
60-80,OFF,374,0.4679144385026738,-0.009544117647058746,0.981966028737142,331,0.4501510574018127,-0.03284138972809663,0.9400953910841575,20
80-100,OFF,3,0.6666666666666666,0.4445000000000001,2.2633822832780677,1,1.0,1.2445,inf,20
0-20,OFF,0,,,,0,,,,21
20-40,OFF,2,0.5,0.06950000000000012,1.1316911416390338,2,0.5,0.09450000000000003,1.179062055897679,21
40-60,OFF,25,0.48,0.02450000000000012,1.0446379768975693,23,0.4782608695652174,0.04449999999999999,1.0808068845728722,21
60-80,A,188,0.5159574468085106,0.09370212765957454,1.1857238496370603,150,0.5066666666666667,0.08433333333333337,1.1625817728482015,21
80-100,OFF,764,0.443717277486911,-0.05839594240837686,0.9005444868615373,618,0.4449838187702265,-0.03367556634304205,0.942515464600945,21
0-20,OFF,0,,,,0,,,,22
20-40,OFF,2,1.0,1.1945000000000001,inf,2,1.0,1.2445,inf,22
