mae_threshold,recovery_level,deadline,trades,wins,losses,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,benchmark_total_R,benchmark_mean_R,benchmark_win_rate,benchmark_max_drawdown_R,delta_R,delta_mean_R,delta_win_rate,delta_DD,mae_triggered,recovery_exits,deadline_exits,recovery_exit_pct,_score
0.75,-0.1,4,95,18,77,0.18947368421052632,-0.593157894736842,-56.34999999999999,0.062083888149134486,-56.19999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,11.140000000000008,0.11726315789473685,-0.02105263157894735,12.849999999999987,95,26,69,0.2736842105263158,16.69776315789474
0.7,0.0,5,95,23,72,0.24210526315789474,-0.5953684210526317,-56.56,0.06943073379401118,-56.13999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.929999999999993,0.11505263157894718,0.03157894736842107,12.909999999999975,95,25,70,0.2631578947368421,16.458552631578932
0.7,0.2,5,95,20,75,0.21052631578947367,-0.5952631578947369,-56.550000000000004,0.10095389507154214,-56.49000000000001,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.93999999999999,0.1151578947368419,0.0,12.55999999999996,95,16,79,0.16842105263157894,16.38315789473682
0.65,0.1,6,95,22,73,0.23157894736842105,-0.5958947368421053,-56.61,0.10596967782691093,-56.42000000000001,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.879999999999995,0.11452631578947359,0.02105263157894738,12.62999999999996,95,21,74,0.22105263157894736,16.328026315789458
0.75,0.3,6,95,23,72,0.24210526315789474,-0.5962105263157894,-56.63999999999999,0.13658536585365857,-56.42999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.850000000000001,0.11421052631578943,0.03157894736842107,12.619999999999976,95,14,81,0.14736842105263157,16.289210526315784
0.75,0.0,4,95,20,75,0.21052631578947367,-0.596315789473684,-56.649999999999984,0.0644095788604459,-56.49999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.84000000000001,0.11410526315789482,0.0,12.54999999999999,95,22,73,0.23157894736842105,16.259605263157905
0.8,0.2,5,95,24,71,0.25263157894736843,-0.5955789473684211,-56.580000000000005,0.13047487321346238,-56.929999999999986,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.90999999999999,0.11484210526315775,0.04210526315789476,12.119999999999983,89,16,73,0.1797752808988764,16.23684210526314
0.65,0.1,4,95,17,78,0.17894736842105263,-0.5970526315789473,-56.71999999999999,0.08634020618556702,-56.91999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.770000000000003,0.11336842105263156,-0.03157894736842104,12.129999999999981,95,15,80,0.15789473684210525,16.06986842105263
0.8,0.3,6,95,22,73,0.23157894736842105,-0.5975789473684211,-56.77,0.1470853365384615,-57.14999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.719999999999992,0.11284210526315774,0.02105263157894738,11.899999999999977,89,13,76,0.14606741573033707,15.951842105263141
0.65,0.2,4,95,16,79,0.16842105263157894,-0.5981052631578947,-56.81999999999999,0.08752208125903327,-57.01999999999998,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.670000000000002,0.11231578947368415,-0.04210526315789473,12.029999999999987,95,14,81,0.14736842105263157,15.923815789473682
0.8,0.1,5,95,24,71,0.25263157894736843,-0.598,-56.81,0.12694021822652526,-57.15999999999999,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.679999999999993,0.11242105263157887,0.04210526315789476,11.88999999999998,89,19,70,0.21348314606741572,15.900921052631565
0.7,0.0,6,95,26,69,0.2736842105263158,-0.6013684210526314,-57.12999999999999,0.0755663430420712,-56.579999999999984,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.360000000000007,0.1090526315789474,0.06315789473684214,12.469999999999985,95,28,67,0.29473684210526313,15.658552631578951
0.75,0.1,5,95,22,73,0.23157894736842105,-0.6007368421052632,-57.07000000000001,0.1050650776227066,-57.010000000000005,-67.49,-0.7104210526315788,0.21052631578947367,-69.04999999999997,10.419999999999987,0.1096842105263156,0.02105263157894738,12.039999999999964,95,20,75,0.21052631578947367,15.62368421052629
