sample,mae_threshold,decision_bar,window,trades,triggered_trades,benchmark_R,strategy_R,delta_R,benchmark_WR,strategy_WR
HOLDOUT,0.7,4,20,33,24,-26.269999999999996,-27.32,-1.0500000000000043,0.2727272727272727,0.06060606060606061
HOLDOUT,0.7,4,21,1,1,3.94,-0.21,-4.15,1.0,0.0
HOLDOUT,0.7,4,22,10,8,-11.400000000000002,-8.01,3.3900000000000023,0.1,0.1
DEVELOPMENT,0.7,5,1,8,6,-0.3800000000000001,-4.52,-4.14,0.5,0.125
DEVELOPMENT,0.7,5,2,1,1,-1.7,-0.29,1.41,0.0,0.0
DEVELOPMENT,0.7,5,3,14,9,-6.59,-8.87,-2.2799999999999994,0.21428571428571427,0.07142857142857142
DEVELOPMENT,0.7,5,4,1,1,0.09,-0.32,-0.41000000000000003,1.0,0.0
DEVELOPMENT,0.7,5,5,7,7,-14.000000000000002,-4.38,9.620000000000001,0.0,0.0
DEVELOPMENT,0.7,5,6,17,9,-11.78,-8.7,3.08,0.23529411764705882,0.11764705882352941
DEVELOPMENT,0.7,5,8,1,0,-0.75,-0.75,0.0,0.0,0.0
DEVELOPMENT,0.7,5,9,19,12,-11.989999999999998,-10.07,1.9199999999999982,0.10526315789473684,0.05263157894736842
DEVELOPMENT,0.7,5,10,12,11,-7.510000000000001,-8.15,-0.6399999999999997,0.3333333333333333,0.0
DEVELOPMENT,0.7,5,11,15,13,-12.880000000000003,-9.739999999999998,3.140000000000004,0.13333333333333333,0.06666666666666667
HOLDOUT,0.7,5,12,19,18,-17.270000000000003,-13.73,3.5400000000000027,0.2631578947368421,0.0
HOLDOUT,0.7,5,13,1,1,1.46,-0.94,-2.4,1.0,0.0
HOLDOUT,0.7,5,14,20,17,-6.62,-9.990000000000002,-3.370000000000002,0.3,0.1
HOLDOUT,0.7,5,15,3,2,-3.53,-3.16,0.36999999999999966,0.0,0.0
HOLDOUT,0.7,5,16,2,1,1.15,1.22,0.07000000000000006,0.5,0.5
HOLDOUT,0.7,5,18,9,5,-6.6899999999999995,-8.59,-1.9000000000000004,0.2222222222222222,0.0
HOLDOUT,0.7,5,19,2,2,-0.41999999999999993,-1.31,-0.8900000000000001,0.5,0.0
