mae_threshold,recovery_threshold,deadline,trades,total_R,mean_R,win_rate,profit_factor,max_drawdown_R,delta_total_R_vs_frozen,delta_mean_R_vs_frozen,delta_win_rate_vs_frozen,delta_max_DD_vs_frozen,positive_OOS,PF_above_1
0.6,0.1,7,217,33.7252,0.15541566820276498,0.5483870967741935,1.3755974999665892,-8.738800000000015,-0.6200000000000045,-0.0028571428571428914,0.009216589861751112,-0.9744000000000099,True,True
0.6,0.1,8,217,32.01520000000001,0.14753548387096777,0.5576036866359447,1.3467069810961136,-8.418800000000005,-2.3299999999999983,-0.010737327188940105,0.018433179723502335,-0.654399999999999,True,True
0.6,0.15,4,217,30.11520000000001,0.1387797235023042,0.4930875576036866,1.333942479995742,-8.0292,-4.229999999999997,-0.019493087557603678,-0.04608294930875578,-0.26479999999999393,True,True
0.6,0.15,5,217,31.825200000000006,0.1466599078341014,0.5069124423963134,1.3548719458345604,-7.834799999999994,-2.5199999999999996,-0.011612903225806465,-0.032258064516129004,-0.0703999999999887,True,True
0.6,0.15,6,217,35.665200000000006,0.16435576036866362,0.5345622119815668,1.4066690383668108,-7.284400000000005,1.3200000000000003,0.006082949308755747,-0.004608294930875556,0.4800000000000004,True,True
0.6,0.15,7,217,35.6152,0.16412534562211983,0.5483870967741935,1.3966464270281589,-8.738800000000019,1.269999999999996,0.005852534562211964,0.009216589861751112,-0.9744000000000135,True,True
0.6,0.15,8,217,33.90520000000001,0.15624516129032262,0.5576036866359447,1.3671746400291096,-8.418800000000012,-0.4399999999999977,-0.002027649769585249,0.018433179723502335,-0.6544000000000061,True,True
0.6,0.2,4,217,30.285200000000003,0.139563133640553,0.4930875576036866,1.3358275819243122,-7.799200000000003,-4.060000000000002,-0.018709677419354864,-0.04608294930875578,-0.034799999999997056,True,True
0.6,0.2,5,217,31.785200000000003,0.14647557603686637,0.5023041474654378,1.3544259194833235,-7.754799999999996,-2.5600000000000023,-0.011797235023041502,-0.03686635944700456,0.0096000000000096,True,True
0.6,0.2,6,217,34.345200000000006,0.15827281105990787,0.5299539170506913,1.3845581945296652,-7.284400000000005,0.0,0.0,-0.009216589861751112,0.4800000000000004,True,True
0.6,0.2,7,217,34.4352,0.15868755760368664,0.5391705069124424,1.377410106005208,-8.738800000000019,0.0899999999999963,0.00041474654377876563,0.0,-0.9744000000000135,True,True
0.6,0.2,8,217,31.91520000000001,0.14707465437788023,0.5483870967741935,1.3373671258594009,-8.418800000000005,-2.429999999999996,-0.011198156682027643,0.009216589861751112,-0.654399999999999,True,True
0.6,0.25,4,217,28.8952,0.13315760368663593,0.4838709677419355,1.3159989851357388,-7.949200000000001,-5.450000000000006,-0.02511520737327194,-0.055299539170506895,-0.18479999999999563,True,True
0.6,0.25,5,217,30.2152,0.1392405529953917,0.4930875576036866,1.33000148535181,-7.7747999999999955,-4.130000000000006,-0.019032258064516167,-0.04608294930875578,-0.010399999999989973,True,True
0.6,0.25,6,217,32.32520000000001,0.1489640552995392,0.5207373271889401,1.3529306436891047,-7.284400000000005,-2.019999999999996,-0.009308755760368659,-0.018433179723502335,0.4800000000000004,True,True
0.6,0.25,7,217,31.3252,0.1443557603686636,0.5253456221198156,1.3322542871931506,-8.738800000000008,-3.0200000000000067,-0.01391705069124427,-0.01382488479262678,-0.9744000000000028,True,True
0.6,0.25,8,217,28.005200000000002,0.12905622119815668,0.5299539170506913,1.2845455432185071,-9.369600000000005,-6.340000000000003,-0.029216589861751185,-0.009216589861751112,-1.6052,True,True
