mae_threshold,recovery_level,recovery_horizon,triggered_trades,recovered_trades,recovery_pct,recovered_win_rate,recovered_mean_R,recovered_total_R,not_recovered_trades,not_recovered_win_rate,not_recovered_mean_R,not_recovered_total_R,win_rate_difference,mean_R_difference
0.7,1.0,3,195,3,0.015384615384615385,1.0,1.4766666666666666,4.43,192,0.22916666666666666,-0.7165104166666666,-137.57,0.7708333333333334,2.193177083333333
0.7,1.0,4,195,5,0.02564102564102564,0.6,0.134,0.67,190,0.23157894736842105,-0.7042631578947368,-133.81,0.3684210526315789,0.8382631578947368
0.7,1.0,5,195,7,0.035897435897435895,0.7142857142857143,0.8542857142857143,5.98,188,0.22340425531914893,-0.74,-139.12,0.4908814589665654,1.5942857142857143
0.7,1.0,6,195,9,0.046153846153846156,0.7777777777777778,1.0744444444444445,9.67,186,0.21505376344086022,-0.7677956989247312,-142.81,0.5627240143369175,1.8422401433691757
0.7,1.0,7,195,9,0.046153846153846156,0.7777777777777778,1.0744444444444445,9.67,186,0.21505376344086022,-0.7677956989247312,-142.81,0.5627240143369175,1.8422401433691757
0.7,1.0,8,195,9,0.046153846153846156,0.7777777777777778,1.0744444444444445,9.67,186,0.21505376344086022,-0.7677956989247312,-142.81,0.5627240143369175,1.8422401433691757
0.75,0.0,1,195,12,0.06153846153846154,0.5833333333333334,0.20666666666666664,2.4799999999999995,183,0.2185792349726776,-0.7410928961748634,-135.62,0.36475409836065575,0.9477595628415301
0.75,0.0,2,195,20,0.10256410256410256,0.55,0.129,2.58,175,0.2057142857142857,-0.7755428571428571,-135.72,0.3442857142857143,0.9045428571428571
0.75,0.0,3,195,29,0.14871794871794872,0.5172413793103449,-0.004137931034482786,-0.12000000000000077,166,0.1927710843373494,-0.8013253012048192,-133.01999999999998,0.32447029497299545,0.7971873701703364
0.75,0.0,4,195,36,0.18461538461538463,0.5,0.1122222222222222,4.039999999999999,159,0.18238993710691823,-0.8627672955974841,-137.17999999999998,0.3176100628930818,0.9749895178197063
0.75,0.0,5,195,40,0.20512820512820512,0.5,0.019000000000000006,0.7600000000000002,155,0.17419354838709677,-0.8638709677419355,-133.9,0.3258064516129032,0.8828709677419355
0.75,0.0,6,195,41,0.21025641025641026,0.5121951219512195,0.03926829268292684,1.6100000000000005,154,0.16883116883116883,-0.875,-134.75,0.3433639531200507,0.9142682926829269
0.75,0.0,7,195,42,0.2153846153846154,0.5,0.02571428571428569,1.079999999999999,153,0.16993464052287582,-0.8772549019607843,-134.22,0.3300653594771242,0.90296918767507
0.75,0.0,8,195,42,0.2153846153846154,0.5,0.02571428571428569,1.079999999999999,153,0.16993464052287582,-0.8772549019607843,-134.22,0.3300653594771242,0.90296918767507
0.75,0.25,1,195,5,0.02564102564102564,0.8,0.766,3.83,190,0.22631578947368422,-0.7208947368421051,-136.96999999999997,0.5736842105263158,1.486894736842105
0.75,0.25,2,195,10,0.05128205128205128,0.6,0.403,4.03,185,0.22162162162162163,-0.7414594594594593,-137.17,0.37837837837837834,1.1444594594594593
0.75,0.25,3,195,13,0.06666666666666667,0.6153846153846154,0.4669230769230769,6.069999999999999,182,0.21428571428571427,-0.7648901098901097,-139.20999999999998,0.4010989010989011,1.2318131868131865
0.75,0.25,4,195,20,0.10256410256410256,0.6,0.40700000000000003,8.14,175,0.2,-0.8073142857142855,-141.27999999999997,0.39999999999999997,1.2143142857142855
0.75,0.25,5,195,23,0.11794871794871795,0.6086956521739131,0.46304347826086956,10.65,172,0.19186046511627908,-0.8359883720930232,-143.79,0.416835187057634,1.299031850353893
0.75,0.25,6,195,25,0.1282051282051282,0.6,0.4416,11.04,170,0.18823529411764706,-0.8481176470588235,-144.18,0.4117647058823529,1.2897176470588234
0.75,0.25,7,195,25,0.1282051282051282,0.6,0.4416,11.04,170,0.18823529411764706,-0.8481176470588235,-144.18,0.4117647058823529,1.2897176470588234
0.75,0.25,8,195,25,0.1282051282051282,0.6,0.4416,11.04,170,0.18823529411764706,-0.8481176470588235,-144.18,0.4117647058823529,1.2897176470588234
0.75,0.5,1,195,1,0.005128205128205128,1.0,3.2,3.2,194,0.23711340206185566,-0.7027835051546392,-136.34,0.7628865979381443,3.9027835051546393
0.75,0.5,2,195,3,0.015384615384615385,1.0,1.8133333333333335,5.44,192,0.22916666666666666,-0.7217708333333334,-138.58,0.7708333333333334,2.5351041666666667
0.75,0.5,3,195,6,0.03076923076923077,0.6666666666666666,0.5016666666666667,3.0100000000000002,189,0.2275132275132275,-0.7203703703703702,-136.14999999999998,0.43915343915343913,1.2220370370370368
