mae_threshold,recovery_level,deadline,full_trades,full_total_R,full_mean_R,full_win_rate,full_profit_factor,full_max_drawdown_R,oos_trades,oos_total_R,oos_mean_R,oos_win_rate,oos_profit_factor,oos_max_drawdown_R,delta_OOS_R_vs_frozen,positive_OOS,positive_mean_R,PF_above_1,relative_to_frozen,distance
0.65,0.3,8,195,-125.66679999999997,-0.644445128205128,0.2,0.17626005857505822,-125.66679999999981,100,-68.15839999999997,-0.6815839999999997,0.2,0.16709355753250563,-68.15840000000011,-3.6699999999999733,False,False,False,1.0569094596857724,0.24999999999999992
0.65,0.4,6,195,-126.25079999999997,-0.6474399999999998,0.1794871794871795,0.19340931742097064,-127.3487999999998,100,-68.25039999999998,-0.6825039999999999,0.18,0.1867284391950506,-68.2504000000001,-3.7619999999999862,False,False,False,1.0583360728441082,0.24999999999999994
0.65,0.1,4,195,-128.03839999999997,-0.6566071794871793,0.17435897435897435,0.18263831612707188,-129.1363999999998,100,-67.58359999999998,-0.6758359999999998,0.18,0.1946740259864063,-67.58360000000009,-3.095199999999977,False,False,False,1.047996228779129,0.24999999999999994
0.6,0.3,5,195,-128.67839999999998,-0.6598892307692307,0.16923076923076924,0.1839931816798231,-129.77639999999982,100,-67.28919999999998,-0.6728919999999998,0.18,0.19818209549956636,-67.2892000000001,-2.800799999999981,False,False,False,1.0434310666724556,0.24999999999999994
0.6,0.3,7,195,-127.05439999999999,-0.6515610256410256,0.18974358974358974,0.17729636766747486,-127.0543999999998,100,-66.6172,-0.666172,0.2,0.18592726561736245,-66.61720000000011,-2.1287999999999982,False,False,False,1.0330105879507012,0.24999999999999994
0.65,0.0,6,195,-125.62239999999998,-0.6442174358974359,0.2153846153846154,0.15810129398739528,-125.6223999999998,100,-64.15079999999999,-0.6415079999999999,0.25,0.16263151024670414,-64.1508000000001,0.337600000000009,False,False,False,0.9947649499754994,0.24999999999999994
0.65,0.1,8,195,-120.11959999999999,-0.6159979487179487,0.2564102564102564,0.15335992895304418,-120.11959999999983,100,-62.7188,-0.627188,0.28,0.15183888958007655,-62.718800000000115,1.769599999999997,False,False,False,0.972559406032713,0.24999999999999994
0.75,0.3,4,195,-133.7804,-0.6860533333333333,0.14871794871794872,0.1735338888394667,-134.87839999999977,100,-70.96679999999998,-0.7096679999999997,0.15,0.18479564408298302,-70.96680000000008,-6.478399999999979,False,False,False,1.1004583770104388,0.25
0.7,0.4,5,195,-131.63719999999995,-0.6750625641025638,0.15897435897435896,0.17614293510642032,-132.7351999999998,100,-68.82359999999997,-0.6882359999999997,0.17,0.18997895609025817,-68.8236000000001,-4.335199999999972,False,False,False,1.0672244930871284,0.25
0.7,0.4,7,195,-125.85639999999997,-0.6454174358974357,0.1794871794871795,0.195929058802484,-126.95439999999981,100,-68.25039999999998,-0.6825039999999999,0.18,0.1867284391950506,-68.2504000000001,-3.7619999999999862,False,False,False,1.0583360728441082,0.25
0.75,0.3,8,195,-125.66679999999997,-0.644445128205128,0.2,0.17626005857505822,-125.66679999999981,100,-68.15839999999997,-0.6815839999999997,0.2,0.16709355753250563,-68.15840000000011,-3.6699999999999733,False,False,False,1.0569094596857724,0.25
0.7,0.0,7,195,-120.09519999999999,-0.6158728205128204,0.26153846153846155,0.14439926020706223,-120.09519999999985,100,-64.6732,-0.646732,0.27,0.13215031427298543,-64.67320000000011,-0.18479999999999563,False,False,False,1.0028656316484825,0.25
0.6,0.1,7,195,-122.18719999999999,-0.6266010256410256,0.24102564102564103,0.15342490050661262,-122.18719999999983,100,-63.4632,-0.634632,0.27,0.14838730455226168,-63.4632000000001,1.0251999999999981,False,False,False,0.9841025672834185,0.25
0.7,0.0,5,195,-123.38999999999999,-0.6327692307692308,0.2153846153846154,0.17306243683534703,-123.3899999999998,100,-61.584,-0.61584,0.25,0.1961362746377758,-61.58400000000009,2.9043999999999954,False,False,False,0.9549624428579404,0.25
0.6,0.1,5,195,-120.62439999999998,-0.6185866666666666,0.2153846153846154,0.1915969900786258,-121.72239999999984,100,-60.494,-0.60494,0.25,0.21036418222164216,-60.494000000000085,3.994399999999999,False,False,False,0.9380601782646182,0.25
0.75,0.4,6,195,-126.25079999999997,-0.6474399999999998,0.1794871794871795,0.19340931742097064,-127.3487999999998,100,-68.25039999999998,-0.6825039999999999,0.18,0.1867284391950506,-68.2504000000001,-3.7619999999999862,False,False,False,1.0583360728441082,0.25000000000000006
