mae_threshold,horizon,recovery_level,reached_trades,reached_wins,reached_losses,reached_pct,reached_win_rate,reached_mean_R,reached_total_R,reached_PF,reached_DD,not_reached_trades,not_reached_wins,not_reached_losses,not_reached_pct,not_reached_win_rate,not_reached_mean_R,not_reached_total_R,not_reached_PF,not_reached_DD,win_rate_difference,mean_R_difference
0.6,5,0.3,27,18,9,0.13846153846153847,0.6666666666666666,0.5418518518518519,14.63,2.2688638334778837,-4.91,168,29,139,0.8615384615384616,0.17261904761904762,-0.8795833333333334,-147.77,0.13559520327581165,-147.76999999999998,0.494047619047619,1.4214351851851852
0.6,5,0.4,24,15,9,0.12307692307692308,0.625,0.44541666666666674,10.690000000000001,1.9271465741543798,-6.16,171,32,139,0.8769230769230769,0.1871345029239766,-0.841111111111111,-143.82999999999998,0.15864287803451305,-144.92000000000002,0.4378654970760234,1.2865277777777777
0.6,6,-0.5,130,43,87,0.6666666666666666,0.33076923076923076,-0.3373846153846154,-43.86,0.5080753701211306,-46.46,65,4,61,0.3333333333333333,0.06153846153846154,-1.3735384615384614,-89.27999999999999,0.043291898842691814,-89.27999999999999,0.2692307692307692,1.036153846153846
0.6,6,-0.4,111,42,69,0.5692307692307692,0.3783783783783784,-0.24063063063063062,-26.709999999999997,0.6285634821304409,-29.209999999999997,84,5,79,0.4307692307692308,0.05952380952380952,-1.2670238095238093,-106.42999999999998,0.03744234421633356,-106.43,0.31885456885456886,1.0263931788931786
0.6,6,-0.3,95,39,56,0.48717948717948717,0.4105263157894737,-0.20442105263157898,-19.42,0.6897267934174788,-21.92000000000001,100,8,92,0.5128205128205128,0.08,-1.1371999999999998,-113.71999999999998,0.05146384185503378,-113.71999999999997,0.33052631578947367,0.9327789473684208
0.6,6,-0.2,88,38,50,0.4512820512820513,0.4318181818181818,-0.14375000000000004,-12.650000000000004,0.7711235751764066,-15.150000000000004,107,9,98,0.5487179487179488,0.08411214953271028,-1.12607476635514,-120.49,0.05282603568901816,-120.48999999999997,0.34770603228547153,0.98232476635514
0.6,6,-0.1,73,34,39,0.37435897435897436,0.4657534246575342,-0.11945205479452053,-8.719999999999999,0.818219720658745,-12.06,122,13,109,0.6256410256410256,0.10655737704918032,-1.0198360655737706,-124.42000000000002,0.07501301018511636,-124.41999999999996,0.3591960476083539,0.90038401077925
0.6,6,0.0,61,30,31,0.3128205128205128,0.4918032786885246,-0.04016393442622951,-2.45,0.9347362812999468,-7.85,134,17,117,0.6871794871794872,0.12686567164179105,-0.9752985074626865,-130.69,0.09831654477714917,-130.68999999999997,0.3649376070467335,0.9351345730364571
0.6,6,0.1,49,25,24,0.2512820512820513,0.5102040816326531,0.09448979591836734,4.63,1.170283192350129,-5.0600000000000005,146,22,124,0.7487179487179487,0.1506849315068493,-0.9436301369863013,-137.76999999999998,0.11282117328868568,-137.77,0.35951915012580377,1.0381199329046686
0.6,6,0.2,44,24,20,0.22564102564102564,0.5454545454545454,0.13522727272727275,5.950000000000001,1.2330591461026241,-4.85,151,23,128,0.7743589743589744,0.152317880794702,-0.9211258278145694,-139.08999999999997,0.1137942019751513,-139.09,0.3931366646598434,1.056353100541842
0.6,6,0.3,30,20,10,0.15384615384615385,0.6666666666666666,0.5646666666666665,16.939999999999998,2.4128440366972477,-4.91,165,27,138,0.8461538461538461,0.16363636363636364,-0.9095757575757575,-150.07999999999998,0.11971376620329638,-150.07999999999998,0.5030303030303029,1.4742424242424241
0.6,6,0.4,26,17,9,0.13333333333333333,0.6538461538461539,0.5176923076923077,13.46,2.1673894189071987,-6.16,169,30,139,0.8666666666666667,0.17751479289940827,-0.8674556213017751,-146.6,0.14243930973969,-147.69,0.47633136094674555,1.385147928994083
0.6,8,-0.5,135,44,91,0.6923076923076923,0.32592592592592595,-0.3479999999999999,-46.97999999999999,0.495164410058027,-49.58000000000001,60,3,57,0.3076923076923077,0.05,-1.4359999999999997,-86.15999999999998,0.03645716841869828,-86.16,0.27592592592592596,1.0879999999999999
0.6,8,-0.4,117,43,74,0.6,0.36752136752136755,-0.26726495726495725,-31.269999999999996,0.595210355987055,-33.76999999999998,78,4,74,0.4,0.05128205128205128,-1.306025641025641,-101.86999999999999,0.031930057968260005,-101.87,0.3162393162393163,1.0387606837606838
0.6,8,-0.3,104,42,62,0.5333333333333333,0.40384615384615385,-0.2267307692307692,-23.58,0.6609145815358067,-26.08,91,5,86,0.4666666666666667,0.054945054945054944,-1.203956043956044,-109.56,0.029927395077032057,-109.56,0.3489010989010989,0.9772252747252748
