feature,threshold,side,trades,win_rate,mean_R,total_R
early_1_range_R,0.7160000000000013,ABOVE,108,0.4351851851851852,0.11115555555555558,12.004800000000003
early_1_range_R,0.78,LOWER_OR_EQUAL,459,0.4553376906318083,0.02024052287581702,9.290400000000012
early_1_range_R,0.78,ABOVE,78,0.44871794871794873,0.17906153846153858,13.96680000000001
early_1_range_R,0.8940000000000015,LOWER_OR_EQUAL,483,0.4451345755693582,0.00531014492753627,2.5648000000000186
early_1_range_R,0.8940000000000015,ABOVE,54,0.5370370370370371,0.38319259259259264,20.692400000000003
early_1_range_R,1.07,LOWER_OR_EQUAL,512,0.447265625,0.015404687500000031,7.887200000000016
early_1_range_R,1.07,ABOVE,25,0.6,0.6148,15.37
early_1_favorable,0.5,FALSE,285,0.3684210526315789,-0.1835929824561403,-52.32399999999999
early_1_favorable,0.5,TRUE,252,0.5515873015873016,0.2999253968253969,75.58120000000001
early_2_MFE_R,0.03600000000000002,LOWER_OR_EQUAL,54,0.16666666666666666,-0.4918074074074073,-26.557599999999994
early_2_MFE_R,0.03600000000000002,ABOVE,483,0.4865424430641822,0.10313623188405802,49.81480000000002
early_2_MFE_R,0.06,LOWER_OR_EQUAL,87,0.1724137931034483,-0.5235954022988507,-45.55280000000001
early_2_MFE_R,0.06,ABOVE,450,0.5088888888888888,0.15291111111111114,68.81000000000002
early_2_MFE_R,0.09,LOWER_OR_EQUAL,115,0.24347826086956523,-0.4364,-50.186
early_2_MFE_R,0.09,ABOVE,422,0.5118483412322274,0.174036018957346,73.4432
early_2_MFE_R,0.11,LOWER_OR_EQUAL,139,0.2446043165467626,-0.4209467625899281,-58.5116
early_2_MFE_R,0.11,ABOVE,398,0.5276381909547738,0.20544924623115585,81.76880000000003
early_2_MFE_R,0.14,LOWER_OR_EQUAL,165,0.26666666666666666,-0.3732484848484849,-61.586000000000006
early_2_MFE_R,0.14,ABOVE,372,0.5376344086021505,0.22807311827956991,84.84320000000001
early_2_MFE_R,0.17,LOWER_OR_EQUAL,190,0.29473684210526313,-0.32803157894736845,-62.32600000000001
early_2_MFE_R,0.17,ABOVE,347,0.5417867435158501,0.24663746397694525,85.5832
early_2_MFE_R,0.22,LOWER_OR_EQUAL,230,0.3217391304347826,-0.2696608695652174,-62.022000000000006
early_2_MFE_R,0.22,ABOVE,307,0.5537459283387622,0.27778241042345275,85.2792
early_2_MFE_R,0.24,LOWER_OR_EQUAL,250,0.336,-0.2454,-61.35
early_2_MFE_R,0.24,ABOVE,287,0.5574912891986062,0.294798606271777,84.6072
early_2_MFE_R,0.27,LOWER_OR_EQUAL,273,0.34798534798534797,-0.23198241758241755,-63.331199999999995
early_2_MFE_R,0.27,ABOVE,264,0.5643939393939394,0.3279863636363637,86.58840000000001
early_2_MFE_R,0.31,LOWER_OR_EQUAL,305,0.35737704918032787,-0.2285311475409836,-69.702
early_2_MFE_R,0.31,ABOVE,232,0.5818965517241379,0.40068620689655177,92.95920000000001
early_2_MFE_R,0.34,LOWER_OR_EQUAL,326,0.3619631901840491,-0.21357177914110428,-69.6244
early_2_MFE_R,0.34,ABOVE,211,0.5971563981042654,0.44019715639810436,92.88160000000002
early_2_MFE_R,0.4040000000000009,LOWER_OR_EQUAL,349,0.36103151862464183,-0.2113340974212034,-73.75559999999999
early_2_MFE_R,0.4040000000000009,ABOVE,188,0.6276595744680851,0.5160255319148936,97.0128
early_2_MFE_R,0.45,LOWER_OR_EQUAL,377,0.3793103448275862,-0.17219840848806364,-64.91879999999999
early_2_MFE_R,0.45,ABOVE,160,0.63125,0.5511000000000001,88.17600000000002
early_2_MFE_R,0.5200000000000011,LOWER_OR_EQUAL,403,0.38461538461538464,-0.1513727047146402,-61.0032
early_2_MFE_R,0.5200000000000011,ABOVE,134,0.664179104477612,0.6288089552238805,84.26039999999999
early_2_MFE_R,0.61,LOWER_OR_EQUAL,430,0.3930232558139535,-0.11935348837209303,-51.322
early_2_MFE_R,0.61,ABOVE,107,0.7009345794392523,0.6970018691588786,74.57920000000001
early_2_MFE_R,0.73,LOWER_OR_EQUAL,457,0.40700218818380746,-0.09536280087527349,-43.58079999999998
early_2_MFE_R,0.73,ABOVE,80,0.725,0.8354750000000001,66.83800000000001
early_2_MFE_R,0.8540000000000014,LOWER_OR_EQUAL,483,0.42028985507246375,-0.05986583850931674,-28.915199999999984
early_2_MFE_R,0.8540000000000014,ABOVE,54,0.7592592592592593,0.9661555555555552,52.17239999999998
early_2_MFE_R,1.0940000000000032,LOWER_OR_EQUAL,510,0.4392156862745098,-0.0061647058823529185,-3.1439999999999886
early_2_MFE_R,1.0940000000000032,ABOVE,27,0.7407407407407407,0.9778222222222221,26.4012
early_2_MAE_R,0.05,LOWER_OR_EQUAL,62,0.6129032258064516,0.41382580645161293,25.657200000000003
early_2_MAE_R,0.05,ABOVE,475,0.4336842105263158,-0.00505263157894733,-2.3999999999999817
early_2_MAE_R,0.07400000000000007,LOWER_OR_EQUAL,81,0.6296296296296297,0.5520197530864197,44.7136
early_2_MAE_R,0.07400000000000007,ABOVE,456,0.4232456140350877,-0.0470535087719298,-21.456399999999988
early_2_MAE_R,0.12,LOWER_OR_EQUAL,112,0.6517857142857143,0.5264928571428572,58.967200000000005
early_2_MAE_R,0.12,ABOVE,425,0.4023529411764706,-0.08402352941176468,-35.70999999999999
early_2_MAE_R,0.15,LOWER_OR_EQUAL,137,0.6496350364963503,0.4826802919708029,66.1272
early_2_MAE_R,0.15,ABOVE,400,0.3875,-0.10717499999999998,-42.86999999999999
early_2_MAE_R,0.18,LOWER_OR_EQUAL,166,0.6445783132530121,0.48313012048192766,80.19959999999999
early_2_MAE_R,0.18,ABOVE,371,0.3692722371967655,-0.15348355795148244,-56.942399999999985
early_2_MAE_R,0.21,LOWER_OR_EQUAL,193,0.616580310880829,0.4217658031088083,81.4008
early_2_MAE_R,0.21,ABOVE,344,0.3633720930232558,-0.1690220930232558,-58.14359999999999
early_2_MAE_R,0.24,LOWER_OR_EQUAL,223,0.5964125560538116,0.3734923766816144,83.28880000000001
early_2_MAE_R,0.24,ABOVE,314,0.3535031847133758,-0.1911834394904458,-60.03159999999998
early_2_MAE_R,0.26,LOWER_OR_EQUAL,244,0.5942622950819673,0.3758049180327869,91.69640000000001
early_2_MAE_R,0.26,ABOVE,293,0.3378839590443686,-0.23358088737201366,-68.4392
early_2_MAE_R,0.29,LOWER_OR_EQUAL,274,0.5948905109489051,0.3634467153284672,99.5844
early_2_MAE_R,0.29,ABOVE,263,0.30798479087452474,-0.2902174904942965,-76.32719999999998
early_2_MAE_R,0.3280000000000007,LOWER_OR_EQUAL,295,0.5932203389830508,0.3590915254237288,105.93199999999999
early_2_MAE_R,0.3280000000000007,ABOVE,242,0.28512396694214875,-0.34163140495867766,-82.67479999999999
early_2_MAE_R,0.36,LOWER_OR_EQUAL,326,0.5766871165644172,0.3122871165644172,101.80560000000001
early_2_MAE_R,0.36,ABOVE,211,0.26540284360189575,-0.37226729857819907,-78.5484
early_2_MAE_R,0.39,LOWER_OR_EQUAL,351,0.5555555555555556,0.2716398860398861,95.34560000000002
early_2_MAE_R,0.39,ABOVE,186,0.26344086021505375,-0.38757204301075265,-72.0884
early_2_MAE_R,0.45,LOWER_OR_EQUAL,380,0.55,0.2571789473684211,97.72800000000002
early_2_MAE_R,0.45,ABOVE,157,0.2229299363057325,-0.47433630573248403,-74.4708
early_2_MAE_R,0.5,LOWER_OR_EQUAL,407,0.5405405405405406,0.23235675675675674,94.5692
early_2_MAE_R,0.5,ABOVE,130,0.18461538461538463,-0.5485538461538462,-71.312
early_2_MAE_R,0.54,LOWER_OR_EQUAL,430,0.5209302325581395,0.18666976744186048,80.268
early_2_MAE_R,0.54,ABOVE,107,0.18691588785046728,-0.532811214953271,-57.010799999999996
early_2_MAE_R,0.64,LOWER_OR_EQUAL,459,0.5076252723311547,0.16492461873638348,75.70040000000002
early_2_MAE_R,0.64,ABOVE,78,0.14102564102564102,-0.6723487179487181,-52.44320000000001
early_2_MAE_R,0.7340000000000014,LOWER_OR_EQUAL,483,0.494824016563147,0.1331776397515528,64.32480000000001
early_2_MAE_R,0.7340000000000014,ABOVE,54,0.09259259259259259,-0.7605111111111115,-41.06760000000002
early_2_MAE_R,0.9320000000000016,LOWER_OR_EQUAL,510,0.4745098039215686,0.09040392156862749,46.10600000000002
early_2_MAE_R,0.9320000000000016,ABOVE,27,0.07407407407407407,-0.8462518518518519,-22.8488
early_2_close_R,-0.53,LOWER_OR_EQUAL,55,0.07272727272727272,-0.8198545454545458,-45.09200000000002
early_2_close_R,-0.53,ABOVE,482,0.4979253112033195,0.14180331950207473,68.34920000000002
early_2_close_R,-0.44,LOWER_OR_EQUAL,82,0.08536585365853659,-0.7946439024390242,-65.16079999999998
early_2_close_R,-0.44,ABOVE,455,0.5208791208791209,0.19432527472527475,88.418
