mae_threshold,recovery_level,deadline,development_trades,triggered_trades,recovered_trades,failed_recovery_trades,development_win_rate,development_mean_R,development_total_R,development_delta_R,development_delta_mean_R,development_delta_win_rate,development_delta_max_DD_R,development_profit_factor,development_max_drawdown_R,development_positive_window_pct
0.75,0.2,8,95,95,28,67,0.29473684210526313,-0.594842105263158,-56.510000000000005,10.97999999999999,0.11557894736842089,0.08421052631578946,12.679999999999978,0.15593726661687832,-56.36999999999999,0.2
0.8,-0.3,4,95,89,32,57,0.12631578947368421,-0.5950526315789473,-56.529999999999994,10.96,0.11536842105263156,-0.08421052631578946,13.279999999999959,0.06438265475008276,-55.77000000000001,0.1
0.6,-0.4,5,95,95,47,48,0.06315789473684211,-0.5950526315789475,-56.53000000000001,10.959999999999987,0.11536842105263134,-0.14736842105263157,13.55999999999996,0.020786419539234366,-55.49000000000001,0.1
0.7,0.2,5,95,95,16,79,0.21052631578947367,-0.5952631578947369,-56.550000000000004,10.93999999999999,0.1151578947368419,0.0,12.55999999999996,0.10095389507154214,-56.49000000000001,0.2
0.7,0.2,8,95,95,26,69,0.28421052631578947,-0.5953684210526317,-56.56,10.929999999999993,0.11505263157894718,0.0736842105263158,12.749999999999979,0.14908981495411464,-56.29999999999999,0.2
0.7,0.0,5,95,95,25,70,0.24210526315789474,-0.5953684210526317,-56.56,10.929999999999993,0.11505263157894718,0.03157894736842107,12.909999999999975,0.06943073379401118,-56.13999999999999,0.2
0.8,0.2,5,95,89,16,73,0.25263157894736843,-0.5955789473684211,-56.580000000000005,10.90999999999999,0.11484210526315775,0.04210526315789476,12.119999999999983,0.13047487321346238,-56.929999999999986,0.2
0.8,-0.1,8,95,89,33,56,0.2736842105263158,-0.5961052631578947,-56.629999999999995,10.86,0.11431578947368415,0.06315789473684214,12.320000000000007,0.10720479268484942,-56.72999999999996,0.2
0.75,0.3,6,95,95,14,81,0.24210526315789474,-0.5962105263157894,-56.63999999999999,10.850000000000001,0.11421052631578943,0.03157894736842107,12.619999999999976,0.13658536585365857,-56.42999999999999,0.2
0.6,-0.2,6,95,95,39,56,0.11578947368421053,-0.5962105263157894,-56.63999999999999,10.850000000000001,0.11421052631578943,-0.09473684210526315,13.569999999999972,0.02663687918886407,-55.48,0.1
0.75,0.0,4,95,95,22,73,0.21052631578947367,-0.596315789473684,-56.649999999999984,10.84000000000001,0.11410526315789482,0.0,12.54999999999999,0.0644095788604459,-56.49999999999998,0.1
0.7,-0.3,4,95,95,35,60,0.10526315789473684,-0.5964210526315789,-56.65999999999999,10.830000000000005,0.11399999999999999,-0.10526315789473684,13.149999999999984,0.03900949796472185,-55.899999999999984,0.1
0.6,-0.2,8,95,95,42,53,0.12631578947368421,-0.597578947368421,-56.769999999999996,10.719999999999999,0.11284210526315785,-0.08421052631578946,13.489999999999995,0.03304377448475559,-55.559999999999974,0.1
0.8,0.3,6,95,89,13,76,0.23157894736842105,-0.5975789473684211,-56.77,10.719999999999992,0.11284210526315774,0.02105263157894738,11.899999999999977,0.1470853365384615,-57.14999999999999,0.2
0.8,0.1,5,95,89,19,70,0.25263157894736843,-0.598,-56.81,10.679999999999993,0.11242105263157887,0.04210526315789476,11.88999999999998,0.12694021822652526,-57.15999999999999,0.2
0.7,-0.1,8,95,95,36,59,0.23157894736842105,-0.598842105263158,-56.89,10.599999999999994,0.11157894736842089,0.02105263157894738,12.759999999999984,0.07735971456373662,-56.289999999999985,0.2
0.6,-0.5,2,95,95,44,51,0.031578947368421054,-0.5990526315789473,-56.91,10.579999999999998,0.11136842105263156,-0.17894736842105263,12.859999999999971,0.009571876087713194,-56.19,0.0
0.6,0.4,4,95,95,7,88,0.15789473684210525,-0.599578947368421,-56.959999999999994,10.530000000000001,0.11084210526315785,-0.05263157894736842,11.89,0.09125717932354818,-57.15999999999997,0.1
0.6,0.1,3,95,95,9,86,0.14736842105263157,-0.6,-57.0,10.489999999999995,0.11042105263157886,-0.06315789473684211,12.809999999999974,0.04072702793672164,-56.239999999999995,0.1
0.6,0.2,3,95,95,6,89,0.14736842105263157,-0.6,-57.0,10.489999999999995,0.11042105263157886,-0.06315789473684211,12.809999999999974,0.04072702793672164,-56.239999999999995,0.1
0.6,-0.2,4,95,95,33,62,0.11578947368421053,-0.6,-57.0,10.489999999999995,0.11042105263157886,-0.09473684210526315,12.809999999999974,0.026473099914602907,-56.239999999999995,0.1
0.6,0.3,4,95,95,10,85,0.15789473684210525,-0.6002105263157893,-57.01999999999999,10.470000000000006,0.11021052631578954,-0.05263157894736842,11.829999999999998,0.09029993618379067,-57.21999999999997,0.1
