observations,wins,losses,unresolved,win_rate,loss_rate,tp,sl,rr,horizon,breakeven_win_rate,wr_edge_vs_breakeven,expectancy_r,side,hmm_state,vol_bucket,zscore,wr_ge_50,positive_expectancy,candidate,research_score
3267,1680,1587,0,0.5142332415059688,0.4857667584940312,27.5,17.5,1.5714285714285714,10,0.38888888888888895,0.12534435261707988,0.32231404958677695,LONG,0,20-40,2.0,True,True,True,2.6452661823574743
154,78,76,0,0.5064935064935064,0.4935064935064935,10.0,5.0,2.0,10,0.3333333333333333,0.17316017316017313,0.5194805194805194,LONG,2,60-80,3.5,True,True,True,2.6369738341119353
154,78,76,0,0.5064935064935064,0.4935064935064935,10.0,5.0,2.0,40,0.3333333333333333,0.17316017316017313,0.5194805194805194,LONG,2,60-80,3.5,True,True,True,2.6369738341119353
154,78,76,0,0.5064935064935064,0.4935064935064935,10.0,5.0,2.0,50,0.3333333333333333,0.17316017316017313,0.5194805194805194,LONG,2,60-80,3.5,True,True,True,2.6369738341119353
861,445,416,0,0.5168408826945412,0.4831591173054588,25.0,15.0,1.6666666666666667,5,0.37499999999999994,0.14184088269454126,0.3782423538521099,LONG,0,20-40,2.5,True,True,True,2.5996926413381622
3267,1716,1551,0,0.5252525252525253,0.47474747474747475,30.0,20.0,1.5,10,0.4,0.12525252525252528,0.3131313131313132,LONG,0,20-40,2.0,True,True,True,2.5978235505806286
840,438,402,0,0.5214285714285715,0.4785714285714286,32.5,20.0,1.625,5,0.38095238095238093,0.14047619047619053,0.3687500000000001,LONG,1,20-40,2.5,True,True,True,2.536595974785347
154,77,77,0,0.5,0.5,5.0,2.5,2.0,75,0.3333333333333333,0.16666666666666669,0.5,LONG,2,60-80,3.5,True,True,True,2.5217125584596234
154,77,77,0,0.5,0.5,5.0,2.5,2.0,105,0.3333333333333333,0.16666666666666669,0.5,LONG,2,60-80,3.5,True,True,True,2.5217125584596234
154,77,77,0,0.5,0.5,10.0,5.0,2.0,20,0.3333333333333333,0.16666666666666669,0.5,LONG,2,60-80,3.5,True,True,True,2.5217125584596234
154,77,77,0,0.5,0.5,10.0,5.0,2.0,90,0.3333333333333333,0.16666666666666669,0.5,LONG,2,60-80,3.5,True,True,True,2.5217125584596234
861,456,405,0,0.5296167247386759,0.47038327526132406,27.5,17.5,1.5714285714285714,5,0.38888888888888895,0.140727835849787,0.36187157789945235,LONG,0,20-40,2.5,True,True,True,2.518424356794728
861,434,427,0,0.5040650406504065,0.4959349593495935,30.0,17.5,1.7142857142857142,10,0.3684210526315789,0.13564398801882754,0.36817653890824614,LONG,0,20-40,2.5,True,True,True,2.498715468106174
3267,1643,1624,0,0.5029078665442301,0.4970921334557698,20.0,12.5,1.6,5,0.3846153846153846,0.11829248192884556,0.3075604530149985,LONG,0,20-40,2.0,True,True,True,2.49599569770546
3267,1700,1567,0,0.5203550658096112,0.4796449341903887,22.5,15.0,1.5,5,0.4,0.1203550658096112,0.3008876645240281,LONG,0,20-40,2.0,True,True,True,2.4843227193159776
372,193,179,0,0.5188172043010753,0.48118279569892475,30.0,17.5,1.7142857142857142,5,0.3684210526315789,0.15039615166949633,0.40821812596006135,LONG,1,20-40,3.0,True,True,True,2.462782391204228
154,89,65,0,0.577922077922078,0.42207792207792205,7.5,5.0,1.5,60,0.4,0.17792207792207793,0.44480519480519487,LONG,2,60-80,3.5,True,True,True,2.418147537716679
861,463,398,0,0.537746806039489,0.462253193960511,30.0,20.0,1.5,5,0.4,0.13774680603948897,0.3443670150987225,LONG,0,20-40,2.5,True,True,True,2.4155264645898606
5154,2702,2452,0,0.5242530073729142,0.47574699262708575,25.0,17.5,1.4285714285714286,5,0.4117647058823529,0.11248830149056133,0.273185875048506,LONG,0,40-60,2.0,True,True,True,2.3917506329106257
5154,2631,2523,0,0.510477299185099,0.48952270081490107,22.5,15.0,1.5,5,0.4,0.11047729918509896,0.2761932479627474,LONG,0,40-60,2.0,True,True,True,2.3855582624682796
3267,1730,1537,0,0.529537802265075,0.470462197734925,25.0,17.5,1.4285714285714286,5,0.4117647058823529,0.11777309638272204,0.28602037692946786,LONG,0,20-40,2.0,True,True,True,2.3828218557034044
372,197,175,0,0.5295698924731183,0.47043010752688175,32.5,20.0,1.625,5,0.38095238095238093,0.14861751152073732,0.3901209677419354,LONG,1,20-40,3.0,True,True,True,2.3784422556203006
861,441,420,0,0.5121951219512195,0.4878048780487805,32.5,20.0,1.625,10,0.38095238095238093,0.1312427409988386,0.3445121951219512,LONG,0,20-40,2.5,True,True,True,2.3570439910601864
5154,2749,2405,0,0.53337213814513,0.46662786185487,27.5,20.0,1.375,5,0.42105263157894735,0.11231950656618261,0.2667588280946837,LONG,0,40-60,2.0,True,True,True,2.3562749049728127
154,88,66,0,0.5714285714285714,0.42857142857142855,7.5,5.0,1.5,30,0.4,0.17142857142857137,0.42857142857142855,LONG,2,60-80,3.5,True,True,True,2.315858472054756
