feature_a,feature_a_value,feature_b,feature_b_value,horizon_bars,total_observations,pooled_mean_future_points,pooled_positive_probability,pooled_cost_covered_probability,median_window_mean_points,positive_window_ratio,cost_positive_window_ratio,windows_observed
ou_residual_bucket,<=-2,vol_ratio_bucket,<=0.5,3,16615,0.4795215167017755,0.5235028588624737,0.48275654529040024,0.6127122877122877,0.6818181818181818,0.3181818181818182,22
ou_residual_bucket,<=-2,vol_ratio_bucket,<=0.5,5,16615,0.8613752633162804,0.5250677099006922,0.49599759253686426,0.849374106398189,0.7727272727272727,0.45454545454545453,22
ou_residual_bucket,<=-2,vol_ratio_bucket,<=0.5,10,16615,0.9053566054769786,0.524345470959976,0.5034607282575986,1.0703244169337902,0.6363636363636364,0.5,22
ou_residual_bucket,<=-2,vol_ratio_bucket,<=0.5,20,16615,2.060878724044538,0.5252482696358712,0.5108034908215467,2.028334725980158,0.7727272727272727,0.5909090909090909,22
ou_residual_bucket,<=-2,vol_ratio_bucket,<=0.5,30,16615,1.474179957869395,0.5287390911826663,0.5168221486608486,1.2635140964951146,0.6363636363636364,0.5,22
ou_residual_bucket,<=-2,vol_ratio_bucket,<=0.5,60,16615,1.3522569966897382,0.531387300631959,0.5226602467649714,2.2499341707842198,0.5909090909090909,0.5454545454545454,22
vwap_distance_bucket,-1:0,half_life_bucket,<=5,1,2106,-0.19515669515669515,0.5047483380816714,0.45251661918328584,-0.17592592592592593,0.42857142857142855,0.14285714285714285,21
vwap_distance_bucket,-1:0,half_life_bucket,<=5,3,2106,-0.48504273504273504,0.49240265906932573,0.4506172839506173,-0.05,0.47619047619047616,0.23809523809523808,21
vwap_distance_bucket,-1:0,half_life_bucket,<=5,5,2106,-0.548670465337132,0.5028490028490028,0.46961063627730293,-0.5275229357798165,0.38095238095238093,0.23809523809523808,21
vwap_distance_bucket,-1:0,half_life_bucket,<=5,10,2106,-1.7653133903133904,0.4852801519468186,0.4648622981956315,-0.9043478260869565,0.38095238095238093,0.2857142857142857,21
vwap_distance_bucket,-1:0,half_life_bucket,<=5,20,2106,-4.5083095916429246,0.4905033238366572,0.4781576448243115,-5.480978260869565,0.2857142857142857,0.23809523809523808,21
vwap_distance_bucket,-1:0,half_life_bucket,<=5,30,2106,-6.464981006647673,0.49097815764482433,0.4772079772079772,-5.869565217391305,0.3333333333333333,0.23809523809523808,21
vwap_distance_bucket,-1:0,half_life_bucket,<=5,60,2106,-5.902896486229819,0.50664767331434,0.5004748338081672,-4.165760869565218,0.2857142857142857,0.2857142857142857,21
vwap_distance_bucket,-1:0,ou_residual_bucket,-2:-1,1,3049,-0.315677271236471,0.5018038701213513,0.44014430960970813,-0.20086002742116416,0.36363636363636365,0.13636363636363635,22
vwap_distance_bucket,-1:0,ou_residual_bucket,-2:-1,3,3049,-0.32822236798950477,0.5008199409642505,0.4578550344375205,-0.377051282051282,0.4090909090909091,0.2727272727272727,22
vwap_distance_bucket,-1:0,ou_residual_bucket,-2:-1,5,3049,-0.7006395539521154,0.4945883896359462,0.465726467694326,-0.5571266968325792,0.3181818181818182,0.22727272727272727,22
vwap_distance_bucket,-1:0,ou_residual_bucket,-2:-1,10,3049,-1.0183666775992128,0.5004919645785504,0.48081338143653657,-0.6275142686182454,0.45454545454545453,0.22727272727272727,22
vwap_distance_bucket,-1:0,ou_residual_bucket,-2:-1,20,3049,-2.104542472941948,0.5037717284355526,0.4886848146933421,-1.919151645768025,0.2727272727272727,0.18181818181818182,22
vwap_distance_bucket,-1:0,ou_residual_bucket,-2:-1,30,3049,-2.681124959002952,0.5044276812069531,0.49163660216464417,-2.847413793103448,0.22727272727272727,0.13636363636363635,22
vwap_distance_bucket,-1:0,ou_residual_bucket,-2:-1,60,3049,-1.4072646769432602,0.5375532961626763,0.5306657920629715,1.186349765258216,0.5,0.5,22
vwap_distance_bucket,-1:0,ou_residual_bucket,<=-2,1,2394,0.7781954887218046,0.5229741019214703,0.47619047619047616,0.6796875,0.6666666666666666,0.3333333333333333,21
vwap_distance_bucket,-1:0,ou_residual_bucket,<=-2,3,2394,0.6846282372598163,0.5150375939849624,0.48830409356725146,0.37083333333333335,0.6190476190476191,0.42857142857142855,21
vwap_distance_bucket,-1:0,ou_residual_bucket,<=-2,5,2394,0.7845655806182122,0.5238095238095238,0.49916457811194653,0.726890756302521,0.5714285714285714,0.47619047619047616,21
vwap_distance_bucket,-1:0,ou_residual_bucket,<=-2,10,2394,0.23433583959899748,0.5192147034252298,0.5020885547201337,1.3970588235294117,0.6190476190476191,0.5714285714285714,21
vwap_distance_bucket,-1:0,ou_residual_bucket,<=-2,20,2394,-0.07205513784461152,0.5154553049289892,0.5,1.3440170940170941,0.5714285714285714,0.5714285714285714,21
vwap_distance_bucket,-1:0,ou_residual_bucket,<=-2,30,2394,-2.074248120300752,0.5217209690893901,0.5096073517126148,-0.587378640776699,0.42857142857142855,0.38095238095238093,21
vwap_distance_bucket,-1:0,ou_residual_bucket,<=-2,60,2394,-1.3660192147034251,0.5300751879699248,0.5213032581453634,-0.09615384615384616,0.47619047619047616,0.42857142857142855,21
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.5:0.75,1,1444,0.5005193905817175,0.5131578947368421,0.44806094182825484,0.20607553366174056,0.5454545454545454,0.22727272727272727,22
vwap_distance_bucket,-1:0,vol_ratio_bucket,0.5:0.75,3,1444,1.5706371191135735,0.528393351800554,0.48961218836565096,0.44823446327683614,0.5909090909090909,0.4090909090909091,22
