side,hmm_state,zscore_threshold,horizon_bars,observations,mean_close_move,median_close_move,std_close_move,mean_mfe,median_mfe,mean_mae,median_mae,mfe_ge_5,mfe_ge_10,mfe_ge_20,mfe_ge_35,mfe_ge_50,mfe_ge_75,mfe_ge_100,mae_ge_5,mae_ge_10,mae_ge_20,mae_ge_35,mae_ge_50,mae_ge_75,mae_ge_100
LONG,1,2.5,120,5916,15942.719489519946,14734.375,4948.054643118636,78.4380493576741,58.0,82.69083840432725,55.75,0.9525016903313049,0.8995943204868154,0.8029073698444895,0.6769776876267748,0.5561189993238674,0.38759296822177147,0.2650439486139283,0.9332319134550372,0.8752535496957403,0.7753549695740365,0.6433400946585531,0.5366801893171061,0.39739688979039894,0.28752535496957404
LONG,1,3.0,5,2068,15885.980899419728,14812.125,4492.636461814103,20.434719535783366,15.5,21.210227272727273,15.0,0.8172147001934236,0.660541586073501,0.39410058027079303,0.15715667311411993,0.06818181818181818,0.026595744680851064,0.009671179883945842,0.778046421663443,0.6276595744680851,0.3960348162475822,0.20067698259187622,0.10203094777562863,0.03529980657640232,0.006769825918762089
LONG,1,3.0,10,2068,15887.006165377175,14820.25,4493.114818112173,28.215062862669246,20.75,28.062016441005802,20.0,0.870889748549323,0.7470986460348162,0.5178916827852998,0.27707930367504835,0.14361702127659576,0.06286266924564797,0.031914893617021274,0.8273694390715667,0.7045454545454546,0.5014506769825918,0.293036750483559,0.16972920696324953,0.07156673114119923,0.02804642166344294
LONG,1,3.0,20,2068,15887.212161508704,14820.375,4492.276124455292,37.4818665377176,27.5,37.85348162475822,26.5,0.9061895551257253,0.8143133462282398,0.6266924564796905,0.39990328820116056,0.24903288201160542,0.11943907156673114,0.061895551257253385,0.8665377176015474,0.769825918762089,0.6058994197292069,0.39748549323017407,0.27176015473887816,0.14313346228239845,0.06576402321083172
LONG,1,3.0,30,2068,15884.912838491296,14825.125,4491.1833202508005,44.35372340425532,32.5,47.060323984526114,32.0,0.9211798839458414,0.8423597678916828,0.6852030947775629,0.4661508704061896,0.3254352030947776,0.16876208897485492,0.09429400386847195,0.8853965183752418,0.8017408123791102,0.6586073500967118,0.4738878143133462,0.34332688588007737,0.1958413926499033,0.10783365570599614
LONG,1,3.0,60,2068,15888.086436170213,14786.625,4490.248068864135,61.09647001934236,44.375,62.56382978723404,42.75,0.9395551257253385,0.8853965183752418,0.7707930367504836,0.5952611218568665,0.44680851063829785,0.27079303675048355,0.1760154738878143,0.9119922630560928,0.8462282398452611,0.72678916827853,0.5676982591876208,0.4448742746615087,0.2872340425531915,0.18665377176015474
LONG,1,3.0,120,2068,15888.017408123791,14793.375,4487.918388507136,80.87512088974854,59.5,84.62536266924565,59.5,0.9555125725338491,0.9148936170212766,0.824468085106383,0.6914893617021277,0.5647969052224371,0.40135396518375244,0.2838491295938104,0.9313346228239845,0.8795938104448743,0.7891682785299806,0.6581237911025145,0.5551257253384912,0.405705996131528,0.281431334622824
LONG,2,1.5,5,30778,16867.844678016765,15675.75,6257.2230945683705,15.636924101631035,8.0,16.01140424978881,8.0,0.6554032100851257,0.4250113717590487,0.21824030151406848,0.11176814607836766,0.06540385989992852,0.0283644161413997,0.013971018259795957,0.6418220807069985,0.43092468646435766,0.24108129183182792,0.12547923841705114,0.06972512833842355,0.028754305023068426,0.01319124049645851
LONG,2,1.5,10,30778,16867.955853206837,15673.625,6257.232291675917,21.930916563779324,11.25,22.553211709662747,11.0,0.7473520046786666,0.54253037884203,0.30856455910065633,0.17021898758853726,0.1078042757814023,0.0579634804080837,0.03132107349405419,0.7258756254467477,0.5361297030346351,0.32854636428617845,0.19023328351419846,0.122717525505231,0.06381181363311456,0.0340178049255962
LONG,2,1.5,20,30778,16868.259828448892,15674.125,6258.229441094491,30.453416401325622,15.5,31.734729352134643,15.75,0.8174345311586197,0.6487426083566183,0.4145168626941322,0.24410293066476055,0.16612515433101566,0.09945415556566378,0.06358437845214114,0.7979400870751836,0.6358437845214114,0.4305347975826889,0.2711352264604588,0.18857625576710638,0.11020859055169277,0.06728832282799402
LONG,2,1.5,30,30778,16868.228872896223,15672.625,6258.6972654164165,36.9470319708883,18.75,39.20024043147703,19.25,0.851452336084216,0.7063811813633114,0.48219507440379494,0.2952108649035025,0.2062512184027552,0.12957307167457274,0.08801741503671454,0.8313405679381376,0.6886412372473845,0.4895704724153616,0.3242250958476834,0.23425823640262525,0.14728052505036066,0.0983819611410748
