target_points,horizon_bars,window,baseline_probability,observations
1.0,20,21,0.991060642667311,4139
1.0,20,22,0.9855212355212355,1036
1.0,30,1,0.9690694626474443,3815
1.0,30,2,0.9691675231243576,3892
1.0,30,3,0.9815828770532603,4018
1.0,30,4,0.976046511627907,4300
1.0,30,5,0.9716064757160647,4015
1.0,30,6,0.9783014465702287,4286
1.0,30,7,0.9714047751249306,3602
1.0,30,8,0.9702349869451697,3830
1.0,30,9,0.9680544645195077,3819
1.0,30,10,0.9737487733071639,4076
1.0,30,11,0.965675057208238,3496
1.0,30,12,0.9774869109947644,3820
1.0,30,13,0.9837670703426952,3881
1.0,30,14,0.9845208845208845,4070
1.0,30,15,0.9865083648138154,3706
1.0,30,16,0.9855838539163864,4162
1.0,30,17,0.9812916453100974,3902
1.0,30,18,0.9860176074572761,3862
1.0,30,19,0.9833788141900273,4031
1.0,30,20,0.9873584408743745,3797
1.0,30,21,0.99251026818072,4139
1.0,30,22,0.9884169884169884,1036
2.0,5,1,0.836959370904325,3815
2.0,5,2,0.8455806783144912,3892
2.0,5,3,0.9131408661025385,4018
2.0,5,4,0.9088372093023256,4300
2.0,5,5,0.9006226650062267,4015
2.0,5,6,0.9008399440037331,4286
2.0,5,7,0.8750694058856191,3602
2.0,5,8,0.8631853785900784,3830
2.0,5,9,0.8586017282010998,3819
2.0,5,10,0.8827281648675172,4076
2.0,5,11,0.8426773455377574,3496
2.0,5,12,0.8950261780104712,3820
2.0,5,13,0.8884308167997939,3881
2.0,5,14,0.9245700245700246,4070
2.0,5,15,0.926605504587156,3706
2.0,5,16,0.9293608841902932,4162
2.0,5,17,0.9010763710917479,3902
2.0,5,18,0.9161056447436562,3862
2.0,5,19,0.9168940709501364,4031
2.0,5,20,0.936002106926521,3797
2.0,5,21,0.9579608601111379,4139
2.0,5,22,0.9295366795366795,1036
2.0,10,1,0.8851900393184797,3815
2.0,10,2,0.8897738951695786,3892
2.0,10,3,0.9387755102040817,4018
2.0,10,4,0.9332558139534883,4300
2.0,10,5,0.9262764632627646,4015
2.0,10,6,0.9265048996733551,4286
2.0,10,7,0.9047751249305941,3602
2.0,10,8,0.8994778067885117,3830
2.0,10,9,0.8991882691804137,3819
2.0,10,10,0.9160942100098135,4076
2.0,10,11,0.8858695652173914,3496
2.0,10,12,0.9222513089005235,3820
2.0,10,13,0.9214120072146355,3881
2.0,10,14,0.9486486486486486,4070
2.0,10,15,0.9471127900701565,3706
2.0,10,16,0.9521864488226814,4162
2.0,10,17,0.9341363403382881,3902
2.0,10,18,0.9443293630243397,3862
2.0,10,19,0.9424460431654677,4031
2.0,10,20,0.9554911772451936,3797
2.0,10,21,0.9722155109929935,4139
2.0,10,22,0.9546332046332047,1036
2.0,20,1,0.9234600262123198,3815
2.0,20,2,0.9224049331963001,3892
2.0,20,3,0.9561971129915381,4018
2.0,20,4,0.9511627906976744,4300
2.0,20,5,0.9459526774595268,4015
2.0,20,6,0.9475034997666822,4286
2.0,20,7,0.9305941143808995,3602
2.0,20,8,0.9284595300261097,3830
2.0,20,9,0.9274679235401938,3819
2.0,20,10,0.9408734052993131,4076
2.0,20,11,0.9181922196796338,3496
2.0,20,12,0.9434554973821989,3820
2.0,20,13,0.9484668899768101,3881
