side,hmm_state,vol_bucket,zscore,observations,windows,wr_5_before_5_h10,wr_10_before_5_h10,wr_15_before_10_h10,wr_20_before_10_h10,wr_30_before_15_h10,wr_5_before_5_h20,wr_10_before_5_h20,wr_15_before_10_h20,wr_20_before_10_h20,wr_30_before_15_h20,wr_5_before_5_h30,wr_10_before_5_h30,wr_15_before_10_h30,wr_20_before_10_h30,wr_30_before_15_h30,wr_5_before_5_h60,wr_10_before_5_h60,wr_15_before_10_h60,wr_20_before_10_h60,wr_30_before_15_h60,wr_5_before_5_h120,wr_10_before_5_h120,wr_15_before_10_h120,wr_20_before_10_h120,wr_30_before_15_h120,mean_path_wr,median_path_wr,paths_wr_ge_50,paths_wr_ge_55,paths_wr_ge_60
LONG,0,40-60,2.5,792,20,0.40404040404040403,0.3068181818181818,0.35858585858585856,0.28914141414141414,0.1893939393939394,0.4116161616161616,0.31186868686868685,0.38636363636363635,0.3244949494949495,0.27146464646464646,0.4154040404040404,0.31565656565656564,0.3977272727272727,0.3333333333333333,0.29419191919191917,0.4154040404040404,0.3194444444444444,0.4027777777777778,0.33964646464646464,0.32196969696969696,0.4154040404040404,0.3207070707070707,0.41035353535353536,0.3484848484848485,0.33585858585858586,0.34560606060606064,0.33585858585858586,0,0,0
LONG,1,20-40,1.5,5554,21,0.4115952466690673,0.30554555275477135,0.3433561397191214,0.268995318689233,0.19733525387108392,0.41573640619373425,0.3174288800864242,0.37864602088584803,0.31094706517824994,0.2661145120633778,0.4180770615772416,0.3208498379546273,0.38962909614692115,0.3273316528628016,0.2985235866042492,0.41861721281958947,0.3226503420957868,0.4002520705797623,0.3437162405473533,0.33705437522506304,0.41861721281958947,0.32283039250990275,0.40043212099387826,0.34533669427439684,0.35433921498019444,0.3453583003240908,0.3433561397191214,0,0,0
LONG,0,80-100,2.0,3477,21,0.44032211676732813,0.31032499280989356,0.3267184354328444,0.2545297670405522,0.17141213689962612,0.4452113891285591,0.32326718435432844,0.36468219729651996,0.30428530342249066,0.2571182053494392,0.4457865976416451,0.3252804141501294,0.3747483462755249,0.3198159332758125,0.2962323842392867,0.4469370146678171,0.32585562266321544,0.3813632441760138,0.33045729076790337,0.33879781420765026,0.4469370146678171,0.32585562266321544,0.3836640782283578,0.33448375035950534,0.3526028185217141,0.34506758700028756,0.33045729076790337,0,0,0
LONG,0,60-80,2.0,3715,21,0.4204576043068641,0.30955585464333785,0.3442799461641992,0.2594885598923284,0.16662180349932706,0.4250336473755047,0.3187079407806191,0.3795423956931359,0.30740242261103634,0.25141318977119786,0.4261103633916555,0.32059219380888293,0.39380888290713323,0.3243606998654105,0.2915208613728129,0.4296096904441454,0.3219380888290713,0.3986541049798116,0.33324360699865413,0.3259757738896366,0.43041722745625843,0.326514131897712,0.4048452220726783,0.33970390309555853,0.33997308209959626,0.3435908479138628,0.33324360699865413,0,0,0
LONG,1,40-60,2.0,2570,21,0.4151750972762646,0.30233463035019453,0.35175097276264594,0.27276264591439686,0.1992217898832685,0.41945525291828795,0.3132295719844358,0.38287937743190664,0.31011673151750974,0.25836575875486384,0.421011673151751,0.31556420233463034,0.3898832684824903,0.32217898832684827,0.29027237354085605,0.42140077821011673,0.3175097276264591,0.39649805447470815,0.33229571984435796,0.3303501945525292,0.42140077821011673,0.3175097276264591,0.3980544747081712,0.33735408560311286,0.3408560311284047,0.3430972762645915,0.33229571984435796,0,0,0
LONG,0,20-40,2.0,3191,20,0.4305860231902225,0.3030397994359135,0.32779692886242556,0.23785647132560325,0.1488561579442181,0.4406142275148856,0.3212159197743654,0.37762456910059544,0.3011595111250392,0.2215606392980257,0.4437480413663428,0.32309620808523976,0.39204011281729867,0.3196490128486368,0.2569727358194923,0.44813538075838294,0.32779692886242556,0.4086493262300219,0.3444061422751489,0.3068003760576622,0.44813538075838294,0.32905045440300845,0.4146035725477907,0.35537449075524913,0.3381385145722344,0.34267627702914455,0.32905045440300845,0,0,0
LONG,0,40-60,1.5,8453,21,0.4438660830474388,0.31314326274695375,0.33609369454631494,0.23731219685318822,0.13793919318585118,0.4515556607121732,0.32450017745179227,0.3756062936235656,0.294451673961907,0.2200402224062463,0.452975275050278,0.32864071927126465,0.38708150952324616,0.3123151543830593,0.25706849639181356,0.45344847982964626,0.33147994794747426,0.39713711108482197,0.32745770732284396,0.30391576954927246,0.45392168460901455,0.3325446587010529,0.40186915887850466,0.33207145392168463,0.32059623802200404,0.3410812729208565,0.33147994794747426,0,0,0
SHORT,0,80-100,2.0,3644,21,0.4656970362239298,0.30982436882546655,0.31366630076838636,0.22530186608122943,0.14736553238199782,0.471185510428101,0.3191547749725576,0.3641602634467618,0.2848518111964874,0.21953896816684962,0.47200878155872666,0.3224478594950604,0.3792535675082327,0.3070801317233809,0.26097694840834246,0.47283205268935236,0.325192096597146,0.3885839736553238,0.3218990120746433,0.3092755214050494,0.47283205268935236,0.32546652030735457,0.39050493962678373,0.3246432491767289,0.32848518111964875,0.34088913282107586,0.3246432491767289,0,0,0
LONG,0,60-80,1.5,9666,21,0.42509828264018207,0.3084005793503,0.33478170908338506,0.244568590937306,0.15135526588040554,0.430684874818953,0.3198841299399959,0.3771984274777571,0.29919304779639977,0.23422304986550796,0.4324436168011587,0.32257397061866333,0.3899234429960687,0.31771156631491826,0.2771570453134699,0.43534036830126216,0.32453962342230497,0.39757914338919925,0.3290916614938961,0.3195737637078419,0.43596110076557004,0.32836747361887025,0.4037864680322781,0.3362300848334368,0.33426443202979517,0.3403972687771571,0.3290916614938961,0,0,0
LONG,1,40-60,1.5,5617,21,0.41071746483888194,0.29766779419619016,0.34609222004628803,0.26526615631119815,0.1856863094178387,0.4157023322058038,0.3092398077265444,0.37849385793128004,0.30656934306569344,0.254050204735624,0.4176606729570945,0.3120883033647855,0.38846359266512376,0.3218800071212391,0.29090261705536763,0.4178387039344846,0.31386861313868614,0.3968310486024568,0.3329179277194232,0.32900124621684174,0.4178387039344846,0.3140466441160762,0.3980772654441873,0.3370126401993947,0.343243724408047,0.3400462880541214,0.3329179277194232,0,0,0
