window,direction,horizon_bars,quantile,mfe_points,mae_points,validation_start,validation_end
2,short_reversion,1,0.25,0.75,-5.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,1,0.5,2.25,-2.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,1,0.75,4.5,-1.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,1,0.9,9.25,0.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,3,0.1,0.25,-20.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,3,0.25,1.25,-12.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,3,0.5,3.25,-6.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,3,0.75,7.75,-3.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,3,0.9,21.950000000000045,-1.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,5,0.1,0.5,-29.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,5,0.25,1.5,-18.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,5,0.5,4.0,-10.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,5,0.75,11.0,-5.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,5,0.9,36.25,-1.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,10,0.1,0.75,-49.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,10,0.25,2.0,-30.25,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,10,0.5,5.75,-17.5,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,10,0.75,21.25,-8.75,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,10,0.9,67.0,-3.0,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
