side,hmm_state,vol_bucket,zscore,observations,path_relationships,paths_wr_50,paths_wr_55,paths_wr_60,paths_positive_expectancy,best_wr,median_wr,mean_wr,best_expectancy,median_expectancy,best_tp,best_sl,best_rr,best_horizon,best_path_wr,best_path_expectancy,passes_wr_50,passes_wr_55,passes_positive_expectancy,candidate
SHORT,1,20-40,1.5,5476,25,0,0,0,0,0.4435719503287071,0.3192111029948867,0.3309861212563915,-0.03469685902118347,-0.11285609934258578,5.0,5.0,1.0,120,0.4435719503287071,-0.11285609934258578,False,False,False,False
SHORT,1,20-40,2.0,2110,25,0,0,0,0,0.4398104265402843,0.309952606635071,0.3278293838862559,-0.033175355450236976,-0.12132701421800962,5.0,5.0,1.0,120,0.4398104265402843,-0.12037914691943147,False,False,False,False
SHORT,1,20-40,2.5,703,25,0,0,0,0,0.3897581792318634,0.3058321479374111,0.3207396870554765,-0.018492176386913473,-0.13371266002844961,5.0,5.0,1.0,20,0.3897581792318634,-0.2204836415362732,False,False,False,False
SHORT,1,20-40,3.0,273,25,0,0,0,2,0.3956043956043956,0.3296703296703296,0.32600732600732596,0.04395604395604369,-0.08424908424908428,15.0,10.0,1.5,60,0.3956043956043956,-0.010989010989011061,False,False,True,False
SHORT,1,20-40,3.5,130,25,0,0,0,14,0.4769230769230769,0.3692307692307692,0.37199999999999994,0.19230769230769218,0.10769230769230764,15.0,10.0,1.5,60,0.4769230769230769,0.19230769230769218,False,False,True,False
SHORT,1,40-60,1.5,5231,25,0,0,0,0,0.4328044350984515,0.3033836742496654,0.32181991970942453,-0.02504301280825849,-0.124259223857771,5.0,5.0,1.0,60,0.4328044350984515,-0.13439112980309703,False,False,False,False
SHORT,1,40-60,2.0,2038,25,0,0,0,0,0.4116781157998037,0.3061825318940137,0.32013738959764476,-0.021099116781157945,-0.13297350343474001,5.0,5.0,1.0,60,0.4116781157998037,-0.1766437684003926,False,False,False,False
SHORT,1,40-60,2.5,686,25,0,0,0,0,0.3877551020408163,0.2944606413994169,0.30991253644314865,-0.034256559766764005,-0.19533527696793018,5.0,5.0,1.0,30,0.3877551020408163,-0.22448979591836737,False,False,False,False
SHORT,1,40-60,3.0,260,25,0,0,0,0,0.3692307692307692,0.3038461538461538,0.2956923076923077,-0.07692307692307687,-0.25,15.0,10.0,1.5,30,0.3692307692307692,-0.07692307692307698,False,False,False,False
SHORT,1,40-60,3.5,108,25,0,0,0,0,0.3333333333333333,0.2592592592592592,0.26518518518518513,-0.11111111111111116,-0.3055555555555558,15.0,10.0,1.5,30,0.3333333333333333,-0.16666666666666674,False,False,False,False
SHORT,1,60-80,1.5,6537,25,0,0,0,0,0.4419458467186783,0.3146703380755698,0.32639437050634845,-0.03441945846718697,-0.11610830656264337,5.0,5.0,1.0,120,0.4419458467186783,-0.11610830656264337,False,False,False,False
SHORT,1,60-80,2.0,2611,25,0,0,0,0,0.4258904634239754,0.320183837610111,0.32680199157410944,-0.027958636537725123,-0.11145155112983551,5.0,5.0,1.0,60,0.4258904634239754,-0.14821907315204919,False,False,False,False
SHORT,1,60-80,2.5,920,25,0,0,0,0,0.3728260869565217,0.3032608695652174,0.3098260869565217,-0.01521739130434785,-0.15869565217391324,5.0,5.0,1.0,60,0.3728260869565217,-0.25434782608695666,False,False,False,False
SHORT,1,60-80,3.0,351,25,0,0,0,0,0.3304843304843304,0.2877492877492877,0.28284900284900283,-0.042735042735042694,-0.237891737891738,15.0,10.0,1.5,120,0.3304843304843304,-0.17378917378917402,False,False,False,False
SHORT,1,60-80,3.5,174,25,0,0,0,0,0.3390804597701149,0.264367816091954,0.272183908045977,-0.051724137931034475,-0.206896551724138,15.0,10.0,1.5,120,0.3390804597701149,-0.1522988505747127,False,False,False,False
SHORT,1,80-100,1.5,8389,25,0,0,0,0,0.4038622005006556,0.3213732268446775,0.3289355107879366,-0.012993205388008078,-0.11670044105376098,5.0,5.0,1.0,60,0.4038622005006556,-0.19227559899868885,False,False,False,False
