target_points,horizon_bars,window,feature,gain,gain_normalized
1.0,5,3,past_return_15,6.649113178253174,0.01519022063596173
1.0,5,3,past_return_30,6.263291358947754,0.014308792029725072
1.0,5,3,realized_vol_5,5.613430023193359,0.012824152378052988
1.0,5,3,realized_vol_15,6.589375019073486,0.01505374592211665
1.0,5,3,realized_vol_30,6.216595649719238,0.014202113423583462
1.0,5,3,realized_vol_60,6.122833728790283,0.013987909780484007
1.0,5,3,vol_ratio_5_30,5.71279239654541,0.01305115052557542
1.0,5,3,vol_ratio_5_60,5.986452579498291,0.0136763404489366
1.0,5,3,variance_ratio_5_30,7.931972503662109,0.01812097480955549
1.0,5,3,variance_ratio_5_60,6.782314300537109,0.015494525042009195
1.0,5,3,rolling_range_5,9.008809089660645,0.020581060070803948
1.0,5,3,rolling_range_15,7.111277103424072,0.01624605647528676
1.0,5,3,rolling_range_30,38.52286148071289,0.08800734018703435
1.0,5,3,rolling_range_60,9.99439811706543,0.022832685871313305
1.0,5,3,atr_5,12.922460556030273,0.029521986127055568
1.0,5,3,atr_15,19.802722930908203,0.04524027828209434
1.0,5,3,atr_30,23.59206199645996,0.05389720664638523
1.0,5,3,atr_60,10.860875129699707,0.024812194513300585
1.0,5,3,normalized_range_5,5.891943454742432,0.013460429782556531
1.0,5,3,normalized_range_15,8.132389068603516,0.018578836145187218
1.0,5,3,normalized_range_30,6.209264278411865,0.014185364551254534
1.0,5,3,normalized_range_60,8.430988311767578,0.019261000557763048
1.0,5,3,vwap_distance,9.240070343017578,0.021109387588905206
1.0,5,3,vwap_distance_pct,6.2842817306518555,0.014356745549069424
1.0,5,3,normalized_vwap_distance,6.583520889282227,0.015040371879477155
1.0,5,3,mean_distance_5,8.303360939025879,0.01896942965211577
1.0,5,3,mean_distance_15,9.661853790283203,0.022072972273478826
1.0,5,3,mean_distance_30,6.2198944091796875,0.014209649599113318
1.0,5,3,mean_distance_60,6.62515115737915,0.015135478240366719
1.0,5,3,zscore_5,6.628984451293945,0.015144235585709955
1.0,5,3,zscore_15,6.7034687995910645,0.015314398681784115
1.0,5,3,zscore_30,6.953214168548584,0.01588495405594772
1.0,5,3,zscore_60,7.06798791885376,0.01614716023948127
1.0,5,3,abs_zscore_5,6.062607765197754,0.013850320653865432
1.0,5,3,abs_zscore_15,7.040335655212402,0.016083987305807977
1.0,5,3,abs_zscore_30,6.6581854820251465,0.015210946752705156
1.0,5,3,abs_zscore_60,5.8954315185546875,0.013468398433033676
1.0,5,3,zscore_direction_5,0.0,0.0
1.0,5,3,zscore_direction_15,0.0,0.0
1.0,5,3,zscore_direction_30,0.0,0.0
1.0,5,3,zscore_direction_60,0.0,0.0
1.0,5,3,log_zscore_5,7.148410320281982,0.0163308891051237
1.0,5,3,log_zscore_30,7.949650287628174,0.01816136056200104
1.0,5,3,log_zscore_60,7.007865905761719,0.01600980859280856
1.0,5,3,autocorrelation_30,6.492384910583496,0.014832167328404717
1.0,5,3,autocorrelation_60,7.00670862197876,0.01600716472203508
