target_points,horizon_bars,window,observations,mean_realized_probability,mean_model_probability,baseline_probability,probability_lift,top_decile_lift,mean_future_mfe,median_future_mfe
5.0,20,20,1189,0.9377628259041211,0.9240724181457164,0.8478694196848321,0.0762029984608843,0.11851713493701665,50.73107653490328,32.75
5.0,20,21,1061,0.94062205466541,0.9464638641035635,0.8517171862625099,0.09474667784105362,0.11089963616739662,58.37252591894439,38.25
5.0,30,1,1243,0.6870474658085277,0.6121158697953326,0.7157980456026058,-0.10368217580727324,0.0922019543973942,11.454947707160096,8.25
5.0,30,2,1638,0.8376068376068376,0.8437623272039296,0.7013354917037636,0.142426835500166,0.21939621561330958,30.025030525030527,17.0
5.0,30,3,1892,0.892706131078224,0.8632381260867603,0.7556583110245801,0.10757981506218017,0.18118379423857778,27.419001057082454,22.0
5.0,30,4,1862,0.8952738990332976,0.9443714226386986,0.7988668555240793,0.14550456711461923,0.14230961506415596,28.757921589688507,22.25
5.0,30,5,1943,0.8867730313947504,0.883099298853268,0.8216965534783162,0.06140274537495183,0.1629188311370685,29.06201749871333,21.5
5.0,30,6,1234,0.8654781199351702,0.9278524422133568,0.8345910666938609,0.09326137551949598,0.06057022362871978,23.003646677471636,17.0
5.0,30,7,1320,0.8954545454545455,0.8533859284763986,0.8380434782608696,0.015342450215529047,0.09377470355731221,32.035227272727276,23.25
5.0,30,8,1884,0.921443736730361,0.9433739865218504,0.8441747572815534,0.099199229240297,0.11878820568140946,44.23049363057325,32.5
5.0,30,9,1357,0.9012527634487841,0.9305821338732979,0.8543948329121034,0.07618730096119453,0.11619340238201425,40.07240235814296,29.5
5.0,30,10,1376,0.8880813953488372,0.920143311583372,0.8584706108582784,0.061672700725093677,0.06181924421418539,30.91987645348837,23.25
5.0,30,11,1154,0.8691507798960139,0.905649663851414,0.8608705896212523,0.0447790742301617,0.07016389313736837,30.8698006932409,22.5
5.0,30,12,926,0.8671706263498921,0.9017440996597447,0.8613976063096355,0.0403464933501092,0.13860239369036453,29.929535637149026,24.5
5.0,30,13,960,0.84375,0.8726231077841172,0.8616781235241644,0.010944984259952828,0.034155209809168974,30.319010416666668,21.75
5.0,30,14,1289,0.8525989138867339,0.8285529582860213,0.860818304441225,-0.03226534615520371,0.04615843974482148,30.92242048099302,21.25
5.0,30,15,1326,0.9140271493212669,0.8792019940429503,0.860321036327795,0.0188809577151553,0.07200979073987412,41.4802036199095,26.0
5.0,30,16,1032,0.9408914728682171,0.9172442156330559,0.8634676564156946,0.05377655921736135,0.08845542050738231,40.669815891472865,30.25
5.0,30,17,1149,0.927763272410792,0.9535660681981849,0.8668441514536849,0.08672191674450003,0.08967758767674994,60.93603133159269,41.0
5.0,30,18,841,0.9274673008323424,0.9254041004407704,0.8696650949099263,0.0557390055308441,0.07151137567830901,45.46640903686088,29.75
5.0,30,19,935,0.932620320855615,0.9380438365400794,0.8715599906447338,0.06648384589534562,0.032695328504202426,52.155080213903744,31.25
5.0,30,20,1189,0.9495374264087468,0.9388041405541442,0.8737071721388544,0.06509696841528978,0.10948610517206991,63.60281749369218,40.5
5.0,30,21,1061,0.9547596606974552,0.9593940950810741,0.876952984376125,0.08244111070494908,0.11370122123135162,71.64278982092365,47.0
5.0,60,1,1243,0.7843925985518906,0.7952272632366836,0.8167752442996743,-0.021547981062990718,0.015224755700325665,16.50824617860016,12.25
5.0,60,2,1638,0.8986568986568987,0.9249885856595814,0.8004856333468231,0.12450295231275832,0.1507338788482988,48.15659340659341,26.75
5.0,60,3,1892,0.9302325581395349,0.9239671464623533,0.8396203455828669,0.08434680087948643,0.09722175968029101,39.69727801268499,30.625
5.0,60,4,1862,0.9301825993555317,0.9711893597491702,0.868188635227462,0.10300072452170816,0.05694505461211019,42.42830290010741,34.0
5.0,60,5,1943,0.9289758106021616,0.9254903722472002,0.8828691339183518,0.042621238328848454,0.05046419941498159,42.865671641791046,30.5
5.0,60,6,1234,0.9157212317666127,0.9657613749055847,0.892004894962268,0.07375647994331669,0.06767252439257077,32.11466774716369,22.75
5.0,60,7,1320,0.9227272727272727,0.9181831780369535,0.8946557971014493,0.023527380935504216,0.06746541501976289,43.65965909090909,31.75
5.0,60,8,1884,0.9416135881104034,0.9673626113469433,0.8976537216828478,0.0697088896640955,0.07589125186212564,61.88933121019108,46.5
5.0,60,9,1357,0.922623434045689,0.9573011899925631,0.9034681269306375,0.05383306306192559,-0.01376224457769637,57.222181282240236,43.75
5.0,60,10,1376,0.9171511627906976,0.9485709062929071,0.9051342862637011,0.04343662002920601,0.044141076055139505,44.055414244186046,33.25
5.0,60,11,1154,0.91421143847487,0.9337983424783373,0.9061082641220475,0.027690078356289782,0.007684839326228432,40.50584922010398,32.0
5.0,60,12,926,0.8995680345572354,0.9351054166743359,0.9066240141194639,0.02848140255487197,0.07187060953645008,40.57883369330454,31.25
5.0,60,13,960,0.896875,0.915459986589849,0.9062811565304087,0.009178830059440202,0.03121884346959125,41.213541666666664,30.25
5.0,60,14,1289,0.8968192397207138,0.8880470282028958,0.9058300444622072,-0.017783016259311335,-0.006605238260656732,45.29868114817688,31.0
5.0,60,15,1326,0.9366515837104072,0.8913456210543487,0.9052848962733502,-0.013939275219001512,0.0496023217717626,58.94607843137255,37.75
5.0,60,16,1032,0.9602713178294574,0.9514439185691435,0.9071226581831036,0.044321260386039896,0.03518503412458873,57.24103682170543,37.25
5.0,60,17,1149,0.9416884247171453,0.9664803864750476,0.9094405003380662,0.05703988613698141,0.06447254314019468,79.0970409051349,56.75
5.0,60,18,841,0.9429250891795482,0.9479098670122598,0.910933784709628,0.03697608230263172,0.08906621529037195,61.99881093935791,46.75
5.0,60,19,935,0.9475935828877006,0.9485856500538913,0.9119825368363608,0.036603113217530514,0.03482597380193708,68.70347593582888,40.0
5.0,60,20,1189,0.9596299411269975,0.9507672124995816,0.9132347963443529,0.03753241615522873,0.03634503558842017,86.31602186711523,60.0
5.0,60,21,1061,0.9726672950047125,0.9675339714296577,0.9152206782345741,0.0523132931950836,0.05674193858785581,103.61757775683317,62.75
5.0,120,1,1243,0.8616251005631537,0.8339861540583862,0.8721498371335505,-0.03816368307516438,0.03985016286644949,23.32320997586484,19.25
5.0,120,2,1638,0.9444444444444444,0.9763345596117851,0.8668555240793201,0.10947903553246496,0.11485179299385062,69.72557997557998,39.25
5.0,120,3,1892,0.9466173361522199,0.9221942921427038,0.8977853492333902,0.024408942909313613,0.03905675602976777,60.032373150105705,49.0
5.0,120,4,1862,0.9532760472610097,0.9844090623258904,0.9131811364772537,0.07122792584863669,0.038690521276756984,59.29470998925886,45.75
5.0,120,5,1943,0.9490478641276376,0.9611593985367362,0.9226758234770444,0.0384835750596918,0.005529304728083884,63.16996911991765,45.25
5.0,120,6,1234,0.9667747163695299,0.9805129369904968,0.9279012849275954,0.052611652062901415,0.047905166685307865,47.284238249594814,34.75
5.0,120,7,1320,0.9492424242424242,0.9714457757996791,0.9322463768115942,0.03919939898808489,0.022299077733860417,64.95359848484848,50.125
5.0,120,8,1884,0.9580679405520169,0.9787830533242277,0.9340614886731392,0.04472156465108845,0.04477449016283963,92.26340233545648,69.75
5.0,120,9,1357,0.948415622697126,0.9741260553425344,0.9372367312552654,0.03688932408726897,-0.0034132018435006906,82.8605379513633,68.5
5.0,120,10,1376,0.9367732558139535,0.9665301625811776,0.9382090891609512,0.028321073420226384,0.04005178040426616,71.36845930232558,55.25
5.0,120,11,1154,0.949740034662045,0.9559304155861278,0.9380927136714379,0.01783770191468992,0.03604521736304489,59.399913344887345,44.25
5.0,120,12,926,0.9449244060475162,0.9688428358434343,0.9388340411450002,0.030008794698434094,0.05041327068295676,58.94546436285097,46.5
5.0,120,13,960,0.921875,0.9508230150987704,0.9391299784855959,0.011693036613174557,0.019203354847737497,57.72265625,43.75
