observations,wins,losses,win_rate,tp,sl,rr,horizon,expectancy_r,breakeven_wr,edge_vs_breakeven,context,side,hmm_state,vol_bucket,zscore,candidate,research_score
840,444,396,0.5285714285714286,25.0,20.0,1.25,3,0.18928571428571428,0.4444444444444444,0.08412698412698416,D1,LONG,1,20-40,2.5,True,1.3111837640028963
154,87,67,0.564935064935065,6.0,5.0,1.2,12,0.24285714285714288,0.45454545454545453,0.11038961038961043,B1,LONG,2,60-80,3.5,True,1.304366347492659
154,87,67,0.564935064935065,9.0,7.5,1.2,8,0.24285714285714288,0.45454545454545453,0.11038961038961043,B1,LONG,2,60-80,3.5,True,1.304366347492659
861,454,407,0.5272938443670151,25.0,20.0,1.25,7,0.186411149825784,0.4444444444444444,0.08284939992257068,A2,LONG,0,20-40,2.5,True,1.2943908058017741
372,200,172,0.5376344086021505,25.0,20.0,1.25,4,0.20967741935483863,0.4444444444444444,0.09318996415770608,D2,LONG,1,20-40,3.0,True,1.2883489641767543
372,200,172,0.5376344086021505,25.0,20.0,1.25,5,0.20967741935483863,0.4444444444444444,0.09318996415770608,D2,LONG,1,20-40,3.0,True,1.2883489641767543
372,200,172,0.5376344086021505,25.0,20.0,1.25,7,0.20967741935483863,0.4444444444444444,0.09318996415770608,D2,LONG,1,20-40,3.0,True,1.2883489641767543
154,88,66,0.5714285714285714,7.0,6.0,1.1666666666666667,6,0.23809523809523803,0.46153846153846145,0.10989010989010994,B1,LONG,2,60-80,3.5,True,1.2865880400304195
154,85,69,0.551948051948052,7.5,6.0,1.25,12,0.24188311688311692,0.4444444444444444,0.10750360750360755,B1,LONG,2,60-80,3.5,True,1.2832918227377805
372,190,182,0.510752688172043,27.5,20.0,1.375,12,0.21303763440860213,0.42105263157894735,0.08970005659309566,D2,LONG,1,20-40,3.0,True,1.275083779544936
861,453,408,0.5261324041811847,25.0,20.0,1.25,10,0.1837979094076655,0.4444444444444444,0.08168795973674026,A2,LONG,0,20-40,2.5,True,1.2748022401977883
840,442,398,0.5261904761904762,25.0,20.0,1.25,5,0.18392857142857144,0.4444444444444444,0.08174603174603179,D1,LONG,1,20-40,2.5,True,1.2711255423519519
840,442,398,0.5261904761904762,25.0,20.0,1.25,8,0.18392857142857144,0.4444444444444444,0.08174603174603179,D1,LONG,1,20-40,2.5,True,1.2711255423519519
372,186,186,0.5,25.0,17.5,1.4285714285714286,12,0.2142857142857143,0.4117647058823529,0.08823529411764708,D2,LONG,1,20-40,3.0,True,1.2689096613522464
154,78,76,0.5064935064935064,11.0,7.5,1.4666666666666666,12,0.2493506493506492,0.4054054054054054,0.10108810108810107,B1,LONG,2,60-80,3.5,True,1.2657474403737283
154,82,72,0.5324675324675324,10.0,7.5,1.3333333333333333,10,0.24242424242424232,0.4285714285714286,0.10389610389610382,B1,LONG,2,60-80,3.5,True,1.262344893491003
154,77,77,0.5,9.0,6.0,1.5,15,0.25,0.4,0.09999999999999998,B1,LONG,2,60-80,3.5,True,1.2608562792298117
2255,1163,1092,0.5157427937915743,25.0,20.0,1.25,3,0.1604212860310421,0.4444444444444444,0.07129834934712986,S1,SHORT,2,80-100,2.0,True,1.2581687798462367
2255,1161,1094,0.5148558758314856,25.0,20.0,1.25,5,0.1584257206208426,0.4444444444444444,0.0704114313870412,S1,SHORT,2,80-100,2.0,True,1.2414328200287097
154,94,60,0.6103896103896104,5.0,5.0,1.0,6,0.22077922077922074,0.5,0.11038961038961037,B1,LONG,2,60-80,3.5,True,1.2364004735102252
