probability_decile,mean_probability,realized_probability,mean_future_mfe,observations,target_points,horizon_bars
7,0.9687897784042427,0.9083665338645418,87.82886635277073,2761,10.0,120
8,0.978735936266579,0.922854038391887,92.45807678377399,2761,10.0,120
9,0.9896712256531403,0.9384281057587831,109.3670771459616,2761,10.0,120
0,0.005038148170554106,0.04598117306299783,5.636947863866763,2762,15.0,5
1,0.0452991224999436,0.1307497283592901,8.185530604853314,2761,15.0,5
2,0.13266594206583063,0.22709163346613545,10.340456356392611,2761,15.0,5
3,0.21975733878408726,0.28612821441506703,11.905016298442593,2761,15.0,5
4,0.29975798603029885,0.3194494748279609,13.014668598333937,2761,15.0,5
5,0.38059739307060225,0.3871785584932995,14.614632379572619,2761,15.0,5
6,0.46691798575543614,0.4538210793190873,16.883556682361462,2761,15.0,5
7,0.5636351464754081,0.5211879753712423,19.847156827236507,2761,15.0,5
8,0.6723617496847977,0.5965229989134372,24.9690329590728,2761,15.0,5
9,0.8261286269189309,0.7026439695762405,33.79264759145237,2761,15.0,5
0,0.027285323081317685,0.11513396089790007,7.3848660391021,2762,15.0,10
1,0.15229277194560933,0.28069540021731254,12.702281781963057,2761,15.0,10
2,0.28295417674552353,0.37232886635277074,14.584932995291561,2761,15.0,10
3,0.3934732247353118,0.4494748279608837,17.071532053603768,2761,15.0,10
4,0.47918247487915466,0.4885910901847157,18.78649040202825,2761,15.0,10
5,0.5532626833919164,0.5461789206809127,21.163799348062295,2761,15.0,10
6,0.621287414493098,0.5733429916696849,23.662893879029337,2761,15.0,10
7,0.6930925184209811,0.6385367620427381,27.378395508873595,2761,15.0,10
8,0.7770646035951879,0.6801883375588554,32.483792104310034,2761,15.0,10
9,0.8888545465702511,0.7562477363274176,44.937522636725824,2761,15.0,10
0,0.08649416088060341,0.24873280231716147,11.065532223026793,2762,15.0,20
1,0.29863981259814726,0.4400579500181094,17.432270916334662,2761,15.0,20
2,0.44916618344188813,0.5280695400217312,20.90881926838102,2761,15.0,20
3,0.5553241089952463,0.5896414342629482,24.672039116262223,2761,15.0,20
4,0.6321092880493228,0.6385367620427381,28.038120246287576,2761,15.0,20
5,0.6959400430229944,0.6414342629482072,29.018471568272364,2761,15.0,20
6,0.752363333189155,0.6917783411807317,33.2078956899674,2761,15.0,20
7,0.804790246685274,0.7066280333212605,36.94893154654111,2761,15.0,20
8,0.8584637657450145,0.749003984063745,42.79355306048533,2761,15.0,20
9,0.9264589603808168,0.8239768199927563,58.069721115537845,2761,15.0,20
0,0.13538267422896294,0.3591600289645185,14.545257060101376,2762,15.0,30
