window,probability_decile,observations,mean_probability,realized_positive_rate,mean_future_points,median_future_points
21,5,114,0.54100657,0.49122807017543857,-3.8684210526315788,-0.625
21,6,115,0.5592014,0.46956521739130436,-6.091304347826087,-2.75
21,7,114,0.58131963,0.47368421052631576,-2.2258771929824563,-3.625
21,8,114,0.61158305,0.47368421052631576,-9.015350877192983,-2.125
21,9,115,0.67105573,0.5304347826086957,1.1217391304347826,3.0
22,0,24,0.4182967,0.7083333333333334,20.572916666666668,11.375
22,1,23,0.47842452,0.5652173913043478,2.8369565217391304,3.5
22,2,24,0.5089683,0.5416666666666666,12.135416666666666,2.875
22,3,23,0.5209755,0.43478260869565216,10.423913043478262,-1.25
22,4,24,0.53582156,0.3333333333333333,0.17708333333333334,-4.0
22,5,23,0.55017155,0.4782608695652174,-4.967391304347826,-1.25
22,6,23,0.5657668,0.5217391304347826,-1.2826086956521738,1.25
22,7,24,0.58341146,0.7083333333333334,10.197916666666666,11.0
22,8,23,0.6182046,0.5652173913043478,13.108695652173912,3.5
22,9,24,0.6784649,0.4166666666666667,18.71875,-2.375
