side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,breakeven_wr,wr_edge_vs_breakeven,wr_ge_50,positive_expectancy,sufficient_sample,candidate,research_score
LONG,0,40-60,2.0,3057,15.0,10.0,1.5,60,0.4164213280994439,0.04105332024860975,0.4,0.016421328099443855,False,True,True,False,0.22504252535165192
LONG,2,0-20,3.5,233,15.0,10.0,1.5,120,0.4163090128755364,0.040772532188841026,0.4,0.016309012875536377,False,True,True,False,0.22487124463519303
LONG,0,80-100,2.5,922,30.0,15.0,2.0,60,0.3665943600867679,0.09978308026030358,0.3333333333333333,0.033261026753434564,False,True,True,False,0.2232104121475054
LONG,0,20-40,2.0,3191,15.0,10.0,1.5,120,0.4146035725477907,0.03650893136947675,0.4,0.014603572547790655,False,True,True,False,0.2222704481353808
SHORT,0,20-40,3.0,175,20.0,10.0,2.0,20,0.3657142857142857,0.09714285714285709,0.3333333333333333,0.0323809523809524,False,True,True,False,0.2217142857142857
SHORT,2,80-100,2.0,2189,5.0,5.0,1.0,60,0.4787574234810415,-0.042485153037917056,0.5,-0.0212425765189585,False,False,True,False,0.221322521699406
SHORT,2,80-100,2.0,2189,5.0,5.0,1.0,120,0.4787574234810415,-0.042485153037917056,0.5,-0.0212425765189585,False,False,True,False,0.221322521699406
LONG,1,80-100,4.0,104,15.0,10.0,1.5,20,0.4134615384615384,0.03365384615384592,0.4,0.013461538461538358,False,True,True,False,0.22052884615384602
LONG,1,80-100,4.0,104,15.0,10.0,1.5,30,0.4134615384615384,0.03365384615384592,0.4,0.013461538461538358,False,True,True,False,0.22052884615384602
LONG,1,80-100,4.0,104,15.0,10.0,1.5,60,0.4134615384615384,0.03365384615384592,0.4,0.013461538461538358,False,True,True,False,0.22052884615384602
LONG,1,80-100,4.0,104,15.0,10.0,1.5,120,0.4134615384615384,0.03365384615384592,0.4,0.013461538461538358,False,True,True,False,0.22052884615384602
