side,hmm_state,horizon_bars,observations,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,prob_mfe_ge_5,prob_mfe_ge_10,prob_mfe_ge_20,prob_mfe_ge_35,prob_mfe_ge_50,prob_mfe_ge_75,prob_mfe_ge_100,prob_mae_ge_5,prob_mae_ge_10,prob_mae_ge_20,prob_mae_ge_35,prob_mae_ge_50,prob_mae_ge_75,prob_mae_ge_100
SHORT,0,30,407621,30.47104167535568,19.25,29.36791007426344,19.5,1.0375624822570868,0.8314316485166368,0.6934161880766693,0.48755829557358427,0.28751217429916515,0.1738281393745661,0.08201245765061171,0.04341287617664448,0.8508197565876144,0.7134274240041607,0.49320815168992765,0.27595486984232903,0.15753849777121395,0.07000375348669474,0.03642108723544665
SHORT,0,60,407621,45.68527487248184,28.5,43.75469958708405,29.25,1.044122695473098,0.8809727663687592,0.7784412481201901,0.6131430912538853,0.42811091675845947,0.30150311195939367,0.1734086320380942,0.10672168509473261,0.9009496566663641,0.804082714089804,0.6359804818691873,0.4332259623522831,0.29131717943874336,0.15578932390627567,0.09091288230979268
SHORT,0,120,407621,67.99746227456754,41.5,65.31575205496259,44.0,1.04105763365242,0.9134391996486932,0.8365761332217918,0.7091955517502778,0.5564948812745173,0.43745292808761077,0.30004096942993613,0.21255774359024682,0.9322826841600408,0.8649137311375027,0.743958235714058,0.5836254756256425,0.45036197840641184,0.2894551556470349,0.19136894320950099
SHORT,1,5,240988,13.593450711238734,8.0,13.283660389728949,8.25,1.0233211563997313,0.6415755141334838,0.4350922037611831,0.21733862267000847,0.0846432187494813,0.03502249074642721,0.01027437050807509,0.0044649526117483025,0.6527586435839129,0.43737032549338556,0.20775308314106927,0.07473401165203247,0.030146729297724367,0.009639484123690806,0.004477401364383289
SHORT,1,10,240988,19.593152978571545,11.5,18.987716193337427,11.5,1.0318857085849302,0.7275258519096387,0.5446702740385413,0.32708267631583315,0.16377993925008713,0.08519096386542069,0.0320430892824539,0.014349262203927167,0.7419539562135874,0.551168522914004,0.32124421133002473,0.14946802330406495,0.07386259896758345,0.02752419207595399,0.012842963135093864
SHORT,1,20,240988,28.413995717629092,16.5,27.364077256958854,16.75,1.0383684949728476,0.798848905339685,0.6454346274503294,0.44488522250070545,0.26919597656314836,0.1682697893671054,0.08070111374840241,0.04052068982687935,0.8165842282603283,0.6594270254120537,0.44424618653210945,0.25536956196989063,0.1502564443042807,0.0682897073713214,0.034914601556923996
SHORT,1,30,240988,35.370816181718595,20.75,34.07814600727007,21.25,1.037932526440046,0.8332780055438445,0.6997111889388683,0.5132620711404717,0.33772635981874616,0.2287873255099839,0.12469500556044284,0.07018606735605093,0.8535570235862366,0.7194507610337444,0.5201669792686773,0.3303857453483161,0.21233007452653244,0.10804687370325493,0.05903198499510349
SHORT,1,60,240988,51.37230636761624,31.0,49.57086644396954,32.0,1.0363406987384995,0.8801600079672017,0.779267017444852,0.6251182631500324,0.46303965342672665,0.3474363868740352,0.22335966936113003,0.14826464388268296,0.9007087489833518,0.8069613424734842,0.6466712035454047,0.47050475542350656,0.343523328962438,0.20479857918236594,0.12616395837137118
SHORT,1,120,240988,74.23514838131362,45.0,70.5491000842439,46.75,1.0522479846329456,0.9113773299915349,0.8354814347602371,0.7139235148638107,0.5755763772469998,0.4675917473069198,0.3423655949673843,0.2558094178963268,0.9297226417912925,0.8634413331784155,0.7410700947765034,0.592589672514814,0.4786337908941524,0.33482165087058274,0.23178332531080387
SHORT,2,5,177108,14.59819714524471,7.0,14.360054317139824,7.0,1.0165836996744952,0.6078946179732141,0.39446552386114686,0.21097861192041015,0.10748244009305057,0.05955123427513156,0.0241999232106963,0.011066693768773856,0.6104015628881813,0.38742462226438107,0.2022438286243422,0.10194909320866365,0.056073130519231205,0.022432639971091087,0.010327032093411929
SHORT,2,10,177108,20.93132848495799,10.0,20.438218504381606,10.0,1.0241268572635462,0.7023849854326174,0.5045565417711227,0.2978013415543058,0.16965919100210042,0.10737516091876144,0.05467285498114145,0.028587076811888792,0.7099340515391739,0.5020044266775076,0.28820832486392484,0.1623133906994602,0.1008763014657723,0.049444406802628904,0.02581475709736432
SHORT,2,20,177108,30.037924687042988,14.5,29.25277525253951,14.25,1.0268401691027698,0.780286604783522,0.6121744924001175,0.4023703051245568,0.2485602005555932,0.1708505544639429,0.10007453079476929,0.060832938094270164,0.7917315987984732,0.6164769519163449,0.3940872236149694,0.23722248571493101,0.160551753732186,0.09227702870564854,0.056434491948415655
SHORT,2,30,177108,37.094986617427836,18.0,36.121470840673986,17.75,1.0269511665526543,0.8161912505363959,0.6696253133681144,0.46723468166316595,0.30235223705309755,0.21520202362400342,0.13469182645617364,0.08776565711317388,0.8317749621699754,0.6787327506380287,0.4635533121033494,0.29182193915576937,0.2027237617724778,0.1246809856132981,0.08128938274950877
SHORT,2,60,177108,53.192809304111634,26.0,51.88070706956625,26.25,1.0252907546688985,0.8675949138378842,0.7533425932199562,0.5789574722768028,0.4101169907626985,0.30816789755403484,0.20821193847821667,0.14683695824016985,0.8828116177699483,0.7716873320233981,0.591000971158841,0.40541364591096957,0.2947862321295481,0.1942599995482982,0.13693339657158343
SHORT,2,120,177108,77.45935452902643,40.0,76.25327253218884,42.0,1.0158167899787967,0.9062097703096416,0.8222609932922285,0.6859882105833729,0.5385414549314542,0.43398943017819636,0.3152426767847867,0.23804684147525804,0.9242721954965332,0.85063915802787,0.7194931905955688,0.5592181042076021,0.4438534679404657,0.3112112383404476,0.22953790907243038
