candidate,event_id,window,timestamp,side,zscore,tp,sl,rr,horizon,first_tp_bar,first_sl_bar,tp_hit,sl_hit,outcome,resolution,terminal_favorable,terminal_adverse
C1,78619,3,2020-01-22 11:15:00-05:00,LONG,-2.124396,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.25,0.0
C1,78685,3,2020-01-22 12:21:00-05:00,LONG,-2.436311,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.75,0.0
C1,78866,3,2020-01-22 15:22:00-05:00,LONG,-2.007442,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.5,7.25
C1,78867,3,2020-01-22 15:23:00-05:00,LONG,-2.201863,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.0,0.0
C1,78930,3,2020-01-22 16:41:00-05:00,LONG,-3.7113411,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.0,0.0
C1,78931,3,2020-01-22 16:42:00-05:00,LONG,-2.8710053,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.5,0.0
C1,78932,3,2020-01-22 16:43:00-05:00,LONG,-2.1427393,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.25,0.0
C1,80089,3,2020-01-27 14:00:00-05:00,LONG,-2.1011047,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,4.25
C1,80090,3,2020-01-27 14:01:00-05:00,LONG,-2.4255943,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,2.25,0.0
C1,80091,3,2020-01-27 14:02:00-05:00,LONG,-2.111306,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.75,1.25
C1,81022,3,2020-01-29 15:03:00-05:00,LONG,-3.556665,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,8.5,0.0
C1,81023,3,2020-01-29 15:04:00-05:00,LONG,-2.7802315,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.25,0.0
C1,81125,3,2020-01-30 09:31:00-05:00,LONG,-2.7971556,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,28.25,0.0
C1,82810,3,2020-02-04 15:51:00-05:00,LONG,-2.200676,50.0,12.5,4.0,3,,3.0,False,True,LOSS,SL_ONLY,0.0,13.25
C1,82811,3,2020-02-04 15:52:00-05:00,LONG,-2.600394,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,10.5
C1,82812,3,2020-02-04 15:53:00-05:00,LONG,-3.0636883,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.25,1.5
C1,82813,3,2020-02-04 15:54:00-05:00,LONG,-2.4071217,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,2.0,2.75
C1,82993,3,2020-02-05 11:39:00-05:00,LONG,-2.3512414,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,4.25
C1,83978,3,2020-02-07 13:34:00-05:00,LONG,-3.3365433,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.0,0.0
C1,84323,3,2020-02-10 12:04:00-05:00,LONG,-2.3534806,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.0,1.25
C1,84324,3,2020-02-10 12:05:00-05:00,LONG,-2.5824792,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,5.75,0.0
C1,84325,3,2020-02-10 12:06:00-05:00,LONG,-2.1268694,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.5,0.0
C1,84727,3,2020-02-11 11:33:00-05:00,LONG,-3.2301686,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,1.0,6.25
C1,84728,3,2020-02-11 11:34:00-05:00,LONG,-2.6865506,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,10.25
C1,84729,3,2020-02-11 11:35:00-05:00,LONG,-2.1966362,50.0,12.5,4.0,3,,3.0,False,True,LOSS,SL_ONLY,0.0,20.25
C1,84730,3,2020-02-11 11:36:00-05:00,LONG,-2.5884738,50.0,12.5,4.0,3,,2.0,False,True,LOSS,SL_ONLY,0.0,15.75
C1,84866,3,2020-02-11 13:52:00-05:00,LONG,-3.0436525,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,0.0,10.75
C1,84867,3,2020-02-11 13:53:00-05:00,LONG,-3.04327,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.0,2.25
C1,84868,3,2020-02-11 13:54:00-05:00,LONG,-3.0583184,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,8.5,0.0
C1,84869,3,2020-02-11 13:55:00-05:00,LONG,-2.1682434,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,4.5,0.0
C1,86128,3,2020-02-14 13:09:00-05:00,LONG,-2.2075026,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,10.75,0.0
C1,86195,3,2020-02-14 14:16:00-05:00,LONG,-3.081973,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,2.0,0.75
C1,86196,3,2020-02-14 14:17:00-05:00,LONG,-2.3608785,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.75,0.5
C1,86197,3,2020-02-14 14:18:00-05:00,LONG,-2.3548787,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,6.75,0.0
C1,86611,3,2020-02-18 10:27:00-05:00,LONG,-2.3649964,50.0,12.5,4.0,3,,2.0,False,True,LOSS,SL_ONLY,0.0,17.75
C1,86612,3,2020-02-18 10:28:00-05:00,LONG,-2.1252189,50.0,12.5,4.0,3,,1.0,False,True,LOSS,SL_ONLY,0.0,10.5
C1,87476,3,2020-02-20 10:22:00-05:00,LONG,-2.893376,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,2.75,2.25
C1,87477,3,2020-02-20 10:23:00-05:00,LONG,-2.2446737,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,3.5,0.25
C1,87478,3,2020-02-20 10:24:00-05:00,LONG,-2.3874931,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,7.75,0.0
C1,104325,3,2020-04-15 16:46:00-04:00,LONG,-2.2097995,50.0,12.5,4.0,3,,,False,False,UNRESOLVED,NEITHER,2.75,0.0
