target_points,horizon_bars,window,probability_decile,observations,mean_probability,realized_probability,mean_future_mfe
1.0,5,8,4,130,0.9455725,0.9230769230769231,10.419230769230769
1.0,5,8,5,131,0.9516589,0.9465648854961832,11.442748091603054
1.0,5,8,6,130,0.9565684,0.9384615384615385,11.7
1.0,5,8,7,131,0.96229285,0.9312977099236641,12.465648854961833
1.0,5,8,8,130,0.96865225,0.9461538461538461,15.15576923076923
1.0,5,8,9,131,0.9787324,0.9694656488549618,18.986641221374047
1.0,5,9,0,101,0.8663077,0.8712871287128713,7.603960396039604
1.0,5,9,1,101,0.9147724,0.8811881188118812,10.556930693069306
1.0,5,9,2,101,0.92752564,0.9108910891089109,11.504950495049505
1.0,5,9,3,100,0.9354314,0.89,8.7875
1.0,5,9,4,101,0.9425919,0.9405940594059405,10.475247524752476
1.0,5,9,5,101,0.94789314,0.9504950495049505,12.037128712871286
1.0,5,9,6,100,0.9530493,0.93,12.605
1.0,5,9,7,101,0.95773196,0.9504950495049505,12.034653465346535
1.0,5,9,8,101,0.9643456,0.9603960396039604,12.403465346534654
1.0,5,9,9,101,0.974176,1.0,15.215346534653465
1.0,5,10,0,90,0.8511055,0.9111111111111111,8.091666666666667
1.0,5,10,1,90,0.9101695,0.9444444444444444,13.019444444444444
1.0,5,10,2,89,0.9225472,0.9325842696629213,10.926966292134832
1.0,5,10,3,90,0.931788,0.9444444444444444,12.955555555555556
1.0,5,10,4,90,0.93871623,0.9888888888888889,14.847222222222221
1.0,5,10,5,89,0.9450193,0.9325842696629213,10.924157303370787
1.0,5,10,6,90,0.9504463,0.9444444444444444,13.325
1.0,5,10,7,89,0.95696527,0.9438202247191011,11.424157303370787
1.0,5,10,8,90,0.96396816,0.9666666666666667,13.269444444444444
1.0,5,10,9,90,0.9740109,0.9444444444444444,13.222222222222221
1.0,5,11,0,109,0.8080011,0.8623853211009175,8.607798165137615
1.0,5,11,1,108,0.89895856,0.9166666666666666,9.0
1.0,5,11,2,109,0.91869086,0.9357798165137615,9.759174311926605
1.0,5,11,3,108,0.92986256,0.9537037037037037,11.543981481481481
1.0,5,11,4,109,0.937872,0.8990825688073395,11.059633027522937
1.0,5,11,5,108,0.94397473,0.9814814814814815,11.125
1.0,5,11,6,108,0.95055544,0.9444444444444444,10.983796296296296
1.0,5,11,7,109,0.9574021,0.944954128440367,12.5848623853211
1.0,5,11,8,108,0.96515316,0.9074074074074074,13.909722222222221
1.0,5,11,9,109,0.97568375,0.9541284403669725,15.291284403669724
1.0,5,12,0,121,0.85684973,0.8842975206611571,11.892561983471074
1.0,5,12,1,121,0.9060935,0.9421487603305785,8.50206611570248
1.0,5,12,2,121,0.91951644,0.9338842975206612,11.25413223140496
1.0,5,12,3,120,0.93000466,0.9333333333333333,10.84375
1.0,5,12,4,121,0.9385417,0.9504132231404959,11.34297520661157
1.0,5,12,5,121,0.9458037,0.9338842975206612,10.96900826446281
1.0,5,12,6,120,0.9533468,0.9916666666666667,12.24375
1.0,5,12,7,121,0.96063244,0.9256198347107438,16.24380165289256
1.0,5,12,8,121,0.9678065,0.9669421487603306,17.671487603305785
1.0,5,12,9,121,0.97778684,0.9834710743801653,23.16322314049587
1.0,5,13,0,129,0.8353139,0.8837209302325582,7.89922480620155
1.0,5,13,1,129,0.9141983,0.9457364341085271,9.125968992248062
1.0,5,13,2,128,0.93393546,0.9375,10.482421875
