tp,sl,rr,horizon,observations,wins,losses,ambiguous,unresolved,resolved,win_rate_resolved,resolved_rate,ambiguous_rate,expectancy_resolved_r,expectancy_all_r,score,side,hmm_state,vol_bucket,zscore
5.0,2.0833333333333335,2.4,94,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,95,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,96,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,97,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,98,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,99,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,100,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,101,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,102,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,103,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,104,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,105,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,106,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,107,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,108,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,109,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,110,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,111,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,112,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,113,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,114,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,115,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
5.0,2.0833333333333335,2.4,116,372,186,186,0,0,372,0.5,1.0,0.0,0.7,0.7,0.36227282536784344,LONG,1,20-40,3.0
