side,zscore_threshold,stop_points,target_points,horizon_bars,window,trades,wins,losses,timeouts,win_rate,total_points,mean_result_points,profit_factor,mean_mfe,median_mfe,mean_mae,median_mae,mean_holding_bars
LONG,1.5,5.0,15.0,10,11,5317,1269,3779,269,0.23866842204250518,1211.25,0.22780703008174896,1.0638760711931443,18.622907638549805,13.75,20.01335334777832,13.75,2.642279480910288
LONG,1.5,5.0,15.0,10,12,4878,1034,3457,387,0.2119721197211972,-254.0,-0.05207052081823349,0.9853899138637638,16.566011428833008,12.0,17.207975387573242,11.5,3.155391553915539
LONG,1.5,5.0,15.0,10,13,5103,1067,3577,459,0.20909269057417207,-293.25,-0.05746619775891304,0.9837572870653725,15.427444458007812,11.5,15.71644115447998,11.5,3.2038016852831666
LONG,1.5,5.0,15.0,10,14,5048,1122,3419,507,0.2222662440570523,1636.0,0.3240887522697449,1.0946649693322532,15.675267219543457,11.25,16.325326919555664,10.5,3.409270998415214
LONG,1.5,5.0,15.0,10,15,4933,1052,3575,306,0.21325765254409082,-854.0,-0.17311979830265045,0.9524068268895856,17.319988250732422,13.0,19.30316162109375,12.75,2.7942428542469084
LONG,1.5,5.0,15.0,10,16,5114,1145,3663,306,0.22389518967540087,98.25,0.019211966544389725,1.005343957792252,22.545072555541992,15.0,23.43243980407715,15.0,2.5113414157215486
LONG,1.5,5.0,15.0,10,17,5131,1159,3784,188,0.22588189436756967,-802.25,-0.15635353326797485,0.9576983917743211,22.76471519470215,16.0,22.623075485229492,14.5,2.3638666926525045
LONG,1.5,5.0,15.0,10,18,5490,1092,4275,123,0.1989071038251366,-4472.5,-0.8146630525588989,0.7908776359470706,34.03943634033203,21.75,35.419673919677734,23.75,1.7185792349726776
LONG,1.5,5.0,15.0,10,19,5091,1086,3758,247,0.2133176193282263,-1160.5,-0.2279512882232666,0.9383581653520304,21.837753295898438,15.25,23.548860549926758,14.5,2.4967589864466704
LONG,1.5,5.0,15.0,10,20,4945,1124,3565,256,0.22730030333670373,105.5,0.021334681659936905,1.00589508975344,28.60394287109375,18.5,28.523862838745117,16.25,2.3925176946410516
LONG,1.5,5.0,15.0,10,21,5433,1226,4095,112,0.22565801582919198,-1579.5,-0.29072335362434387,0.9229559173221145,30.8399600982666,20.0,30.235551834106445,20.0,1.868212773789803
LONG,1.5,5.0,15.0,10,22,5382,1115,4217,50,0.20717205499814195,-4089.0,-0.7597547173500061,0.8062613268895917,38.880062103271484,25.0,38.30537033081055,23.75,1.595503530286139
LONG,1.5,5.0,20.0,10,1,5266,244,2836,2186,0.04633497911127991,-221.25,-0.04201481118798256,0.9851280500100826,7.957842826843262,5.5,8.342906951904297,5.5,6.389099886061527
LONG,1.5,5.0,20.0,10,2,4922,121,2119,2682,0.024583502641202765,397.25,0.0807090625166893,1.0343404218533887,6.017929553985596,4.25,6.495378017425537,4.0,7.2338480292564
LONG,1.5,5.0,20.0,10,3,5211,647,3643,921,0.12416042985991173,206.0,0.03953175991773605,1.0112085968849895,18.674821853637695,11.0,20.664363861083984,12.25,3.814239109575897
LONG,1.5,5.0,20.0,10,4,5002,765,3628,609,0.15293882447021193,2062.0,0.4122351109981537,1.1132593650444909,17.667133331298828,13.0,18.734155654907227,12.75,3.407636945221911
LONG,1.5,5.0,20.0,10,5,5313,855,3953,505,0.16092603049124787,945.75,0.17800678312778473,1.047677261613692,17.65062141418457,12.5,17.573545455932617,12.5,3.302653867871259
LONG,1.5,5.0,20.0,10,6,5490,845,4103,542,0.15391621129326047,247.0,0.044990893453359604,1.0120064650196259,19.24171257019043,13.25,19.137203216552734,13.125,3.2111111111111112
LONG,1.5,5.0,20.0,10,7,4930,503,3079,1348,0.10202839756592293,1780.25,0.36110547184944153,1.113538162279373,11.989198684692383,8.25,11.137170791625977,7.25,5.045638945233265
LONG,1.5,5.0,20.0,10,8,5121,838,3669,614,0.16363991407928138,2214.25,0.43238624930381775,1.1200249346143942,18.850566864013672,13.5,19.648212432861328,12.75,3.3567662565905096
LONG,1.5,5.0,20.0,10,9,5751,933,4684,134,0.16223265519040167,-3982.0,-0.6924013495445251,0.83012851277129,27.179750442504883,18.5,27.784168243408203,21.5,1.9949573987132672
LONG,1.5,5.0,20.0,10,10,5231,889,4005,337,0.16994838463008985,52.75,0.010084114037454128,1.002628988649248,20.917415618896484,14.5,20.87349510192871,14.75,2.7539667367616136
