side,hmm_state,zscore,volatility_regime,observations,sl_points,tp_points,horizon,wins,losses,timeouts,win_rate,loss_rate,timeout_rate,expectancy_R,profit_factor,median_win_time,median_loss_time,mean_mfe,median_mfe,mean_mae,median_mae,mfe_mae_ratio,window_count
LONG,0,1.5,<20,48077,7.5,35.0,10,3540,44537,12627,0.0736318821889885,0.9263681178110115,0.2626411797741124,-0.5827526675957317,0.37092754339088846,5.0,2.0,12.180668510930383,7.5,9.962185660502943,8.75,1.2226903739831967,22
LONG,0,1.5,<20,48077,7.5,35.0,20,5598,42479,6976,0.11643821369885808,0.8835617863011419,0.14510056783909145,-0.3401834557064708,0.6149862284893712,7.0,2.0,13.795952326476277,7.75,10.883816585893463,9.25,1.2675656758454785,22
LONG,0,1.5,<20,48077,7.5,35.0,30,6650,41427,4666,0.1383197786883541,0.8616802213116459,0.09705264471576845,-0.21618792076599336,0.7491088742446553,9.0,2.0,14.534382344988249,8.0,11.264955176071718,9.25,1.2902299314835477,22
LONG,0,1.5,<20,48077,7.5,35.0,60,7877,40200,1971,0.16384133785385943,0.8361586621461405,0.04099673440522495,-0.0715657521614631,0.9144112769485905,11.0,2.0,15.400222559643904,8.25,12.075171079726273,9.5,1.2753626808236498,22
LONG,0,1.5,<20,48077,7.5,35.0,120,8425,39652,803,0.1752397196164486,0.8247602803835514,0.016702373276202758,-0.006974922173457854,0.9915430915632673,12.0,2.0,15.800913118539011,8.25,12.329923872121805,9.5,1.2815093817622978,22
LONG,0,1.5,<20,48077,7.5,50.0,10,1504,46573,14414,0.03128314994696008,0.9687168500530399,0.2998107203028475,-0.760162517073306,0.21528925915587718,5.0,3.0,12.631980988830417,7.5,10.028121555005512,8.75,1.2596557510339705,22
LONG,0,1.5,<20,48077,7.5,50.0,20,2888,45189,9133,0.06007030388751378,0.9399296961124862,0.1899660960542463,-0.539461003529061,0.42606238981463046,9.0,2.0,14.693086091062254,7.75,11.027856355429831,9.25,1.3323610335047353,22
LONG,0,1.5,<20,48077,7.5,50.0,30,3858,44219,6606,0.08024627160596542,0.9197537283940346,0.13740458015267176,-0.38477858435426504,0.5816504217644,12.0,2.0,15.752631195790087,8.0,11.48038563138299,9.5,1.3721343255864515,22
LONG,0,1.5,<20,48077,7.5,50.0,60,5323,42754,3198,0.11071822285084344,0.8892817771491566,0.06651829357073029,-0.15116029147686694,0.8300198032152938,18.0,2.0,17.09450984878424,8.25,12.44535848742642,9.75,1.3735650817977538,22
LONG,0,1.5,<20,48077,7.5,50.0,120,6246,41831,1239,0.12991659213345258,0.8700834078665474,0.025771158766145975,-0.003972793643530093,0.9954340082713777,22.0,2.0,17.803856313829897,8.25,12.831437069700689,9.75,1.3875184998468137,22
LONG,0,1.5,<20,48077,7.5,75.0,10,483,47594,15386,0.010046383925785718,0.9899536160742143,0.32002828795473925,-0.8894897768163571,0.10148338025801572,5.0,3.0,12.861321421885725,7.5,10.04346153046155,8.75,1.2805666037429106,22
LONG,0,1.5,<20,48077,7.5,75.0,20,1124,46953,10703,0.02337916259333985,0.9766208374066602,0.2226220438047299,-0.7428292114732616,0.23938832449470748,11.0,3.0,15.293742330012272,7.75,11.083236266821974,9.25,1.3798986110035913,22
LONG,0,1.5,<20,48077,7.5,75.0,30,1640,46437,8474,0.03411194542088733,0.9658880545791126,0.17625891798573123,-0.6247686003702393,0.35316665589939056,14.0,3.0,16.64854816232294,8.0,11.569451088878258,9.5,1.4390093388550844,22
LONG,0,1.5,<20,48077,7.5,75.0,60,2770,45307,5049,0.0576159078145475,0.9423840921854525,0.10501903196954884,-0.36622501403997754,0.6113845542631381,25.0,2.0,18.622995403207355,8.25,12.631648189362897,9.75,1.4743123877444408,22
LONG,0,1.5,<20,48077,7.5,75.0,120,3966,44111,2323,0.08249266801173118,0.9175073319882688,0.048318322690683695,-0.0925806518709571,0.8990954637165333,37.0,2.0,20.029203153274956,8.25,13.333563866297814,10.0,1.502164264117051,22
LONG,0,1.5,<20,48077,7.5,100.0,10,253,47824,15606,0.005262391580173472,0.9947376084198265,0.324604280633151,-0.9245723873508469,0.07053641128582581,5.0,3.0,12.926108118227011,7.5,10.047553923913721,8.75,1.286493032643714,22
