condition,condition_value,horizon_bars,mean_window_return,median_window_return,min_window_return,max_window_return,positive_window_ratio
zscore_30,1.5:2.0,5,1.1248439208523835e-06,2.935784401589222e-06,-9.147053407526678e-05,5.4146659500456185e-05,0.5
zscore_30,1.5:2.0,10,1.3325058197116687e-05,2.0784626577472056e-05,-0.0001548508582977,8.9650821217548e-05,0.6363636363636364
zscore_30,1.5:2.0,20,1.1348437551034235e-05,2.7768262012806934e-05,-0.0002201846187461,0.0001353676691163,0.6818181818181818
zscore_30,1.5:2.0,30,2.0172916325333553e-05,4.77572553998322e-05,-0.0003557350148813,0.0002238714905491,0.6818181818181818
zscore_30,1.5:2.0,60,8.181065872328281e-05,9.325524176856775e-05,-0.0004896414307864,0.0003789440671053,0.7272727272727273
zscore_30,2.0:2.5,1,-1.7645189672603084e-06,-1.3724463062942694e-06,-5.923434947391037e-05,6.553508583963568e-05,0.5
zscore_30,2.0:2.5,3,-5.5063078292101044e-06,1.5692323870191205e-06,-0.0001566526821524,0.0001226650121178,0.5
zscore_30,2.0:2.5,5,-1.7763269164569023e-05,3.4787498159922595e-06,-0.0002742023593442,0.0001141190670358,0.5454545454545454
zscore_30,2.0:2.5,10,-2.1219593632714896e-05,7.043704008543059e-06,-0.0004003254333125,0.0001543847645138,0.5909090909090909
zscore_30,2.0:2.5,20,1.568575691372663e-05,3.099505227666403e-05,-0.0003514981064354,0.0002330133918555,0.5909090909090909
zscore_30,2.0:2.5,30,1.988269555964795e-05,5.417131294929992e-05,-0.0002827377670972,0.000218609430373,0.5454545454545454
zscore_30,2.0:2.5,60,8.414255831636479e-05,0.000138275300978,-0.0005407870813899,0.000432665985736,0.7727272727272727
zscore_30,<=-2.5,1,6.828878244622936e-06,5.230600798850629e-06,-5.590606203296741e-05,8.893368719144735e-05,0.5909090909090909
zscore_30,<=-2.5,3,2.0781635706894548e-05,1.0688425498541547e-05,-0.0001439890873015,0.0002005243996997,0.5454545454545454
zscore_30,<=-2.5,5,2.8616120803468023e-05,1.4846520074503108e-05,-0.0001552776799119,0.000223760433954,0.5909090909090909
zscore_30,<=-2.5,10,5.3058442621972066e-05,4.421643700638837e-05,-0.0004111735629163,0.0004513348847634,0.7272727272727273
zscore_30,<=-2.5,20,5.628035479073068e-05,7.534415611777382e-05,-0.000368725994734,0.000473858123022,0.5909090909090909
zscore_30,<=-2.5,30,7.49421486159988e-07,-6.761238780837945e-05,-0.0007184462511898,0.0005737582572406,0.4090909090909091
zscore_30,<=-2.5,60,6.574039315550914e-05,9.56097036190701e-05,-0.0009510639833368,0.0009295578529228,0.5454545454545454
zscore_30,>=2.5,1,3.5369419941557364e-06,-3.858688427789231e-06,-9.487850792606572e-05,0.0001624012160402,0.45454545454545453
zscore_30,>=2.5,3,-2.166426560985379e-05,-4.648562531599912e-05,-0.0002442231095596,0.000218114912782,0.22727272727272727
zscore_30,>=2.5,5,-5.730965163527118e-05,-7.152603808864426e-05,-0.0003587203015428,0.0002053350981746,0.3181818181818182
zscore_30,>=2.5,10,-6.788213793529743e-05,-4.165577234529516e-05,-0.0006131989637137,0.0002533026351525,0.4090909090909091
zscore_30,>=2.5,20,-1.1414180214907941e-05,-3.580527090058535e-05,-0.0005882225213638,0.0003611854006004,0.36363636363636365
zscore_30,>=2.5,30,1.2114970057120778e-05,4.789138807262233e-05,-0.0006423585157974,0.0004398230033952,0.6363636363636364
zscore_30,>=2.5,60,7.558128475212616e-05,3.565539239030731e-05,-0.0007383693952409,0.0009789440999329,0.5
zscore_60,-1.0:0,1,3.585186086399628e-06,3.205569626119794e-06,-9.367809070822385e-06,1.6765382010661046e-05,0.7727272727272727
zscore_60,-1.0:0,3,1.347392766750566e-05,1.3906802884331192e-05,-1.376558257508432e-05,6.314121025908503e-05,0.7272727272727273
zscore_60,-1.0:0,5,1.9040441508130678e-05,1.8208887724101587e-05,-3.329113789019921e-05,8.294923208927494e-05,0.6818181818181818
zscore_60,-1.0:0,10,3.9431054981807494e-05,4.292056472215118e-05,-6.223305167573918e-05,0.0001427364784584,0.7727272727272727
zscore_60,-1.0:0,20,6.011710077066575e-05,6.609729953029481e-05,-0.0001441075152506,0.0002682376066999,0.7727272727272727
zscore_60,-1.0:0,30,7.42014963646803e-05,0.00010843802554884625,-0.0001859641747669,0.0003221766677969,0.6818181818181818
zscore_60,-1.0:0,60,0.00014736794960649202,0.000133862543306,-0.0004381333991812,0.0007117551613599,0.7272727272727273
zscore_60,-1.5:-1.0,1,1.3219714719605993e-06,-2.414716501541689e-07,-2.6797900896646465e-05,2.659330683566964e-05,0.5
zscore_60,-1.5:-1.0,3,3.272518625841271e-07,1.2547911766148907e-06,-6.0319081841928745e-05,7.439292900175004e-05,0.5
zscore_60,-1.5:-1.0,5,-1.995745205591044e-06,-1.479393080775345e-05,-9.827166015875188e-05,8.757282739206805e-05,0.45454545454545453
zscore_60,-1.5:-1.0,10,-6.34119689012408e-06,5.347287659219657e-06,-0.0002399994654534,0.000118893977194,0.5909090909090909
