target_points,horizon_bars,feature,gain_normalized
5.0,60,rolling_std_60,0.01030464567953632
5.0,60,rth_progress,0.010296851174817198
5.0,60,variance_60,0.010243752039968967
5.0,60,realized_vol_15,0.010187435762158461
5.0,60,rolling_range_30,0.010185260680459794
5.0,60,ou_residual_30,0.010110550981369756
5.0,60,realized_vol_60,0.010043522564782983
5.0,60,vwap_distance_pct,0.010019291280990555
5.0,60,mean_reversion_speed_120,0.009803729065294777
5.0,60,vol_ratio_15_60,0.009793447463640146
5.0,60,displacement_60,0.009788500056380317
5.0,60,mean_distance_60,0.009658311892833029
5.0,60,ar1_coefficient_120,0.009646110325342133
5.0,60,ou_residual_120,0.009618753301245826
5.0,60,log_return_60,0.009558766769866148
5.0,60,mean_distance_30,0.009515607463462012
5.0,60,ar1_coefficient_60,0.009508562673415457
5.0,60,vol_ratio_30_60,0.009506161812515486
5.0,60,return_60,0.0094348777617727
5.0,60,variance_5,0.009314088239556267
5.0,60,open,0.009295331535949594
5.0,60,mean_reversion_speed_60,0.009243498667187634
5.0,60,log_price,0.009216434921004943
5.0,60,ou_residual_60,0.009156720757129647
5.0,60,atr_5,0.009118006365107638
5.0,60,normalized_vwap_distance,0.009042996092743817
5.0,60,log_zscore_15,0.00903653564108979
5.0,60,rolling_std_15,0.009001650670099826
5.0,60,rolling_range_15,0.008982083937596707
5.0,60,mean_distance_15,0.00884377710255129
5.0,60,normalized_range_30,0.008831021797266744
5.0,60,normalized_range_60,0.008724772238305636
5.0,60,half_life_120,0.008684358382154079
5.0,60,normalized_ou_residual_120,0.008667427957767532
5.0,60,autocorrelation_120,0.00854107668800723
5.0,60,return_15,0.008535969558925856
5.0,60,mean_reversion_speed_30,0.008457403607843887
5.0,60,log_zscore_60,0.008416445105380956
5.0,60,past_return_15,0.008393527740346534
5.0,60,vol_ratio_15_30,0.008295761266102394
5.0,60,displacement_30,0.008286081276656617
5.0,60,abs_zscore_15,0.008241369477694943
5.0,60,normalized_range_15,0.008161126547271297
5.0,60,vol_ratio_5_60,0.008145099173166923
5.0,60,variance_ratio_5_60,0.008132263485874449
5.0,60,rolling_std_30,0.00810950519960551
5.0,60,rolling_range_5,0.0081066693667145
5.0,60,autocorrelation_60,0.008102525247349626
5.0,60,half_life_30,0.00803726182008783
5.0,60,realized_vol_5,0.008036802877627668
5.0,60,log_return_5,0.008035652871642793
5.0,60,true_range,0.007968519082559007
5.0,60,ar1_coefficient_30,0.007964579521545343
5.0,60,return_30,0.007874556129709595
5.0,60,displacement_15,0.007840299335796209
5.0,60,return_10,0.007756457264934268
5.0,60,log_return_15,0.007755344822293236
5.0,60,zscore_60,0.0076971773191222125
5.0,60,mean_distance_5,0.007648631265120847
5.0,60,rolling_std_5,0.007447373255022934
5.0,60,displacement_10,0.007430896628648043
5.0,60,autocorrelation_30,0.007426835086551451
5.0,60,log_return_10,0.007393126464670613
5.0,60,abs_zscore_60,0.007366326437996966
5.0,60,log_return_1,0.007360371129055109
5.0,60,variance_ratio_5_30,0.0073586369731596536
5.0,60,normalized_ou_residual_60,0.007331794072386055
5.0,60,volume,0.007300572957666148
5.0,60,past_return_30,0.007199858426160756
5.0,60,displacement_5,0.0071457936650230775
5.0,60,log_return_30,0.007020282037999658
5.0,60,past_return_10,0.006926671779226689
5.0,60,vol_ratio_5_15,0.006911735538215865
5.0,60,log_zscore_30,0.006905813269051058
5.0,60,zscore_15,0.006899950227567128
5.0,60,return_5,0.006810667414572977
5.0,60,vol_ratio_5_30,0.006788558371010281
5.0,60,log_zscore_5,0.0067487529345921105
5.0,60,normalized_range_5,0.006732472772931769
5.0,60,past_return_3,0.006714800461417153
5.0,60,abs_zscore_30,0.006593110261573678
5.0,60,past_return_5,0.006305049107010875
5.0,60,return_1,0.006300905031994695
5.0,60,zscore_5,0.006097142163309313
5.0,60,abs_zscore_5,0.006085306428195466
5.0,60,zscore_30,0.006056797446771746
5.0,60,displacement_1,0.005904384689139468
5.0,60,short_return,0.0056589865901817875
5.0,60,normalized_ou_residual_30,0.005629182948420445
5.0,60,log_return,0.0052291142665559336
5.0,60,return,0.005128873966722971
5.0,60,long_return,0.004782396130308154
5.0,60,direction_30,0.0017481227294497547
5.0,60,vwap_side,0.001707306176069237
5.0,60,zscore_direction_60,0.0002906155076787053
5.0,60,direction_60,0.00018212272386465753
5.0,60,direction_1,8.408975277450823e-05
5.0,60,direction_15,3.6289300104337076e-05
5.0,60,direction_10,0.0
5.0,60,direction_5,0.0
5.0,60,past_return_1,0.0
5.0,60,zscore_direction_15,0.0
5.0,60,zscore_direction_30,0.0
5.0,60,zscore_direction_5,0.0
5.0,120,atr_30,0.023918270488225278
5.0,120,atr_15,0.02062008445638986
5.0,120,close,0.01512059329875878
5.0,120,rolling_mean_60,0.015067293885208312
5.0,120,rolling_mean_30,0.014631469201828753
5.0,120,atr_60,0.014478082258609078
5.0,120,realized_vol_30,0.014235592358523891
5.0,120,vwap,0.014135978273337796
5.0,120,low,0.013638542432870184
5.0,120,rolling_range_30,0.013481429933259884
5.0,120,minutes_until_rth_close,0.012984971870623883
5.0,120,rolling_mean_15,0.012929760185735566
5.0,120,typical_price,0.012769575341648999
5.0,120,rolling_mean_5,0.012723878646890322
5.0,120,variance_30,0.012079496867954731
5.0,120,variance_60,0.011980383390826839
