context,side,hmm_state,vol_bucket,zscore,tp,sl,rr,horizon,observations,wins,aggregate_wr,mean_window_wr,median_window_wr,std_window_wr,min_window_wr,max_window_wr,mean_window_expectancy,median_window_expectancy,min_window_expectancy,positive_window_ratio,wr_ge_50_window_ratio,windows
A2,LONG,0,20-40,2.5,50.0,12.5,4.0,3,796,402,0.5050251256281407,0.512362994115341,0.5208333333333333,0.10608944516281012,0.34782608695652173,0.6756756756756757,1.5618149705767053,1.6041666666666665,0.7391304347826086,1.0,0.5714285714285714,14
A2,LONG,0,20-40,2.5,45.0,10.0,4.5,4,796,373,0.4685929648241206,0.47706808286738717,0.4649321266968326,0.11842288594147393,0.2608695652173913,0.6666666666666666,1.6238744557706293,1.5571266968325794,0.4347826086956521,1.0,0.5,14
A2,LONG,0,20-40,2.5,50.0,12.5,4.0,4,796,399,0.5012562814070352,0.5103241060910464,0.4849397590361446,0.11316052666036101,0.30434782608695654,0.7297297297297297,1.5516205304552315,1.4246987951807228,0.5217391304347827,1.0,0.5,14
D1,LONG,1,20-40,2.5,50.0,10.0,5.0,3,751,326,0.4340878828229028,0.4322424975869043,0.42895522388059704,0.08396372593355263,0.25,0.5952380952380952,1.5934549855214262,1.573731343283582,0.5,1.0,0.14285714285714285,14
D1,LONG,1,20-40,2.5,50.0,10.0,5.0,4,751,315,0.4194407456724368,0.42162000033925456,0.41000000000000003,0.0752275219250451,0.3218390804597701,0.5952380952380952,1.529720002035527,1.46,0.9310344827586208,1.0,0.14285714285714285,14
D1,LONG,1,20-40,2.5,47.5,10.0,4.75,3,751,326,0.4340878828229028,0.4322424975869043,0.42895522388059704,0.08396372593355263,0.25,0.5952380952380952,1.4853943611247,1.4664925373134328,0.4375,1.0,0.14285714285714285,14
D1,LONG,1,20-40,2.5,50.0,10.0,5.0,5,751,309,0.41145139813581894,0.41454019236507433,0.4,0.07573346526820038,0.2988505747126437,0.5952380952380952,1.4872411541904462,1.4,0.7931034482758623,1.0,0.21428571428571427,14
D1,LONG,1,20-40,2.5,47.5,10.0,4.75,4,751,315,0.4194407456724368,0.42162000033925456,0.41000000000000003,0.0752275219250451,0.3218390804597701,0.5952380952380952,1.4243150019507134,1.3575,0.8505747126436782,1.0,0.14285714285714285,14
D1,LONG,1,20-40,2.5,50.0,10.0,5.0,6,751,300,0.3994673768308921,0.40482081285962995,0.4,0.08514724911209053,0.29508196721311475,0.5952380952380952,1.42892487715778,1.4,0.7704918032786884,1.0,0.14285714285714285,14
D1,LONG,1,20-40,2.5,45.0,10.0,4.5,3,751,326,0.4340878828229028,0.4322424975869043,0.42895522388059704,0.08396372593355263,0.25,0.5952380952380952,1.377333736727974,1.3592537313432835,0.375,1.0,0.14285714285714285,14
D1,LONG,1,20-40,2.5,50.0,12.5,4.0,3,751,350,0.46604527296937415,0.4639346935278704,0.4633333333333334,0.07090610767924378,0.35,0.6190476190476191,1.3196734676393527,1.3166666666666669,0.7499999999999999,1.0,0.2857142857142857,14
D1,LONG,1,20-40,2.5,47.5,10.0,4.75,5,751,309,0.41145139813581894,0.41454019236507433,0.4,0.07573346526820038,0.2988505747126437,0.5952380952380952,1.3836061060991778,1.3000000000000003,0.7183908045977014,1.0,0.21428571428571427,14
D1,LONG,1,20-40,2.5,45.0,10.0,4.5,4,751,315,0.4194407456724368,0.42162000033925456,0.41000000000000003,0.0752275219250451,0.3218390804597701,0.5952380952380952,1.3189100018658997,1.255,0.7701149425287357,1.0,0.14285714285714285,14
