target_points,horizon_bars,window,observations,baseline_probability,mean_model_probability,realized_probability,probability_lift_vs_baseline,top_decile_realized_probability,top_decile_lift_vs_baseline,mean_future_mfe
2.0,20,1,1239,0.9234600262123198,0.93841773,0.9394673123486683,0.016007286136348498,0.9758064516129032,0.05234642540058343,21.51452784503632
2.0,20,2,990,0.9224049331963001,0.93602264,0.9353535353535354,0.012948602157235256,0.9595959595959596,0.03719102639965943,18.06338383838384
2.0,20,3,1468,0.9561971129915381,0.96347445,0.9611716621253406,0.004974549133802464,0.9591836734693877,0.00298656047784962,32.86733651226158
2.0,20,4,1739,0.9511627906976744,0.9682986,0.9511213341000575,-4.1456597616895685e-05,0.9655172413793104,0.014354450681635988,34.646492236917766
2.0,20,5,1352,0.9459526774595268,0.96230537,0.9534023668639053,0.007449689404378512,0.9926470588235294,0.04669438136400261,37.612426035502956
2.0,20,6,1369,0.9475034997666822,0.9597013,0.9495982468955442,0.002094747128861929,0.948905109489051,0.0014016097223688018,28.60682980277575
2.0,20,7,1207,0.9305941143808995,0.94711655,0.9295774647887324,-0.0010166495921670737,0.9669421487603306,0.03634803437943113,23.568558409279206
2.0,20,8,1306,0.9284595300261097,0.94309485,0.9395099540581929,0.011050424032083228,0.9236641221374046,-0.004795407888705139,22.561638591117916
2.0,20,9,1008,0.9274679235401938,0.93982065,0.9325396825396826,0.005071758999488751,0.9801980198019802,0.052730096261786374,23.90203373015873
2.0,20,10,897,0.9408734052993131,0.93490404,0.9409141583054627,4.0753006149585325e-05,0.9888888888888889,0.04801548358957586,23.26923076923077
2.0,20,11,1085,0.9181922196796338,0.9254857,0.919815668202765,0.0016234485231311213,0.944954128440367,0.026761908760733144,21.892857142857142
2.0,20,12,1208,0.9434554973821989,0.92942566,0.9321192052980133,-0.011336292084185629,0.9338842975206612,-0.00957119986153776,25.270902317880793
2.0,20,13,1287,0.9484668899768101,0.93523407,0.9564879564879565,0.008021066511146424,0.9922480620155039,0.043781172038693805,26.74184149184149
2.0,20,14,1246,0.9628992628992629,0.95286363,0.963884430176565,0.0009851672773021347,0.992,0.02910073710073713,41.40830658105939
2.0,20,15,1000,0.9651915812196438,0.9543052,0.976,0.01080841878035621,0.98,0.014808418780356214,33.011
2.0,20,16,1131,0.9668428640076886,0.9724001,0.9708222811671088,0.003979417159420184,1.0,0.033157135992311404,52.547524314765695
2.0,20,17,998,0.9546386468477703,0.958589,0.9519038076152304,-0.0027348392325399207,0.98,0.02536135315222965,35.29634268537074
2.0,20,18,891,0.9632314862765406,0.95992655,0.9663299663299664,0.003098480053425723,0.9662921348314607,0.0030606485549200535,38.907407407407405
2.0,20,19,1090,0.9605556933763334,0.9698932,0.9678899082568807,0.007334214880547307,0.981651376146789,0.021095682770455593,42.98922018348624
2.0,20,20,1058,0.9689228338161706,0.9721274,0.9763705103969754,0.007447676580804807,0.9811320754716981,0.012209241655527503,51.69872400756144
2.0,20,21,1144,0.9826044938390915,0.9800476,0.986013986013986,0.0034094921748945017,0.991304347826087,0.008699853986995465,57.60926573426573
2.0,20,22,235,0.9681467181467182,0.97378266,0.9617021276595744,-0.006444590487143742,1.0,0.031853281853281845,38.793617021276596
2.0,30,1,1239,0.9357798165137615,0.947387,0.9475383373688459,0.011758520855084331,0.967741935483871,0.03196211897010948,25.29862792574657
2.0,30,2,990,0.9383350462487153,0.9478305,0.9535353535353536,0.015200307286638237,0.9696969696969697,0.03136192344825439,22.175757575757576
