side,window,hmm_state,zscore_threshold,observations,mean_mfe_30,median_mfe_30,mean_mae_30,median_mae_30,mfe_ge_20,mfe_ge_50,mfe_ge_100,mae_ge_10,mae_ge_20,mae_ge_35
LONG,15,0,2.5,629,33.81717011128776,27.5,36.74244833068362,25.0,0.6232114467408585,0.21144674085850557,0.034976152623211444,0.7758346581875993,0.5914149443561209,0.37201907790143085
LONG,16,0,2.5,160,35.3484375,27.25,43.33125,34.375,0.6,0.2375,0.025,0.84375,0.71875,0.4875
LONG,17,0,2.5,155,40.93064516129032,32.5,35.733870967741936,24.5,0.632258064516129,0.3096774193548387,0.05161290322580645,0.7677419354838709,0.5741935483870968,0.41935483870967744
LONG,18,0,2.5,156,50.76282051282051,38.375,52.57211538461539,33.0,0.7243589743589743,0.4230769230769231,0.1282051282051282,0.8269230769230769,0.6089743589743589,0.46794871794871795
LONG,19,0,2.5,133,38.86654135338346,32.5,46.14473684210526,26.5,0.6616541353383458,0.3157894736842105,0.06766917293233082,0.7969924812030075,0.6090225563909775,0.42105263157894735
LONG,20,0,2.5,221,29.968325791855204,22.75,26.290723981900452,17.0,0.5927601809954751,0.13122171945701358,0.027149321266968326,0.6561085972850679,0.4434389140271493,0.2398190045248869
LONG,21,0,2.5,159,61.611635220125784,43.75,41.272012578616355,26.25,0.8427672955974843,0.4716981132075472,0.11320754716981132,0.7735849056603774,0.5974842767295597,0.41509433962264153
LONG,22,0,2.5,119,55.686974789915965,39.75,56.2563025210084,43.0,0.7563025210084033,0.3865546218487395,0.1092436974789916,0.8319327731092437,0.7310924369747899,0.5966386554621849
LONG,1,0,3.0,9,12.5,13.75,50.388888888888886,39.75,0.2222222222222222,0.0,0.0,0.8888888888888888,0.8888888888888888,0.7777777777777778
LONG,2,0,3.0,89,10.617977528089888,8.0,9.9438202247191,5.0,0.10112359550561797,0.02247191011235955,0.0,0.2696629213483146,0.1348314606741573,0.06741573033707865
LONG,3,0,3.0,162,43.375,25.25,44.958333333333336,27.375,0.5740740740740741,0.29012345679012347,0.08641975308641975,0.7654320987654321,0.6172839506172839,0.43209876543209874
LONG,4,0,3.0,36,27.84027777777778,21.375,29.75,17.5,0.5277777777777778,0.2222222222222222,0.0,0.6111111111111112,0.4722222222222222,0.2777777777777778
LONG,5,0,3.0,18,42.041666666666664,34.625,32.65277777777778,24.75,0.6666666666666666,0.2777777777777778,0.1111111111111111,0.8333333333333334,0.5555555555555556,0.4444444444444444
LONG,6,0,3.0,28,54.982142857142854,41.375,38.455357142857146,21.125,0.8214285714285714,0.35714285714285715,0.17857142857142858,0.6785714285714286,0.5357142857142857,0.35714285714285715
LONG,7,0,3.0,16,28.046875,27.75,28.828125,22.25,0.5625,0.25,0.0,0.8125,0.625,0.1875
LONG,8,0,3.0,24,45.572916666666664,35.75,32.916666666666664,19.375,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.7083333333333334,0.4583333333333333,0.375
LONG,9,0,3.0,20,50.7625,51.75,48.1875,34.625,0.85,0.55,0.0,0.7,0.65,0.5
LONG,10,0,3.0,174,54.4669540229885,42.625,54.229885057471265,40.25,0.7126436781609196,0.4367816091954023,0.16091954022988506,0.8333333333333334,0.7068965517241379,0.5517241379310345
LONG,11,0,3.0,32,31.1796875,18.875,46.0078125,38.125,0.5,0.25,0.0625,0.75,0.625,0.5625
LONG,12,0,3.0,26,39.47115384615385,34.0,31.35576923076923,17.125,0.6153846153846154,0.3076923076923077,0.11538461538461539,0.8846153846153846,0.4230769230769231,0.34615384615384615
LONG,13,0,3.0,24,44.75,41.25,28.46875,24.25,0.8333333333333334,0.4166666666666667,0.041666666666666664,0.8333333333333334,0.625,0.2916666666666667
LONG,14,0,3.0,169,35.437869822485204,27.0,39.687869822485204,27.75,0.6094674556213018,0.24260355029585798,0.029585798816568046,0.8106508875739645,0.6449704142011834,0.39644970414201186
LONG,15,0,3.0,239,34.52510460251046,26.5,42.43514644351465,29.5,0.6150627615062761,0.2175732217573222,0.04602510460251046,0.8200836820083682,0.6443514644351465,0.4476987447698745
LONG,16,0,3.0,18,41.80555555555556,34.75,61.486111111111114,45.375,0.6666666666666666,0.3333333333333333,0.05555555555555555,0.8333333333333334,0.7222222222222222,0.5
LONG,17,0,3.0,25,64.63,42.5,39.87,26.5,0.76,0.48,0.12,0.76,0.68,0.4
LONG,18,0,3.0,36,68.3125,51.75,68.80555555555556,49.375,0.8611111111111112,0.5277777777777778,0.2222222222222222,0.9166666666666666,0.6666666666666666,0.6111111111111112
LONG,19,0,3.0,18,55.65277777777778,54.0,38.94444444444444,31.0,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.8333333333333334,0.6666666666666666,0.5
