window,hmm_state,side,observations,mean_mfe_30,median_mfe_30,mean_mae_30,median_mae_30,prob_mfe_ge_20,prob_mae_ge_20
15,1,SHORT,5407,41.790318106158686,28.25,41.79554281486961,27.25,0.595524320325504,0.5873867209173294
15,2,LONG,9532,19.382605958875367,14.5,22.019775493075954,16.0,0.35889634913973983,0.403797733948804
15,2,SHORT,9532,22.019775493075954,16.0,19.382605958875367,14.5,0.403797733948804,0.35889634913973983
16,0,LONG,20679,28.845688863097827,21.0,31.052468688041007,20.25,0.5226558344213937,0.5068426906523527
16,0,SHORT,20679,31.052468688041007,20.25,28.845688863097827,21.0,0.5068426906523527,0.5226558344213937
16,1,LONG,9594,54.026110068792995,36.5,55.38750781738587,35.25,0.6908484469460079,0.6580154263081093
16,1,SHORT,9594,55.38750781738587,35.25,54.026110068792995,36.5,0.6580154263081093,0.6908484469460079
16,2,LONG,7261,20.61437818482303,15.25,21.886413717118852,14.5,0.3795620437956204,0.37666988018179315
16,2,SHORT,7261,21.886413717118852,14.5,20.61437818482303,15.25,0.37666988018179315,0.3795620437956204
17,0,LONG,23213,31.449231034334208,22.0,31.558684788695988,23.0,0.5420669452461983,0.5548184207125317
17,0,SHORT,23213,31.558684788695988,23.0,31.449231034334208,22.0,0.5548184207125317,0.5420669452461983
17,1,LONG,7835,49.259955328653476,36.0,54.66490108487556,36.5,0.6828334396936822,0.6801531589023612
17,1,SHORT,7835,54.66490108487556,36.5,49.259955328653476,36.0,0.6801531589023612,0.6828334396936822
17,2,LONG,6486,25.473481344434166,16.5,25.48022664199815,16.5,0.41196423065063215,0.4309281529448042
17,2,SHORT,6486,25.48022664199815,16.5,25.473481344434166,16.5,0.4309281529448042,0.41196423065063215
18,0,LONG,16378,38.1203596287703,26.5,43.01321895225302,27.75,0.5965319330809623,0.6160092807424594
18,0,SHORT,16378,43.01321895225302,27.75,38.1203596287703,26.5,0.6160092807424594,0.5965319330809623
18,1,LONG,2667,24.94328833895763,16.5,34.46578552680915,21.25,0.4349456317960255,0.5249343832020997
18,1,SHORT,2667,34.46578552680915,21.25,24.94328833895763,16.5,0.5249343832020997,0.4349456317960255
18,2,LONG,18489,73.82035264211153,49.0,76.31747255124668,51.5,0.7658066958732219,0.7582346259938342
