window,direction,horizon_bars,observations,mean_future_points,median_future_points,mean_future_points_after_cost,mean_mfe_points,median_mfe_points,mean_mae_points,median_mae_points,positive_probability,cost_covered_probability,validation_start,validation_end
8,short_reversion,60,4399,-10.219652193680382,-27.25,-11.329652193680381,84.51373934499776,57.5,-94.08529609690444,-85.375,0.42350534212320984,0.42191407137985903,2023-02-06 09:30:00-05:00,2023-05-06 09:30:00-04:00
9,long_reversion,1,3818,0.5404007333682557,-1.25,-0.5695992666317442,7.370350969093766,3.5,-3.0474070193818754,-4.5,0.3596123624934521,0.2826086956521739,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,long_reversion,3,3816,1.6242793501048218,-4.25,0.514279350104822,15.306705081194343,5.5,-9.832765845992666,-9.5,0.2945492662473795,0.26572327044025157,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,long_reversion,5,3814,2.698413738856843,-7.25,1.5884137388568433,21.679282346778418,7.25,-15.017744892613933,-14.0,0.3023072889355008,0.29286837965390666,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,long_reversion,10,3809,5.407324757154108,-10.75,4.297324757154108,34.67810371922472,11.75,-25.597564169722368,-22.75,0.396692045156209,0.3898661065896561,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,long_reversion,20,3799,10.953408791787313,-5.25,9.843408791787313,55.117666317443685,24.25,-42.00072027239392,-35.75,0.45985785733087653,0.45433008686496446,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,long_reversion,30,3789,16.57600950118765,0.75,15.46600950118765,72.16651388161341,39.25,-54.63403614457831,-45.375,0.5038268672472948,0.4977566640274479,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,long_reversion,60,3759,34.18462357009843,11.75,33.07462357009843,115.20632530120481,75.5,-82.38377422734416,-67.0,0.5426975259377494,0.5392391593508912,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,short_reversion,1,4327,-0.48133810954471923,-1.5,-1.591338109544719,5.372948925352438,2.75,-3.144672983591403,-3.5,0.31823434250057775,0.2313381095447192,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,short_reversion,3,4325,-1.445606936416185,-4.75,-2.5556069364161846,10.848971573838687,4.0,-9.340478391495262,-8.0,0.23052023121387283,0.20184971098265897,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,short_reversion,5,4323,-2.4069511913023365,-8.0,-3.5169511913023364,15.18788999306679,4.75,-14.398659579385255,-11.75,0.23178348369188065,0.22160536664353458,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,short_reversion,10,4318,-5.020900880037054,-15.0,-6.1309008800370535,24.0461636237578,6.75,-25.504448809798937,-20.75,0.2922649374710514,0.28624363131079206,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,short_reversion,20,4308,-10.300139275766016,-23.25,-11.410139275766015,37.44672983591403,11.25,-43.516813034434946,-35.25,0.3342618384401114,0.32892293407613743,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,short_reversion,30,4298,-15.517624476500698,-28.5,-16.6276244765007,48.11734458054079,19.25,-58.5355904783915,-47.25,0.33341088878548164,0.3285248953001396,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
9,short_reversion,60,4268,-30.968779287722587,-51.25,-32.07877928772259,70.86191356598106,34.0,-95.93165010399815,-83.5,0.32029053420806,0.3179475164011247,2023-05-06 09:30:00-04:00,2023-08-06 09:30:00-04:00
10,long_reversion,1,4075,-0.049570552147239266,-1.75,-1.159570552147239,7.700429447852761,4.0,-3.7103680981595093,-4.75,0.3496932515337423,0.27337423312883435,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,long_reversion,3,4073,-0.14338325558556347,-5.5,-1.2533832555855633,15.64036809815951,6.0,-11.450920245398773,-10.5,0.26516081512398726,0.24159096489074391,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,long_reversion,5,4071,-0.24766642102677475,-9.5,-1.3576664210267746,22.034049079754602,7.75,-17.595460122699386,-15.5,0.273888479489069,0.26381724392041267,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,long_reversion,10,4066,-0.5196138711264142,-17.0,-1.629613871126414,34.90515337423313,11.5,-30.42521472392638,-26.5,0.35784554845056565,0.3539104771273979,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,long_reversion,20,4056,-0.9710922090729783,-18.0,-2.0810922090729784,54.60509202453988,23.5,-50.30245398773006,-44.5,0.4156804733727811,0.41074950690335305,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,long_reversion,30,4046,-1.4688581314878892,-24.0,-2.5788581314878893,70.4101226993865,40.25,-66.0583435582822,-57.75,0.42609985170538806,0.4241225902125556,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,long_reversion,60,4016,-4.118090139442231,-29.75,-5.22809013944223,105.76889570552147,69.25,-103.52349693251534,-93.25,0.4340139442231076,0.43102589641434264,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,short_reversion,1,4182,0.06557867049258728,-1.75,-1.0444213295074125,7.160927785748446,3.25,-3.1213534194165473,-4.25,0.32592061214729795,0.25227164036346245,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,short_reversion,3,4180,0.18217703349282297,-5.25,-0.9278229665071769,14.856587757054042,5.0,-10.275167384026782,-9.5,0.24186602870813398,0.2174641148325359,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,short_reversion,5,4178,0.2947582575394926,-9.0,-0.8152417424605073,20.993065518890482,6.25,-15.974832615973218,-14.25,0.2424605074198181,0.23073240785064625,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,short_reversion,10,4173,0.555176132278936,-16.25,-0.5548238677210638,33.56139406982305,9.25,-27.864359158297464,-24.0,0.31799664509944886,0.31224538701174215,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,short_reversion,20,4163,1.0181359596444872,-23.0,-0.09186404035551266,53.08805595408895,18.0,-46.85401721664275,-40.5,0.36392024981984145,0.3598366562575066,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,short_reversion,30,4153,1.5741030580303395,-24.75,0.4641030580303396,68.8352462936394,29.5,-62.30314442850311,-53.75,0.40910185408138694,0.4054900072236937,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
10,short_reversion,60,4123,3.7650375939849625,-24.5,2.6550375939849626,106.62404351984696,67.5,-96.5609756097561,-86.0,0.43584768372544264,0.43463497453310695,2023-08-06 09:30:00-04:00,2023-11-06 09:30:00-05:00
11,long_reversion,1,3495,0.7144492131616595,-1.0,-0.39555078683834033,7.212804005722461,3.25,-2.8849785407725324,-4.0,0.36137339055793993,0.2809728183118741,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,long_reversion,3,3493,2.1455052963068995,-3.75,1.0355052963068996,15.325464949928469,5.25,-9.513662374821173,-9.0,0.3063269395934727,0.27655310621242485,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,long_reversion,5,3491,3.5811372099684906,-6.25,2.4711372099684907,21.914878397711014,7.0,-14.631902718168812,-12.75,0.3222572328845603,0.31194500143225434,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,long_reversion,10,3486,7.132816982214573,-7.625,6.022816982214573,35.5085121602289,13.75,-24.933261802575107,-20.75,0.42312105565117614,0.41623637406769937,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,long_reversion,20,3476,14.30099252013809,-2.125,13.19099252013809,56.59363376251788,27.75,-39.969027181688126,-32.0,0.4853279631760644,0.4778481012658228,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,long_reversion,30,3466,21.59333525678015,2.625,20.48333525678015,74.39663805436338,42.75,-51.23426323319027,-40.5,0.5112521638776688,0.5069244085401039,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,long_reversion,60,3436,43.06140861466822,21.0,41.95140861466822,119.33247496423462,77.5,-75.88218884120171,-58.5,0.5634458672875436,0.560826542491269,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,short_reversion,1,4474,-0.5520227983907018,-1.25,-1.6620227983907017,4.773524810013411,2.25,-3.225078229772016,-3.5,0.3133661153330353,0.21971390254805542,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,short_reversion,3,4472,-1.6582625223613596,-4.25,-2.7682625223613595,9.858292355833706,3.5,-9.165400089405454,-7.5,0.21958855098389982,0.18604651162790697,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,short_reversion,5,4470,-2.7814876957494405,-7.375,-3.8914876957494404,13.863824318283415,4.5,-14.013801966919981,-11.25,0.21364653243847875,0.2058165548098434,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,short_reversion,10,4465,-5.578275475923852,-14.0,-6.688275475923852,21.905565489494858,6.25,-24.5863880196692,-20.0,0.2812989921612542,0.27166853303471444,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,short_reversion,20,4455,-11.215824915824916,-21.5,-12.325824915824915,33.66059454626732,10.0,-41.83046490835941,-33.25,0.3151515151515151,0.31021324354657687,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,short_reversion,30,4445,-16.913273340832397,-28.0,-18.023273340832397,42.740724184175235,14.25,-56.48530397854269,-44.25,0.32305961754780654,0.3190101237345332,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
11,short_reversion,60,4415,-33.64824462061155,-45.25,-34.75824462061155,63.3203509164059,29.375,-92.64589852481001,-74.875,0.3390713476783692,0.33725934314835787,2023-11-06 09:30:00-05:00,2024-02-06 09:30:00-05:00
12,long_reversion,1,3819,0.09040324692327835,-1.75,-1.0195967530767216,8.489198743126472,4.0,-4.4279916208431525,-5.25,0.3508771929824561,0.28515318146111546,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,long_reversion,3,3817,0.2719413151689809,-5.25,-0.838058684831019,17.51518722178581,6.5,-13.33019114951558,-11.5,0.27325124443280063,0.24548074403982184,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,long_reversion,5,3815,0.44764089121887285,-9.0,-0.662359108781127,24.63524482848913,8.0,-20.35833987954962,-16.75,0.28309305373525556,0.2673656618610747,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,long_reversion,10,3810,0.9013779527559055,-15.75,-0.2086220472440944,39.4133280963603,12.75,-35.059505106048704,-27.5,0.3690288713910761,0.3598425196850394,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,long_reversion,20,3800,1.9146052631578947,-12.75,0.8046052631578948,62.370581304006286,26.5,-57.904490704372876,-42.25,0.42657894736842106,0.42157894736842105,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,long_reversion,30,3790,3.0103562005277045,-10.5,1.9003562005277046,81.22244042943178,39.0,-75.84963341188792,-54.5,0.4514511873350924,0.44591029023746703,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,long_reversion,60,3760,4.904986702127659,-24.0,3.7949867021276593,126.54281225451689,69.25,-118.67059439643886,-89.75,0.436436170212766,0.43377659574468086,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,short_reversion,1,4095,-0.06434676434676434,-1.75,-1.1743467643467642,6.62954822954823,3.0,-3.5485347985347984,-4.5,0.32234432234432236,0.25103785103785103,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
12,short_reversion,3,4093,-0.19930368922550695,-5.0,-1.3093036892255068,14.505738705738706,4.5,-11.284432234432234,-9.25,0.25067187881749325,0.2211092108477889,2024-02-06 09:30:00-05:00,2024-05-06 09:30:00-04:00
