quantile,rr,horizon,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
0.9,0.5,5,4,688,0.6634543413173652,0.6665431682255927,0.058647548652694614,0.04826172102646896,1.2225148269452066,1.1795668669057984,26.6375,-10.075000000000001,6
0.85,1.1,5,4,956,0.5192871873819966,0.5044883090024026,0.058265331080179686,0.05464344461450727,1.1463886515946524,1.139522622700097,56.425000000000026,-11.05,7
0.875,1.1,5,4,770,0.5092876618950238,0.5122827198364008,0.05824429107021134,0.08515947192399458,1.1492253535073202,1.2273389568652036,60.57500000000002,-10.0875,7
0.875,2.0,5,4,688,0.4402901785714286,0.44356487630048586,0.05757740037787701,0.07183069237643849,1.1252923935365937,1.1573619231151209,50.87499999999999,-13.637499999999998,9
0.8,1.2,15,4,1187,0.4875051802735184,0.4943855736134812,0.05733445480674232,0.0643064767363811,1.1199241751010174,1.1393823272201846,73.325,-18.51250000000001,15
0.8,1.2,10,4,1220,0.4841240116521015,0.4819734630728811,0.056522836038285465,0.05333935650279015,1.128257572131328,1.1209556647436876,65.1375,-19.900000000000016,12
0.9,0.75,5,4,638,0.5763345633456335,0.5643300723704912,0.055250615006150056,0.05116218426487912,1.1615587613729539,1.1500915184420881,34.05,-8.0,7
0.8,1.0,15,4,1269,0.5248598009659957,0.533087937160452,0.055045828065739565,0.06643432179986007,1.124508368490487,1.1595837825107558,77.26249999999999,-14.5,11
0.825,1.75,5,4,1050,0.43981800454988623,0.44942896731791115,0.05448329137102312,0.032202018835273724,1.1334725740641116,1.0713889046466938,39.95,-21.287499999999998,9
0.8,1.2,5,4,1345,0.4927894158243503,0.4882044559044211,0.05061404558816979,0.044064261260004775,1.1289245755166644,1.1117707702326456,64.5375,-15.912500000000005,9
0.825,2.0,10,4,890,0.4204210035730931,0.4165746730668696,0.04851769571264276,0.06675972171060132,1.1069092920441324,1.13698635506326,51.4625,-16.737499999999997,10
0.8,1.0,5,4,1406,0.5213917316439246,0.519197147690642,0.04834219156107862,0.051689544897474224,1.1318023437374238,1.141666368349862,71.5875,-13.962499999999999,7
0.8,1.3,5,4,1324,0.48104308354282743,0.4812647744866849,0.04834119695827989,0.04483414473464656,1.1245015340739744,1.1138447833117173,61.325,-17.90000000000003,9
0.8,1.1,10,4,1247,0.4949858884285114,0.4974763019562341,0.04739311235212877,0.05186815449852478,1.1094607593289474,1.1225261145897383,62.31250000000003,-16.51250000000001,12
0.8,1.1,5,4,1370,0.5079113924050633,0.5028827348291411,0.0463869962541979,0.04949446379233501,1.120964927409105,1.1308152944507184,68.17500000000003,-15.750000000000002,9
0.875,0.5,15,4,883,0.6864492753623188,0.6912941103976871,0.04626449275362319,0.047167649637038796,1.1603407315550043,1.1760056399108278,27.1,-14.4375,6
0.875,0.5,10,4,887,0.6775362318840579,0.6820605185948624,0.0460171568627451,0.046098725108764366,1.163562073950776,1.1728737652179602,27.2125,-13.6125,6
0.825,2.0,5,4,1023,0.4397763623098939,0.4461106593935542,0.04540761288334105,0.04329075637640854,1.1057497690063574,1.094243415947573,45.2,-19.8625,9
0.825,0.75,10,4,1206,0.5788928494199876,0.5769877590807387,0.04469090709338096,0.03935530693124602,1.1286690127894752,1.1143146322843414,43.4375,-17.625,6
0.875,1.75,5,4,702,0.4385035991140642,0.4429328183563044,0.04436880937942188,0.05221667559225801,1.0995695440160176,1.1146710950171914,37.01250000000001,-15.987499999999999,9
0.85,0.67,10,4,1030,0.6090622085097224,0.6012839936329569,0.04434827310370788,0.028078920103151238,1.1276112604560402,1.08361493059851,33.825,-14.167499999999833,6
0.9,0.67,5,4,651,0.6,0.5945080576759966,0.04382214076246334,0.046018629753581126,1.134910755915592,1.1421218593747628,29.330000000000005,-9.580000000000002,6
0.8,1.1,15,4,1221,0.49628479265269326,0.5080913759181833,0.0437454660384269,0.06155298580214481,1.0930851016571483,1.140271850880588,68.77500000000003,-17.975000000000012,15
0.9,1.5,5,4,546,0.4512850019179133,0.4504282953215447,0.04366506998233457,0.0729072835219087,1.1130325164727095,1.1785602098717163,36.400000000000006,-17.7875,9
0.8,1.5,10,4,1133,0.4466759718775848,0.4441624230505936,0.0421923019377588,0.03996117371495054,1.0900306963437334,1.0845507968945347,45.8125,-18.7125,12
0.8,1.75,10,4,1091,0.42174462011418534,0.4210652557529194,0.04122664571328794,0.033821148394632544,1.090310090003229,1.070483440797588,34.9875,-27.612499999999997,12
0.85,0.75,5,4,1040,0.5778149178373577,0.5636081356495481,0.04044055707779465,0.03357726588690916,1.115134066398178,1.0959673946797688,39.375,-13.787500000000005,7
0.825,0.75,15,4,1194,0.5820113996564291,0.5836768307805955,0.039923415296815146,0.043245282797217094,1.1086440312075236,1.1213333558159486,44.1875,-16.799999999999997,6
0.875,0.75,5,4,834,0.5754994292237443,0.5743312346371008,0.03947096175799086,0.05565097152337681,1.1130162540268795,1.1671038369640478,42.637499999999996,-13.724999999999998,7
0.8,0.75,10,4,1425,0.5775725834228174,0.5772525873205615,0.03924057124622647,0.03932382613022518,1.111116218091293,1.1136793098442341,49.112500000000004,-17.8125,8
0.875,0.67,15,4,824,0.6115477901545096,0.6245137324756288,0.03922520661157025,0.054812975934511426,1.1077424023078315,1.166107994634374,33.73000000000001,-17.66749999999999,6
0.875,0.5,5,4,908,0.6581585081585082,0.6642072508285429,0.03744669466047971,0.0406926597207479,1.1397492231456896,1.153020489338517,27.1125,-12.7875,6
0.85,0.67,15,4,1023,0.6096190842631781,0.6034737317989635,0.037241198537899194,0.02773960581530487,1.1027669251153642,1.0800112005266622,30.4225,-14.767499999999847,6
0.8,1.5,15,4,1083,0.4360632183908046,0.4422522699755706,0.035554820204855286,0.0428709065527319,1.0672860001248634,1.0867111161579233,46.775,-19.950000000000003,15
0.85,0.5,10,4,1120,0.6784335355763926,0.6651309056791392,0.034391891891891894,0.021600775326250557,1.1222736544067655,1.0848994667851373,24.487499999999997,-15.95,6
0.875,0.67,10,4,829,0.6038209142422002,0.6107464359570789,0.03439186767900737,0.052105788336858194,1.0970154702020616,1.1592604578773185,33.557500000000005,-16.842499999999966,6
0.825,0.67,10,4,1253,0.5999590499590499,0.5931680505373104,0.03375533925533926,0.019313258696256573,1.0966979649447426,1.0591803991177415,28.547500000000003,-19.320000000000007,6
0.8,0.75,15,4,1406,0.5829652075499252,0.5867085966075524,0.03337341645065898,0.04240390635302641,1.0879507552454593,1.1207985821013,49.737500000000004,-18.6125,8
0.825,2.0,15,4,844,0.38781979977753056,0.3862700273675188,0.030015953882238273,0.0429942377169812,1.052966386694831,1.0792791522709915,35.275,-20.112499999999997,13
0.8,1.75,15,4,1037,0.4151831652603416,0.4129866893938038,0.029598768800349222,0.027842842196294623,1.054673432975823,1.0536638374477825,30.0375,-25.2375,15
0.85,0.67,5,4,1073,0.5926829268292683,0.5837321027538815,0.029443439790393627,0.02276563881411573,1.0860504769045771,1.0666968790392324,29.145000000000003,-13.967499999999838,7
0.825,0.67,5,4,1304,0.5869157053592886,0.5794029616772585,0.029374358435983586,0.016447931906163837,1.086411918864279,1.0484809541335904,28.890000000000008,-15.825000000000001,6
0.85,0.5,15,4,1113,0.6762654668166479,0.6684862034676764,0.028901755584123417,0.019222576681407658,1.0978076558363297,1.0741486542300642,20.962500000000002,-16.5,6
0.9,2.0,5,4,525,0.4284869277179699,0.4207878109099432,0.02813892809389392,0.07137899912325123,1.0630674927685928,1.1582429228263262,33.762499999999996,-18.462500000000002,11
0.875,0.67,5,4,856,0.5964195553625233,0.5963286435482191,0.02809790575205625,0.044181301443491194,1.0836069954372234,1.1391594004707153,33.565,-16.169999999999945,6
