quantile,rr,horizon,windows,positive_windows,median_R,median_PF,total_trades,worst_DD,worst_streak,all_positive
0.85,2.0,10,4,3,0.09876257424794022,1.220777723491096,748,-14.637500000000001,9,False
0.85,2.0,15,4,3,0.08491611842105262,1.160439605981252,712,-16.112499999999997,9,False
0.875,0.5,5,4,4,0.03744669466047971,1.1397492231456896,908,-12.7875,6,True
0.875,0.5,10,4,3,0.0460171568627451,1.163562073950776,887,-13.6125,6,False
0.875,0.5,15,4,3,0.04626449275362319,1.1603407315550043,883,-14.4375,6,False
0.875,0.67,5,4,4,0.02809790575205625,1.0836069954372234,856,-16.169999999999945,6,True
0.875,0.67,10,4,4,0.03439186767900737,1.0970154702020616,829,-16.842499999999966,6,True
0.875,0.67,15,4,4,0.03922520661157025,1.1077424023078315,824,-17.66749999999999,6,True
0.875,0.75,5,4,4,0.03947096175799086,1.1130162540268795,834,-13.724999999999998,7,True
0.875,0.75,10,4,4,0.06914325111258404,1.1956111805594587,803,-15.1125,6,True
0.875,0.75,15,4,4,0.070306598062954,1.1906369496176872,799,-15.9375,7,True
0.875,1.0,5,4,4,0.05909127532228361,1.1703735446093035,779,-12.700000000000001,7,True
0.875,1.0,10,4,4,0.08863642859184316,1.221989736610026,733,-11.0875,6,True
0.875,1.0,15,4,4,0.10278222934472933,1.250006771675697,723,-9.0,7,True
0.875,1.1,5,4,4,0.05824429107021134,1.1492253535073202,770,-10.0875,7,True
0.875,1.1,10,4,4,0.07718189470017994,1.184660067891659,717,-8.675,6,True
0.875,1.1,15,4,4,0.08559398263027299,1.193877140470859,705,-9.5,7,True
0.875,1.2,5,4,4,0.07002378014631241,1.171705522831961,758,-11.2625,7,True
0.875,1.2,10,4,4,0.10503833950290851,1.2361187218374183,701,-8.175,6,True
0.875,1.2,15,4,4,0.11590513781107842,1.2556932063840258,688,-10.362499999999997,7,True
0.875,1.3,5,4,3,0.07330742394268301,1.177137301162741,748,-11.137500000000001,8,False
0.875,1.3,10,4,4,0.11054258241758241,1.2465549860604082,688,-11.325,6,True
0.875,1.3,15,4,4,0.11837539069681925,1.2543552706998564,673,-11.1625,7,True
0.875,1.5,5,4,3,0.05925284725004291,1.1354116963674459,723,-12.05,9,False
0.875,1.5,10,4,4,0.09364930182599356,1.2009150742574144,660,-11.125,8,True
0.875,1.5,15,4,4,0.08934617032881408,1.1741097823840496,639,-11.325000000000001,8,True
0.875,1.75,5,4,3,0.04436880937942188,1.0995695440160176,702,-15.987499999999999,9,False
0.875,1.75,10,4,4,0.08249227507904569,1.1669981921403871,626,-18.2125,10,True
0.875,1.75,15,4,4,0.06514270403302636,1.1282103799169567,604,-15.2375,8,True
