mc_max_drawdown_R,mc_worst_streak,mc_final_R
-6.629499999999991,7.0,18.395999999999997
-6.500499999999992,5.0,18.395999999999997
-6.548999999999996,5.0,18.395999999999997
-8.608000000000002,7.0,18.395999999999994
-7.128500000000001,4.0,18.395999999999997
-5.9315000000000015,7.0,18.395999999999994
-14.568000000000001,6.0,18.395999999999994
-4.365,5.0,18.395999999999997
-6.420000000000002,8.0,18.395999999999994
-10.089500000000001,9.0,18.395999999999994
-5.4514999999999905,5.0,18.395999999999997
-6.491000000000001,7.0,18.395999999999997
-6.794000000000001,8.0,18.39599999999999
-9.178999999999998,5.0,18.395999999999994
-6.2835,5.0,18.395999999999997
-5.088500000000002,4.0,18.396
-8.755000000000003,10.0,18.395999999999997
-9.69349999999999,9.0,18.39599999999999
-7.5450000000000035,6.0,18.395999999999994
-6.990999999999991,5.0,18.396
-7.494000000000002,8.0,18.395999999999994
-7.253499999999992,6.0,18.396
-6.332999999999991,6.0,18.396000000000004
-10.059500000000003,5.0,18.395999999999994
-4.899499999999993,5.0,18.395999999999997
-3.923000000000002,4.0,18.396
-6.333000000000002,6.0,18.395999999999994
-7.4940000000000015,8.0,18.395999999999997
-6.886500000000002,5.0,18.395999999999997
-6.419000000000002,8.0,18.395999999999994
-8.636500000000002,6.0,18.395999999999994
-6.333000000000001,6.0,18.395999999999997
-5.876499999999989,5.0,18.395999999999997
-10.520000000000003,9.0,18.395999999999994
-5.034000000000001,5.0,18.39599999999999
-5.544999999999998,5.0,18.395999999999987
-6.2010000000000005,7.0,18.395999999999997
-7.372999999999994,7.0,18.39599999999999
-9.621499999999996,8.0,18.39599999999999
-5.49349999999999,5.0,18.395999999999997
-4.421500000000001,4.0,18.395999999999987
-5.3820000000000014,4.0,18.396
-6.363000000000001,5.0,18.39599999999999
-9.697999999999999,6.0,18.395999999999994
-6.405000000000001,5.0,18.39599999999999
-4.731000000000002,5.0,18.395999999999997
-4.985500000000002,4.0,18.395999999999997
-7.903000000000004,7.0,18.395999999999994
-7.346499999999992,4.0,18.395999999999994
-6.924000000000001,6.0,18.39599999999999
-7.723499999999991,4.0,18.395999999999997
-6.413500000000003,7.0,18.395999999999997
-5.23449999999999,5.0,18.395999999999997
-4.222000000000001,4.0,18.395999999999994
-9.915499999999984,4.0,18.395999999999994
-5.048000000000002,5.0,18.395999999999997
-7.328499999999988,5.0,18.395999999999997
-10.000500000000002,8.0,18.395999999999994
-6.333000000000001,6.0,18.395999999999994
-5.656999999999991,4.0,18.396
-9.393500000000003,8.0,18.395999999999994
-11.097500000000004,9.0,18.395999999999994
-4.521500000000001,6.0,18.395999999999997
-6.109000000000001,4.0,18.396
-9.774000000000003,9.0,18.395999999999994
-5.210000000000001,6.0,18.395999999999997
-7.199500000000002,7.0,18.39599999999999
-7.5550000000000015,7.0,18.395999999999997
-6.659000000000002,5.0,18.395999999999997
-7.696500000000001,5.0,18.39599999999999
-5.277500000000002,5.0,18.395999999999994
-8.556500000000003,4.0,18.395999999999994
-9.127000000000002,5.0,18.395999999999994
-10.471000000000002,7.0,18.395999999999994
-5.102,6.0,18.395999999999997
-5.919499999999992,5.0,18.395999999999997
-7.341000000000003,6.0,18.395999999999997
-6.1194999999999915,6.0,18.395999999999994
-6.927000000000002,5.0,18.396
-6.4395000000000024,5.0,18.395999999999994
-8.653500000000001,4.0,18.395999999999994
-9.790500000000003,8.0,18.395999999999994
-7.975499999999991,8.0,18.395999999999997
-11.835,6.0,18.395999999999994
-8.232500000000002,7.0,18.395999999999994
-7.844000000000001,8.0,18.39599999999999
-9.2115,5.0,18.395999999999994
-6.085500000000003,6.0,18.395999999999997
-11.639499999999986,10.0,18.395999999999997
-5.96149999999999,4.0,18.395999999999994
-8.020000000000003,6.0,18.39599999999999
