trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,profitable_days,losing_days,daily_sharpe,window,tail_percent,rr,horizon,probability_threshold,model,auc
41,0.43902439024390244,-0.012195121951219513,-0.5,0.9782608695652174,-5.75,4,2.5609756097560976,10,13,-0.1132606764228159,1,9.999999999999998,1.25,10,0.56,xgboost,0.4792368125701459
36,0.4444444444444444,0.0,0.0,1.0,-5.75,4,2.5555555555555554,10,12,0.0,1,9.999999999999998,1.25,10,0.58,xgboost,0.4792368125701459
31,0.45161290322580644,0.016129032258064516,0.5,1.0294117647058822,-5.75,4,2.6774193548387095,10,10,0.12695775639480397,1,9.999999999999998,1.25,10,0.6,xgboost,0.4792368125701459
224,0.46875,0.04151785714285715,9.3,1.0785555907507127,-18.6625,6,3.2276785714285716,20,16,0.8731451569470897,1,9.999999999999998,1.25,12,0.0,baseline,0.47919354838709677
72,0.4305555555555556,-0.03125,-2.25,0.9451219512195121,-9.0,7,2.7083333333333335,14,13,-0.46177078985318615,1,9.999999999999998,1.25,12,0.5,xgboost,0.47919354838709677
61,0.4098360655737705,-0.0778688524590164,-4.75,0.8680555555555556,-9.25,7,2.7049180327868854,13,14,-0.992335029313595,1,9.999999999999998,1.25,12,0.52,xgboost,0.47919354838709677
54,0.42592592592592593,-0.041666666666666664,-2.25,0.9274193548387096,-7.25,6,2.7222222222222223,13,13,-0.5236932238810561,1,9.999999999999998,1.25,12,0.54,xgboost,0.47919354838709677
48,0.4583333333333333,0.03125,1.5,1.0576923076923077,-7.25,6,2.75,13,13,0.34957872897677844,1,9.999999999999998,1.25,12,0.56,xgboost,0.47919354838709677
38,0.42105263157894735,-0.05263157894736842,-2.0,0.9090909090909091,-5.25,5,2.6842105263157894,10,13,-0.590218773593526,1,9.999999999999998,1.25,12,0.58,xgboost,0.47919354838709677
32,0.375,-0.15625,-5.0,0.75,-6.25,4,2.5625,7,13,-1.607221230310278,1,9.999999999999998,1.25,12,0.6,xgboost,0.47919354838709677
224,0.45089285714285715,0.020703124999999996,4.637499999999999,1.0383779869659666,-20.25,7,3.3125,18,18,0.421794348069805,1,9.999999999999998,1.25,15,0.0,baseline,0.5028225806451614
80,0.4625,0.040625,3.25,1.0755813953488371,-8.5,6,2.975,17,15,0.5613258184846146,1,9.999999999999998,1.25,15,0.5,xgboost,0.5028225806451614
70,0.45714285714285713,0.02857142857142857,2.0,1.0526315789473684,-9.75,5,3.0285714285714285,16,14,0.3477611978186197,1,9.999999999999998,1.25,15,0.52,xgboost,0.5028225806451614
60,0.48333333333333334,0.0875,5.25,1.1693548387096775,-6.0,6,2.966666666666667,16,12,1.028300632818954,1,9.999999999999998,1.25,15,0.54,xgboost,0.5028225806451614
49,0.46938775510204084,0.05612244897959184,2.75,1.1057692307692308,-7.0,5,3.0408163265306123,14,12,0.6515098109303268,1,9.999999999999998,1.25,15,0.56,xgboost,0.5028225806451614
40,0.4,-0.1,-4.0,0.8333333333333334,-7.75,5,3.15,11,12,-1.105168759093421,1,9.999999999999998,1.25,15,0.58,xgboost,0.5028225806451614
36,0.3888888888888889,-0.125,-4.5,0.7954545454545454,-8.0,5,3.0555555555555554,9,10,-1.3378942652268397,1,9.999999999999998,1.25,15,0.6,xgboost,0.5028225806451614
221,0.4434389140271493,0.03003393665158372,6.637500000000003,1.0562619198982837,-20.03749999999999,6,3.248868778280543,18,19,0.6367434130358335,1,9.999999999999998,1.3,10,0.0,baseline,0.5278103534930474
64,0.4375,0.006249999999999978,0.3999999999999986,1.0111111111111108,-9.1,8,2.8125,16,14,0.07711733025448102,1,9.999999999999998,1.3,10,0.5,xgboost,0.5278103534930474
56,0.4107142857142857,-0.055357142857142834,-3.0999999999999988,0.9060606060606062,-9.700000000000001,9,2.767857142857143,13,15,-0.7012539605585921,1,9.999999999999998,1.3,10,0.52,xgboost,0.5278103534930474
47,0.44680851063829785,0.0276595744680851,1.2999999999999998,1.0500000000000003,-6.0,6,2.702127659574468,11,13,0.31759318824076366,1,9.999999999999998,1.3,10,0.54,xgboost,0.5278103534930474
34,0.5,0.15000000000000002,5.1000000000000005,1.3,-3.8000000000000007,3,2.5,12,9,1.6389509167305565,1,9.999999999999998,1.3,10,0.56,xgboost,0.5278103534930474
28,0.5,0.15,4.2,1.3000000000000003,-3.0,3,2.607142857142857,10,9,1.535767651957505,1,9.999999999999998,1.3,10,0.58,xgboost,0.5278103534930474
24,0.5416666666666666,0.24583333333333335,5.9,1.5363636363636366,-3.0,3,2.625,10,8,2.1224715218752936,1,9.999999999999998,1.3,10,0.6,xgboost,0.5278103534930474
219,0.4611872146118721,0.03961187214611873,8.675,1.0739005430731554,-20.61249999999999,6,3.3333333333333335,20,17,0.8248358473502447,1,9.999999999999998,1.3,12,0.0,baseline,0.5320851063829788
63,0.49206349206349204,0.13174603174603175,8.3,1.2593749999999995,-7.800000000000001,6,3.0476190476190474,16,11,1.7192178068053026,1,9.999999999999998,1.3,12,0.5,xgboost,0.5320851063829788
55,0.4727272727272727,0.08727272727272727,4.8,1.1655172413793102,-7.1000000000000005,6,2.963636363636364,13,12,0.9801896266437761,1,9.999999999999998,1.3,12,0.52,xgboost,0.5320851063829788
47,0.48936170212765956,0.12553191489361704,5.9,1.2458333333333336,-4.7,4,3.021276595744681,12,13,1.1182631753650678,1,9.999999999999998,1.3,12,0.54,xgboost,0.5320851063829788
35,0.5428571428571428,0.2485714285714286,8.700000000000001,1.5437500000000002,-4.0,4,3.0,12,10,2.0111959904900316,1,9.999999999999998,1.3,12,0.56,xgboost,0.5320851063829788
33,0.5151515151515151,0.18484848484848487,6.1000000000000005,1.38125,-4.0,4,3.090909090909091,12,10,1.6127645492607503,1,9.999999999999998,1.3,12,0.58,xgboost,0.5320851063829788
27,0.5555555555555556,0.2777777777777778,7.5,1.6250000000000002,-4.0,4,3.2222222222222223,12,8,2.31077046571673,1,9.999999999999998,1.3,12,0.6,xgboost,0.5320851063829788
219,0.4429223744292237,0.020034246575342463,4.387499999999999,1.0366120788567854,-22.19999999999999,7,3.4383561643835616,18,19,0.4029736158761581,1,9.999999999999998,1.3,15,0.0,baseline,0.5404074702886248
67,0.4626865671641791,0.06417910447761195,4.300000000000001,1.119444444444444,-9.5,6,3.343283582089552,17,12,0.8146453430367941,1,9.999999999999998,1.3,15,0.5,xgboost,0.5404074702886248
57,0.47368421052631576,0.08947368421052633,5.1000000000000005,1.1699999999999997,-7.499999999999999,5,3.1578947368421053,16,12,1.1116279118185202,1,9.999999999999998,1.3,15,0.52,xgboost,0.5404074702886248
50,0.5,0.15,7.5,1.3,-4.7,4,3.18,16,10,1.9628585921593673,1,9.999999999999998,1.3,15,0.54,xgboost,0.5404074702886248
43,0.4883720930232558,0.12325581395348839,5.300000000000001,1.2409090909090912,-4.7,4,3.186046511627907,16,8,1.6194163398497958,1,9.999999999999998,1.3,15,0.56,xgboost,0.5404074702886248
39,0.5128205128205128,0.17948717948717952,7.000000000000001,1.3684210526315792,-4.4,4,3.2051282051282053,15,9,1.9924756046305294,1,9.999999999999998,1.3,15,0.58,xgboost,0.5404074702886248
30,0.5,0.14999999999999997,4.499999999999999,1.3000000000000003,-4.1000000000000005,3,3.033333333333333,11,9,1.5739215003292932,1,9.999999999999998,1.3,15,0.6,xgboost,0.5404074702886248
218,0.42660550458715596,0.010321100917431224,2.250000000000007,1.0188323917137474,-19.8875,6,3.353211009174312,18,19,0.24043324737477695,1,9.999999999999998,1.35,10,0.0,baseline,0.520104895104895
52,0.4423076923076923,0.03942307692307696,2.050000000000002,1.070689655172414,-5.3,5,2.769230769230769,12,14,0.5104110598735742,1,9.999999999999998,1.35,10,0.5,xgboost,0.520104895104895
46,0.45652173913043476,0.07282608695652179,3.3500000000000023,1.1340000000000003,-5.0,5,2.847826086956522,12,13,0.8364836201093344,1,9.999999999999998,1.35,10,0.52,xgboost,0.520104895104895
38,0.5263157894736842,0.23684210526315788,9.0,1.5000000000000004,-4.0,4,2.8157894736842106,14,9,2.3925374409416196,1,9.999999999999998,1.35,10,0.54,xgboost,0.520104895104895
35,0.5428571428571428,0.2757142857142858,9.650000000000002,1.6031250000000004,-4.0,4,2.7714285714285714,14,9,2.5442447778945256,1,9.999999999999998,1.35,10,0.56,xgboost,0.520104895104895
29,0.5172413793103449,0.21551724137931033,6.25,1.4464285714285716,-4.0,4,2.7241379310344827,10,10,1.964411345767596,1,9.999999999999998,1.35,10,0.58,xgboost,0.520104895104895
22,0.5,0.17500000000000004,3.850000000000001,1.3499999999999999,-3.0,3,2.8181818181818183,9,9,1.3298572483172793,1,9.999999999999998,1.35,10,0.6,xgboost,0.520104895104895
216,0.4444444444444444,0.015682870370370392,3.3875000000000046,1.02837399225212,-20.4625,6,3.4537037037037037,20,17,0.3622346351550563,1,9.999999999999998,1.35,12,0.0,baseline,0.5161576704545454
49,0.4489795918367347,0.05510204081632658,2.7000000000000024,1.1000000000000003,-6.949999999999999,6,3.2448979591836733,14,12,0.6500881471933965,1,9.999999999999998,1.35,12,0.5,xgboost,0.5161576704545454
43,0.5116279069767442,0.20232558139534887,8.700000000000001,1.4142857142857148,-4.949999999999999,4,3.395348837209302,15,10,2.3359222759684464,1,9.999999999999998,1.35,12,0.52,xgboost,0.5161576704545454
