trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,losing_streak,daily_sharpe,window,quantile,barrier,horizon
292,0.5924657534246576,-0.021703767123287677,-6.337500000000002,0.9277674882461888,-13.749999999999998,5,-0.9045098572786798,3,0.8,0.50R,5
275,0.6327272727272727,-0.025863636363636366,-7.112500000000001,0.9234906548339383,-12.25,5,-0.9849564548982745,3,0.8,0.50R,10
274,0.6386861313868614,-0.02924270072992701,-8.012500000000001,0.915446511014378,-13.600000000000001,5,-1.1004417270304228,3,0.8,0.50R,15
263,0.5437262357414449,-0.013260456273764262,-3.4875000000000007,0.9600286532951291,-13.835,5,-0.5445051208323174,3,0.8,0.67R,5
238,0.5756302521008403,-0.02446428571428572,-5.822500000000002,0.9370625591136336,-14.992500000000003,5,-0.7861757826942429,3,0.8,0.67R,10
233,0.5793991416309013,-0.011437768240343356,-2.665000000000002,0.9711502029769961,-11.772500000000004,5,-0.34935229258172995,3,0.8,0.67R,15
259,0.5212355212355212,-0.020559845559845552,-5.324999999999998,0.9407180629000834,-14.55,5,-0.7698691033232771,3,0.8,0.75R,5
231,0.5497835497835498,-0.01628787878787879,-3.7625,0.9598506069094304,-11.6,5,-0.48895551647022223,3,0.8,0.75R,10
226,0.5486725663716814,-0.015984513274336275,-3.612499999999998,0.9621082994624361,-11.3875,5,-0.48520946057404224,3,0.8,0.75R,15
238,0.48739495798319327,-0.007457983193277307,-1.774999999999999,0.9792609902146925,-13.962499999999999,6,-0.21835689902002933,3,0.8,1.00R,5
211,0.4834123222748815,-0.026303317535545018,-5.549999999999999,0.942367601246106,-16.262499999999996,11,-0.6300668788982525,3,0.8,1.00R,10
206,0.5048543689320388,0.007645631067961168,1.5750000000000006,1.0165224232887489,-12.625,11,0.17339871473071075,3,0.8,1.00R,15
191,0.5863874345549738,-0.0274869109947644,-5.25,0.9109792284866468,-11.287500000000001,7,-0.8649322554853186,3,0.85,0.50R,5
183,0.6174863387978142,-0.0450136612021858,-8.2375,0.8701221915648404,-13.562499999999998,6,-1.3164487540580196,3,0.85,0.50R,10
182,0.6208791208791209,-0.046153846153846156,-8.4,0.8699186991869918,-13.600000000000001,6,-1.3393512018759235,3,0.85,0.50R,15
175,0.5371428571428571,-0.015500000000000005,-2.712500000000001,0.9546309847376125,-11.115000000000002,7,-0.4740306816482458,3,0.85,0.67R,5
158,0.569620253164557,-0.03151898734177216,-4.980000000000001,0.9208109719737628,-14.100000000000001,6,-0.9114870182312999,3,0.85,0.67R,10
157,0.5668789808917197,-0.026926751592356694,-4.227500000000001,0.9336472434765547,-12.985,6,-0.7582372450412143,3,0.85,0.67R,15
170,0.5058823529411764,-0.016544117647058827,-2.8125000000000004,0.9528400754558792,-10.9375,7,-0.44168604505889975,3,0.85,0.75R,5
157,0.5477707006369427,-0.00875796178343949,-1.375,0.978435600862576,-13.975,6,-0.23181232958156825,3,0.85,0.75R,10
156,0.5448717948717948,-0.017467948717948715,-2.7249999999999996,0.9586337760910816,-14.3875,6,-0.4704564295238509,3,0.85,0.75R,15
160,0.4875,0.016093750000000007,2.575000000000001,1.0451160753394657,-8.7,7,0.39452641633215657,3,0.85,1.00R,5
143,0.4965034965034965,0.01774475524475524,2.5374999999999996,1.0399291896144767,-14.05,7,0.35364410109459965,3,0.85,1.00R,10
140,0.5214285714285715,0.04714285714285715,6.600000000000001,1.105621124224845,-13.987499999999999,7,0.9202289598897093,3,0.85,1.00R,15
